
[00:00:00.000 --> 00:00:04.000]  我們再一次有個禱告
[00:00:04.000 --> 00:00:12.000]  耶穌基督我們讚美你
[00:00:12.000 --> 00:00:18.000]  因典和真理只有從你而來
[00:00:18.000 --> 00:00:22.000]  從來沒有人能看見神
[00:00:22.000 --> 00:00:28.000]  只有藉著耶穌基督表明出來
[00:00:28.000 --> 00:00:35.000]  贊美耶穌就是神差來的羔羊
[00:00:35.000 --> 00:00:41.000]  是要除掉世人的所有罪孽的
[00:00:41.000 --> 00:00:48.000]  贊美耶穌是從神來的兒子
[00:00:48.000 --> 00:00:53.000]  必須用聖靈為我們施洗
[00:00:53.000 --> 00:00:58.000]  多謝耶穌所作的一切
[00:00:58.000 --> 00:01:01.000]  願我們今天繼續這樣認識
[00:01:01.000 --> 00:01:03.000]  這樣敬拜
[00:01:03.000 --> 00:01:07.000]  這樣進入你的生命裡
[00:01:07.000 --> 00:01:09.000]  求你拖大
[00:01:09.000 --> 00:01:13.000]  奉耶穌超乎萬名之上的名
[00:01:13.000 --> 00:01:14.000]  祈禱
[00:01:14.000 --> 00:01:15.000]  阿們
[00:01:15.000 --> 00:01:17.000]  我們繼續認識耶穌基督
[00:01:17.000 --> 00:01:19.000]  我們看看《讓福音》第一章
[00:01:19.000 --> 00:01:23.000]  剛才司耀讀的那兩節
[00:01:23.000 --> 00:01:24.000]  不知道大家還記不記得
[00:01:24.000 --> 00:01:26.000]  上一堂當我去宣講的時候
[00:01:26.000 --> 00:01:30.000]  主題是道就是神
[00:01:30.000 --> 00:01:32.000]  不知道這個觀念
[00:01:32.000 --> 00:01:34.000]  對大家有沒有一個新一點
[00:01:34.000 --> 00:01:37.000]  或者一個更深的體會
[00:01:37.000 --> 00:01:39.000]  原來話語就是神自己
[00:01:39.000 --> 00:01:41.000]  以致當我們去讀話語
[00:01:41.000 --> 00:01:43.000]  去聽話語的時候
[00:01:43.000 --> 00:01:46.000]  我們更加有份敬畏和接待的心
[00:01:46.000 --> 00:01:49.000]  今天第一章第十七節
[00:01:49.000 --> 00:01:50.000]  這裡提到
[00:01:50.000 --> 00:01:55.000]  律法是藉著摩西傳的
[00:01:55.000 --> 00:01:57.000]  但因典和真理
[00:01:57.000 --> 00:02:00.000]  卻是由耶穌基督而來
[00:02:00.000 --> 00:02:03.000]  這裡明顯有個對比
[00:02:03.000 --> 00:02:05.000]  可能大家想到律法
[00:02:05.000 --> 00:02:06.000]  和摩西有關的
[00:02:06.000 --> 00:02:08.000]  就會想起五經
[00:02:08.000 --> 00:02:14.000]  是神與以色列納約的戒命規條
[00:02:14.000 --> 00:02:16.000]  事實上是的
[00:02:16.000 --> 00:02:18.000]  如果我們只是留在舊約
[00:02:18.000 --> 00:02:20.000]  對律法的認知
[00:02:20.000 --> 00:02:22.000]  又或者如果我們只是留於
[00:02:22.000 --> 00:02:25.000]  好像現在有一群的猶太人
[00:02:25.000 --> 00:02:26.000]  他們仍然很看重
[00:02:26.000 --> 00:02:29.000]  這些是摩西的律法
[00:02:29.000 --> 00:02:30.000]  其實你要留意
[00:02:30.000 --> 00:02:31.000]  他們很強烈地說
[00:02:31.000 --> 00:02:33.000]  是摩西的律法的時候
[00:02:33.000 --> 00:02:36.000]  是有一個小小的誤解
[00:02:36.000 --> 00:02:38.000]  因為人仍然停留在
[00:02:38.000 --> 00:02:42.000]  以為這些是人傳出來的一些律例
[00:02:42.000 --> 00:02:45.000]  以致當人去認識律法的時候
[00:02:45.000 --> 00:02:48.000]  停留在一個位置
[00:02:48.000 --> 00:02:50.000]  就是將律法或者神的話語
[00:02:50.000 --> 00:02:53.000]  當成一套的規條去進行
[00:02:53.000 --> 00:02:54.000]  其實有分別
[00:02:54.000 --> 00:02:57.000]  因為接下來第17節的下半節
[00:02:57.000 --> 00:02:58.000]  是提醒
[00:02:58.000 --> 00:03:00.000]  特別是進入新約的時候
[00:03:00.000 --> 00:03:05.000]  是提醒其實律法本身的真義
[00:03:05.000 --> 00:03:09.000]  其實不是只有真理的部分
[00:03:09.000 --> 00:03:11.000]  請你留心聽到
[00:03:11.000 --> 00:03:14.000]  因為事實上律法不是不好的
[00:03:14.000 --> 00:03:16.000]  律法不是沒有用的
[00:03:16.000 --> 00:03:17.000]  不是耶穌來了
[00:03:17.000 --> 00:03:18.000]  律法沒有用
