
[00:00:00.000 --> 00:00:06.000]  好,剛才說了,約書亞記,下一章的聖經,最後說五節。
[00:00:06.000 --> 00:00:13.000]  既然五節的經文不多,就請大家一起讀完這五節的經文,好嗎?
[00:00:13.000 --> 00:00:16.000]  我講了很多東西,今天就請你們讀吧!
[00:00:16.000 --> 00:00:21.000]  還有,如果你知道怎樣可以精神一點,集中一點,你大聲一點讀就可以了,好嗎?
[00:00:21.000 --> 00:00:25.000]  好,預備,是,一、二、三!
[00:00:25.000 --> 00:00:45.000]  (聖經中)
[00:00:45.000 --> 00:01:05.000]  (聖經中)
[00:01:05.000 --> 00:01:19.000]  (聖經中)
[00:01:19.000 --> 00:01:32.000]  (聖經中)
[00:01:32.000 --> 00:01:52.000]  (聖經中)
[00:01:52.000 --> 00:02:15.000]  (聖經中)
[00:02:15.000 --> 00:02:35.000]  (聖經中)
[00:02:35.000 --> 00:03:04.000]  (聖經中)
[00:03:04.000 --> 00:03:18.000]  (聖經中)
[00:03:18.000 --> 00:03:38.000]  (聖經中)
[00:03:38.000 --> 00:03:58.000]  (聖經中)
[00:03:58.000 --> 00:04:23.000]  (聖經中)
[00:04:23.000 --> 00:04:43.000]  (聖經中)
[00:04:43.000 --> 00:04:59.000]  (聖經中)
[00:04:59.000 --> 00:05:19.000]  (聖經中)
[00:05:19.000 --> 00:05:44.000]  (聖經中)
[00:05:44.000 --> 00:06:03.000]  (聖經中)
[00:06:03.000 --> 00:06:23.000]  (聖經中)
[00:06:23.000 --> 00:06:48.000]  (聖經中)
[00:06:48.000 --> 00:07:02.000]  (聖經中)
[00:07:02.000 --> 00:07:22.000]  (聖經中)
[00:07:22.000 --> 00:07:35.000]  (聖經中)
[00:07:35.000 --> 00:07:39.000]  約書亞叫百姓不用怕,是否因為他自己很厲害?
[00:07:39.000 --> 00:07:42.000]  他也挺厲害的,不過是否因為他很厲害?不是!
[00:07:42.000 --> 00:07:48.000]  因為甚麼?因為耶和華與我們同在
[00:07:48.000 --> 00:07:53.000]  所以約書亞第一章時重複了好幾段不同的說話
[00:07:53.000 --> 00:07:57.000]  其中這一段很出名的金句
[00:07:57.000 --> 00:08:00.000]  是神與約書亞說的話,他說甚麼呢?
[00:08:00.000 --> 00:08:05.000]  「我豈沒有吩咐你,你當剛強壯膽」即是勇敢
[00:08:05.000 --> 00:08:07.000]  「不要懼怕,也不要驚慌」
[00:08:07.000 --> 00:08:18.000]  「因為你無論往哪裏去,耶和華即是我,你的神必與你同在」
[00:08:18.000 --> 00:08:25.000]  丁姐妹,有些人說這兩三年香港好像走壞運一樣
