
[00:00:00.000 --> 00:00:02.300]  來到約翰一書的第四章
[00:00:02.300 --> 00:00:05.040]  一個重要的主題重複出現
[00:00:05.040 --> 00:00:08.440]  剛才我牧師也幫我們讀了
[00:00:08.440 --> 00:00:09.340]  二十一節那裡說
[00:00:09.340 --> 00:00:12.340]  「愛神的也要愛他的弟兄」
[00:00:12.340 --> 00:00:15.600]  這裡說這個是神給我們的命令
[00:00:15.600 --> 00:00:17.140]  在這個第四章結束的時候
[00:00:17.140 --> 00:00:21.400]  再一次說我們領受了這樣的命令
[00:00:21.400 --> 00:00:24.340]  弟兄姊妹我們其實可以先想一想
[00:00:24.340 --> 00:00:26.440]  在過去幾天或者這個星期裏面
[00:00:26.440 --> 00:00:30.500]  你有沒有去履行過這個命令
[00:00:30.500 --> 00:00:32.600]  在過去的一個星期裏面
[00:00:32.600 --> 00:00:33.600]  有哪一個時刻
[00:00:33.600 --> 00:00:36.940]  你是真的彼此相愛著
[00:00:36.940 --> 00:00:38.800]  是愛你的弟兄
[00:00:38.800 --> 00:00:43.500]  你現在試想想
[00:00:43.500 --> 00:00:45.300]  你是即時可以想起
[00:00:45.300 --> 00:00:48.140]  在那件事上你愛了弟兄
[00:00:48.140 --> 00:00:49.240]  在那個環境裏面
[00:00:49.240 --> 00:00:51.540]  你選擇了去彼此相愛
[00:00:51.540 --> 00:00:56.000]  這就是你腦裏面一片空白
[00:00:56.000 --> 00:00:57.600]  這個是一個命令
[00:00:57.600 --> 00:01:00.800]  一說到命令就好像要遵守一些東西
[00:01:00.800 --> 00:01:01.760]  對的
[00:01:01.760 --> 00:01:03.460]  不過我們不只是停在
[00:01:03.460 --> 00:01:06.760]  遵守命令這個善性的思維
[00:01:06.760 --> 00:01:08.860]  今天這段經文確實要我們跳出
[00:01:08.860 --> 00:01:12.000]  這種單向的想法
[00:01:12.000 --> 00:01:13.500]  當我去分析這段段落的時候
[00:01:13.500 --> 00:01:17.260]  我就發現經文在這裏重複或者集中
[00:01:17.260 --> 00:01:20.540]  問一個問題
[00:01:20.540 --> 00:01:25.340]  就是我們能不能夠在最後的審判裏面
[00:01:25.340 --> 00:01:26.700]  坦然無懼
[00:01:26.700 --> 00:01:28.740]  對著神不害怕
[00:01:28.740 --> 00:01:30.100]  沒有什麼怕
[00:01:30.100 --> 00:01:32.200]  很安樂
[00:01:32.200 --> 00:01:34.500]  我們說沒有彼此相愛
[00:01:34.500 --> 00:01:38.160]  要不要一下子提升到審判的層次
[00:01:38.160 --> 00:01:40.500]  很嚴重
[00:01:40.500 --> 00:01:41.400]  我們一這樣想
[00:01:41.400 --> 00:01:43.060]  又可能捉錯了用神
[00:01:43.060 --> 00:01:45.440]  仍然是給了東西你要遵守
[00:01:45.440 --> 00:01:47.060]  你不守要罰你
[00:01:47.060 --> 00:01:49.460]  那個單向的思維
[00:01:49.460 --> 00:01:50.640]  其實新漢語本很好
[00:01:50.640 --> 00:01:54.460]  幫我們將一個重複重要的字
[00:01:54.460 --> 00:01:57.400]  或者詞翻譯出來
[00:01:57.400 --> 00:02:00.200]  在第九節、第十三節和第十七節
[00:02:00.200 --> 00:02:03.700]  都有這個從者一點
[00:02:03.700 --> 00:02:06.860]  三次講到從這一點裏面認識了一些東西
[00:02:06.860 --> 00:02:10.160]  知道一些東西是重要的
[00:02:10.160 --> 00:02:11.660]  約翰是要他親愛的弟兄姊妹
[00:02:11.660 --> 00:02:13.800]  去感受到為什麼我們能夠
