
[00:00:00.000 --> 00:00:04.740]  今天會繼續跟大家講列王紀夏第二章
[00:00:04.740 --> 00:00:11.040]  今天講這段經文的主角
[00:00:11.040 --> 00:00:15.140]  是由以利亞轉到以利沙身上
[00:00:15.140 --> 00:00:19.820]  以利沙是以利亞的徒弟
[00:00:19.820 --> 00:00:25.920]  他會繼承以利亞做以色列人的先知
[00:00:28.600 --> 00:00:38.120]  這章聖經記載了這兩位先知交織或交棒的過程
[00:00:38.120 --> 00:00:42.340]  他們不單是先知身份的傳承
[00:00:42.340 --> 00:00:44.520]  亦是事公的傳承
[00:00:44.520 --> 00:00:46.920]  更加是生命的傳承
[00:00:46.920 --> 00:00:55.140]  大家覺得這個交織過程是否順利呢?
[00:00:57.260 --> 00:01:01.840]  我相信大家會看到是相當順利的
[00:01:01.840 --> 00:01:05.840]  但是這樣是否表示夠了
[00:01:05.840 --> 00:01:08.720]  以後就可以安枕無憂呢?
[00:01:08.720 --> 00:01:11.020]  不是
[00:01:11.020 --> 00:01:17.100]  這個交織的過程雖然很順利
[00:01:17.100 --> 00:01:23.740]  但是當以利沙承接了先知的職事之後
[00:01:23.740 --> 00:01:28.540]  他的工作和責任並不簡單
[00:01:28.540 --> 00:01:36.340]  是非常艱辛和有很大的挑戰和壓力的使命
[00:01:36.340 --> 00:01:40.560]  比如
[00:01:40.560 --> 00:01:44.940]  我們可以想像交織或交棒
[00:01:44.940 --> 00:01:49.900]  我們可以想像參加四人接力的賽跑
[00:01:51.320 --> 00:01:53.740]  比如在交棒區
[00:01:53.740 --> 00:01:57.400]  交棒接棒很順利地完成了
[00:01:57.400 --> 00:02:01.080]  是否表示可以休息、安枕無憂呢?
[00:02:01.080 --> 00:02:03.300]  當然我們都知道不是
[00:02:03.300 --> 00:02:10.660]  接棒的人要盡出盡力去完成那段路程
[00:02:10.660 --> 00:02:13.860]  否則是前功盡廢
[00:02:13.860 --> 00:02:17.680]  以利沙就是這樣
[00:02:17.680 --> 00:02:20.820]  他很順利地承接了做先知的職位
[00:02:21.320 --> 00:02:24.980]  但是他卻要立即面對各方面的挑戰
[00:02:24.980 --> 00:02:29.640]  比如同工所給予的壓力
[00:02:29.640 --> 00:02:32.640]  百姓或匯眾給予的壓力
[00:02:32.640 --> 00:02:40.720]  還有他要面對和偶像邪靈爭戰所帶來的壓力
[00:02:40.720 --> 00:02:45.400]  但是另一方面我們又看到以利沙
[00:02:45.400 --> 00:02:51.780]  他很樂意去承接以利亞這個先知的職事
[00:02:51.780 --> 00:02:54.740]  他不怕困難
[00:02:54.740 --> 00:02:56.740]  他專心依靠神
[00:02:56.740 --> 00:02:59.860]  因此他成為一位
[00:02:59.860 --> 00:03:05.240]  大大被神使用、被神賜福的先知、一個人
[00:03:05.240 --> 00:03:09.920]  今天我想和大家一起學的功課就是
[00:03:09.920 --> 00:03:15.500]  去學校以利沙的侍奉心態
[00:03:15.500 --> 00:03:20.960]  就是樂意接受使命
[00:03:20.960 --> 00:03:26.760]  大膽地去求問更多、更大的侍奉恩賜
[00:03:26.760 --> 00:03:30.240]  還有認定神呼召我們侍奉
[00:03:30.240 --> 00:03:34.240]  是要賜福給我們
[00:03:34.240 --> 00:03:37.000]  不是要賜禍給我們
[00:03:39.180 --> 00:03:41.180]  重複再講一次
[00:03:41.180 --> 00:03:45.740]  我們需要學習一個侍奉心態就是
[00:03:45.740 --> 00:03:48.860]  樂意去接受一個使命
[00:03:48.860 --> 00:03:53.040]  大膽去求更多、更大的恩賜
[00:03:53.040 --> 00:03:57.800]  還有認定侍奉神是神賜福的事
[00:03:57.800 --> 00:03:59.800]  不是給我們麻煩
[00:03:59.800 --> 00:04:04.440]  今天我們一起學這個功課
[00:04:07.360 --> 00:04:10.920]  我們先看看前面的經文
[00:04:10.920 --> 00:04:13.920]  是講以利沙是怎樣蒙召的
[00:04:13.920 --> 00:04:19.940]  我們先看聶王紀上十九章十九節
[00:04:19.940 --> 00:04:25.900]  「於是以利亞離開那裡」
[00:04:25.900 --> 00:04:28.780]  大家如果還記得就是指何列山
[00:04:28.780 --> 00:04:31.340]  他在那裡與神相會
[00:04:31.340 --> 00:04:36.300]  又有行雷閃電、崩山碎石
[00:04:36.300 --> 00:04:38.300]  又有火候微星
[00:04:38.300 --> 00:04:40.300]  何列山
[00:04:40.300 --> 00:04:41.500]  他離開那裡
[00:04:41.500 --> 00:04:43.160]  就是經過那段之後他就離開
[00:04:43.160 --> 00:04:45.160]  「於是以利亞離開那裡」
[00:04:45.160 --> 00:04:46.660]  走了
[00:04:46.660 --> 00:04:50.300]  「遇見沙伐的兒子以利沙耕地」
[00:04:50.300 --> 00:04:52.300]  「在他前頭有十二對牛」
[00:04:52.300 --> 00:04:54.760]  「自己趕著第十二對」
[00:04:54.760 --> 00:04:56.760]  「以利亞到他那裡去」
[00:04:56.760 --> 00:05:00.380]  「將自己的外衣搭在他身上」
[00:05:00.380 --> 00:05:06.080]  先知的外衣是表達先知的身份
[00:05:06.080 --> 00:05:09.860]  「以利亞先知將外衣搭在以利沙身上」
[00:05:09.860 --> 00:05:13.620]  是表示要呼召以利沙做先知
[00:05:13.620 --> 00:05:18.000]  去繼承他自己的所謂衣缽
[00:05:18.000 --> 00:05:19.380]  他的職位
[00:05:19.380 --> 00:05:21.380]  以利沙他也明白
[00:05:21.380 --> 00:05:24.080]  這是神的呼召
[00:05:24.080 --> 00:05:27.520]  二十節
[00:05:27.520 --> 00:05:29.520]  「以利沙就離開牛」
[00:05:29.520 --> 00:05:31.520]  「跑到以利亞那裡說」
[00:05:31.520 --> 00:05:34.260]  「求你容我先與父母親聚」
[00:05:34.260 --> 00:05:36.260]  「然後我便跟隨你」
[00:05:36.260 --> 00:05:38.260]  「以利亞對他說」
[00:05:38.260 --> 00:05:42.080]  「你會虛罷 我向你作了什麼呢?」
[00:05:42.080 --> 00:05:45.800]  以利沙的回答
[00:05:45.800 --> 00:05:47.800]  會令我們想起
