
[00:00:00.000 --> 00:00:03.880]  今天的經文就是出自啟示錄
[00:00:03.880 --> 00:00:07.600]  也是承接著我們上一次講道的經文
[00:00:07.600 --> 00:00:12.320]  今天訊息的題目就是七號的異象
[00:00:12.320 --> 00:00:16.160]  在訊息之前先問一下大家
[00:00:16.160 --> 00:00:19.840]  大家昨天晚上休息好嗎
[00:00:19.840 --> 00:00:22.480]  OK 有人不領頭
[00:00:22.480 --> 00:00:27.040]  我們的崇拜時間就由早上的十點半變成為下午的四點
[00:00:27.040 --> 00:00:31.040]  是不是 應該不用那麼早起床了
[00:00:31.040 --> 00:00:33.680]  是不是 應該也是
[00:00:33.680 --> 00:00:37.680]  我們希望我們答應自己
[00:00:37.680 --> 00:00:42.040]  看看可不可以這十二個禮拜我們四點鐘才崇拜
[00:00:42.040 --> 00:00:46.200]  我們可不可以試一下和自己立志準時崇拜
[00:00:46.200 --> 00:00:48.000]  由早上變成下午
[00:00:48.000 --> 00:00:50.960]  或者十二個星期裡面我們都可以試一下
[00:00:50.960 --> 00:00:52.760]  去做一個新的嘗試
[00:00:52.760 --> 00:00:55.240]  去給自己一個新的挑戰 好不好
[00:00:55.240 --> 00:00:57.360]  盡量吧 盡量
[00:00:57.360 --> 00:00:59.760]  不是這一副
[00:00:59.760 --> 00:01:02.560]  是這一副
[00:01:02.560 --> 00:01:06.160]  我自己以前就來過南宣分享訊息
[00:01:06.160 --> 00:01:10.880]  這次第一次就在南宣和自己說宣的肢體分享
[00:01:10.880 --> 00:01:12.400]  感覺其實很新鮮的
[00:01:12.400 --> 00:01:16.600]  都想再一次感謝我們當中有不少的肢體
[00:01:16.600 --> 00:01:18.680]  其實今天早了回來預備
[00:01:18.680 --> 00:01:20.600]  打點好了很多的事情
[00:01:20.600 --> 00:01:22.880]  無論是樓上的兒童主義學
[00:01:22.880 --> 00:01:24.360]  後面的YouTube
[00:01:24.360 --> 00:01:27.000]  Powerpoint 音響 燈
[00:01:27.000 --> 00:01:29.880]  三角琴會不會太大聲
[00:01:29.880 --> 00:01:32.920]  甚至乎暖氣等等的事情
[00:01:32.920 --> 00:01:35.560]  都有肢體早了回來打點好了
[00:01:35.560 --> 00:01:41.400]  好叫到我們能夠今天都可以在這個新的地方去敬拜神
[00:01:41.400 --> 00:01:43.440]  但是敬拜神地點不是最重要的
[00:01:43.440 --> 00:01:47.320]  最重要的是我們以我們的心靈和誠實去敬拜神
[00:01:47.320 --> 00:01:50.360]  神願立的是我們真心的敬拜
[00:01:50.360 --> 00:01:54.840]  訊息一開始我就想和大家介紹一種電影的題材
[00:01:54.840 --> 00:01:58.000]  叫做時間循環的電影
[00:01:58.000 --> 00:02:00.560]  Time Loop Film
[00:02:00.560 --> 00:02:02.840]  其實你看過了
[00:02:02.840 --> 00:02:05.160]  故事通常是這樣
[00:02:05.160 --> 00:02:09.120]  主角一天起來
[00:02:09.120 --> 00:02:12.920]  就被困在時間的循環之中
[00:02:12.920 --> 00:02:16.440]  不斷的回到同一刻
[00:02:16.440 --> 00:02:18.280]  起初他很害怕的
[00:02:18.280 --> 00:02:21.200]  但是故事就是在每一個循環
[00:02:21.200 --> 00:02:23.000]  他不斷的嘗試
[00:02:23.000 --> 00:02:25.960]  而他每一次的重複
[00:02:25.960 --> 00:02:28.080]  他所發生的事
[00:02:28.080 --> 00:02:30.640]  他了解多了一點
[00:02:30.640 --> 00:02:32.960]  而看電影的觀眾
[00:02:32.960 --> 00:02:36.000]  就是在不斷的重複之間
[00:02:36.000 --> 00:02:39.920]  了解到故事更加深
[00:02:39.920 --> 00:02:44.120]  之前我們看過啟示錄的第七印
[00:02:44.120 --> 00:02:47.080]  當約翰進入第七印的時候
[00:02:47.080 --> 00:02:49.440]  他就一直去揭開
[00:02:49.440 --> 00:02:52.720]  就發覺到原來第七印裏面
[00:02:52.720 --> 00:02:55.400]  就是七個號
[00:02:55.400 --> 00:02:58.600]  他以為是完的了 誰知原來還未完
[00:02:58.600 --> 00:03:00.840]  印的英文就是燒
[00:03:00.840 --> 00:03:04.560]  就是將一本書封印的那個印
[00:03:04.560 --> 00:03:06.840]  是要將內容揭示出來
[00:03:06.840 --> 00:03:10.320]  而號就是當時我們所說的號角
[00:03:10.320 --> 00:03:12.280]  是吹號的意思
[00:03:12.280 --> 00:03:15.080]  通常就是在戰爭之前
[00:03:15.080 --> 00:03:17.520]  就會吹號
[00:03:17.520 --> 00:03:20.320]  就是不好的事之前會吹號
[00:03:20.320 --> 00:03:22.040]  但是諷刺的是
[00:03:22.040 --> 00:03:25.320]  在戰爭勝利之後海船歸來
[00:03:25.320 --> 00:03:27.120]  同樣是吹號
[00:03:27.120 --> 00:03:30.640]  就是戰爭和慶祝都是吹號聲
[00:03:30.640 --> 00:03:32.840]  人會聽到號角聲
[00:03:32.840 --> 00:03:35.520]  剛才我們所讀的經文
[00:03:35.520 --> 00:03:37.920]  說到第一至到第四號
[00:03:37.920 --> 00:03:42.080]  其實可能是哪一種的號聲
[00:03:42.080 --> 00:03:45.000]  我們今天拿起一本聖經
