
[00:00:00.000 --> 00:00:05.120]  各位弟兄姊妹 我們今天一起來去敬拜上帝
[00:00:05.120 --> 00:00:08.280]  在這段時間大家都會很掛心到
[00:00:08.280 --> 00:00:13.300]  關於香港疫情的事情 也都掛心自己的身體
[00:00:13.300 --> 00:00:17.780]  我們都是很願意全心的來交託地主
[00:00:17.780 --> 00:00:22.200]  特別我們都想到其實不單止我們香港面對疫情的問題
[00:00:22.200 --> 00:00:26.160]  其實有其它地區面對著更艱難的處境
[00:00:26.160 --> 00:00:29.760]  所以教會希望我們今天在崇拜、進食之前
[00:00:29.760 --> 00:00:34.380]  能夠大家一起來到維度在烏克蘭的情況來祈禱
[00:00:34.380 --> 00:00:36.020]  所以我和大家先做一個祈禱
[00:00:36.020 --> 00:00:38.400]  我們再一起來思想聖祭
[00:00:38.400 --> 00:00:45.980]  天上的主 我們同心在祢面前仰望祢
[00:00:45.980 --> 00:00:48.500]  主呀 知道在地上有苦難
[00:00:48.500 --> 00:00:52.700]  但祢應許 祢已經勝過這個世界
[00:00:52.700 --> 00:00:54.000]  所以主 我們在這個時候
[00:00:54.000 --> 00:00:58.440]  我們同心為到在烏克蘭的局勢向主禱告
[00:00:58.440 --> 00:01:00.600]  主呀 祢知道在當中
[00:01:00.600 --> 00:01:05.200]  這個國家面對著極大的災難
[00:01:05.200 --> 00:01:08.080]  祢知道生命的痛楚
[00:01:08.080 --> 00:01:12.280]  主呀 在英國4400萬人口的國家裏面
[00:01:12.280 --> 00:01:15.080]  面對著極大的憂傷
[00:01:15.080 --> 00:01:17.960]  主呀 求祢在天上隨顧
[00:01:17.960 --> 00:01:20.680]  求祢紀念裏面很多很多的生命
[00:01:20.680 --> 00:01:24.100]  仍然在戰火當中受到傷害
[00:01:24.100 --> 00:01:28.560]  主呀 祢知道有數百甚至上千的人民
[00:01:28.560 --> 00:01:32.080]  已經受到傷害死亡
[00:01:32.080 --> 00:01:33.920]  主呀 政府都要呼籲人民
[00:01:33.920 --> 00:01:38.820]  來快快捐血來救助這些受傷的人
[00:01:38.820 --> 00:01:42.980]  主呀 看到在鏡頭上面有很多當地的人民
[00:01:42.980 --> 00:01:46.320]  他們去四處奔逃 去逃難
[00:01:46.320 --> 00:01:49.320]  他們要逃離開這個戰火的地方
[00:01:49.320 --> 00:01:52.760]  他們去到不同的地方去搶購糧食
[00:01:52.760 --> 00:01:56.420]  也都在不同的地方在那裏哭泣哀哭
[00:01:56.420 --> 00:02:00.020]  擔憂自己的前途 家庭的前途
[00:02:00.020 --> 00:02:03.080]  政府呀 求祢在天上隨顧
[00:02:03.080 --> 00:02:06.280]  主呀 祢是隨顧憐憫人的主
[00:02:06.280 --> 00:02:08.180]  求祢在這些日子
[00:02:08.180 --> 00:02:11.260]  主呀 祢將平安放在人的心中
[00:02:11.260 --> 00:02:15.160]  也都將一個真是全心尋求祢的
