
[00:00:00.000 --> 00:00:04.520]  坐落在紐約的世界貿易中心
[00:00:04.520 --> 00:00:07.920]  由六座建築物組成
[00:00:07.920 --> 00:00:10.240]  自1973年落成以來
[00:00:10.240 --> 00:00:14.600]  每一天都有5萬人在那裏上班
[00:00:14.600 --> 00:00:21.040]  而每一天有20萬遊客在那裏出入
[00:00:21.040 --> 00:00:25.920]  為何會有這麼多遊客在那裏出入呢?
[00:00:25.920 --> 00:00:33.040]  因為那六座建築物裏面其中有兩座高達111層
[00:00:33.040 --> 00:00:36.400]  多了一層是110層
[00:00:36.400 --> 00:00:40.920]  當時已經是世界最高的建築物
[00:00:40.920 --> 00:00:42.880]  遊客上到頂層的時候
[00:00:42.880 --> 00:00:46.600]  他可以眺望整個紐約市
[00:00:46.600 --> 00:00:49.520]  吸引了很多人去
[00:00:49.520 --> 00:00:54.200]  這個成為了紐約的地標
[00:00:54.200 --> 00:00:56.920]  世界貿易中心在紐約市拔地而起
[00:00:56.920 --> 00:00:59.040]  殊不簡單
[00:00:59.040 --> 00:01:04.080]  而這個建築物群的建造過程也都殊不簡單
[00:01:04.080 --> 00:01:08.720]  其實遠至1943年就已經有人提出
[00:01:08.720 --> 00:01:10.840]  在紐約市建這個建築群
[00:01:10.840 --> 00:01:14.200]  1962年就開始去設計
[00:01:14.200 --> 00:01:15.920]  1966年動工
[00:01:15.920 --> 00:01:18.080]  1973年落成
[00:01:18.080 --> 00:01:25.720]  是用了很多人、很多時間的成果
[00:01:25.720 --> 00:01:31.880]  無論是建築師、是建築工人
[00:01:31.880 --> 00:01:34.520]  是在裏面工作的人
[00:01:34.520 --> 00:01:36.760]  是絡繹不絕的遊客
[00:01:36.760 --> 00:01:41.960]  都估不到突然間有一天
[00:01:41.960 --> 00:01:47.440]  這個商塔會倒塌了
[00:01:47.440 --> 00:01:50.760]  那天是2001年
[00:01:50.760 --> 00:01:52.120]  2001年對了
[00:01:52.120 --> 00:01:56.120]  20年前的9月11日的上午
[00:01:56.120 --> 00:02:01.880]  有一架民航機在上午撞入了北塔
[00:02:01.880 --> 00:02:05.400]  然後另外一架撞入南塔
[00:02:05.400 --> 00:02:07.840]  燃燒了大概一個小時之後
[00:02:07.840 --> 00:02:12.000]  商塔就倒塌了
[00:02:12.000 --> 00:02:16.000]  這是20年前的事
[00:02:16.000 --> 00:02:19.400]  在座可能很多人都在電視畫面上見到
[00:02:19.400 --> 00:02:22.600]  除了坐在這一邊
[00:02:22.600 --> 00:02:27.000]  這班學生很可能還未出世
[00:02:27.000 --> 00:02:30.640]  這些畫面不單止震撼了當時的美國人
[00:02:30.640 --> 00:02:34.600]  也都震撼了世界上很多的人
[00:02:34.600 --> 00:02:39.400]  或者有一些朋友仍然記得這個畫面
[00:02:39.400 --> 00:02:43.120]  歷歷在目
[00:02:43.120 --> 00:02:47.600]  這份震撼相信在二十年之後
[00:02:47.600 --> 00:02:49.360]  再回想起來
[00:02:49.360 --> 00:02:53.400]  仍然留在心裏
[00:02:53.400 --> 00:02:56.560]  讓我們帶著這份震撼
[00:02:56.560 --> 00:03:02.280]  來讀今天這一段福音經課
[00:03:02.280 --> 00:03:07.440]  在《馬學福音》十三章一至八節
[00:03:07.440 --> 00:03:11.200]  十三章一至八節開始時這樣說
[00:03:11.200 --> 00:03:13.600]  耶穌從電裡出來的時候
[00:03:13.600 --> 00:03:16.800]  有一個門徒對他說
[00:03:16.800 --> 00:03:22.120]  「老師,你看看這座建築物
[00:03:22.120 --> 00:03:25.920]  這座電宇多麼龐大多麼偉大
[00:03:25.920 --> 00:03:31.680]  你看看這些石頭多麼大」
[00:03:31.680 --> 00:03:34.960]  耶穌對他說
[00:03:34.960 --> 00:03:38.960]  「你看看這個大的電宇
[00:03:38.960 --> 00:03:44.720]  將來沒有一塊石頭
[00:03:44.720 --> 00:03:47.320]  留在另外一塊石頭上
[00:03:47.320 --> 00:03:54.320]  不被拆毀」
[00:03:54.320 --> 00:03:58.280]  耶路撒冷聖殿被拆得
[00:03:58.280 --> 00:04:03.440]  沒有一塊石頭留在石頭上
[00:04:03.440 --> 00:04:05.240]  你試想一下
[00:04:05.240 --> 00:04:07.520]  你是當時的猶太人
[00:04:07.520 --> 00:04:14.640]  你聽到後會有什麼感受?
[00:04:14.640 --> 00:04:19.360]  你會有什麼反應?
[00:04:19.360 --> 00:04:24.520]  那個反應不單止是震撼
[00:04:24.520 --> 00:04:30.640]  那個反應可以是歷史的傷痕
[00:04:30.640 --> 00:04:32.240]  對猶太人來說
[00:04:32.240 --> 00:04:34.920]  耶路撒冷聖殿是什麼呢?
[00:04:34.920 --> 00:04:38.840]  在他們心裡耶路撒冷聖殿是什麼位置呢?
[00:04:38.840 --> 00:04:39.840]  根據聖經記載
[00:04:39.840 --> 00:04:42.440]  第一座聖殿在大衛王的時候
[00:04:42.440 --> 00:04:43.680]  已經開始預備材料
[00:04:43.680 --> 00:04:46.920]  然後到所羅門王的時代開始興建
[00:04:46.920 --> 00:04:51.160]  所以那座聖殿又叫做所羅門聖殿
[00:04:51.160 --> 00:04:52.600]  聖殿落成之後
[00:04:52.600 --> 00:04:54.800]  它立即成為了以色列人
[00:04:54.800 --> 00:04:57.800]  朝拜上帝的中心
[00:04:57.800 --> 00:05:01.000]  也成為了以色列民族的象徵
[00:05:01.000 --> 00:05:03.640]  我們可以從詩篇112篇
[00:05:03.640 --> 00:05:07.600]  感受到他們對耶路撒冷聖殿的感情
[00:05:07.600 --> 00:05:10.080]  112篇第一節這樣說
[00:05:10.080 --> 00:05:11.040]  「人對我說
[00:05:11.040 --> 00:05:12.800]  我們往耶路撒冷的殿去
[00:05:12.800 --> 00:05:14.680]  我就歡喜
[00:05:14.680 --> 00:05:16.240]  耶路撒冷啊
[00:05:16.240 --> 00:05:19.480]  我們的腳站在你的門內
[00:05:19.480 --> 00:05:20.440]  眾支派
[00:05:20.440 --> 00:05:22.120]  就是耶和華的支派
[00:05:22.120 --> 00:05:23.440]  上那裡去
[00:05:23.440 --> 00:05:28.360]  按以色列常例稱讚耶和華的名
[00:05:28.360 --> 00:05:30.920]  因為在那裡設立審判的寶座
[00:05:30.920 --> 00:05:33.400]  就是大衛家的寶座
[00:05:33.400 --> 00:05:34.440]  因耶和華
[00:05:34.440 --> 00:05:36.040]  我們上帝殿的緣故
[00:05:36.040 --> 00:05:40.080]  我們為你求福」
[00:05:40.080 --> 00:05:41.600]  你會聽到
[00:05:41.600 --> 00:05:43.520]  在他們心目中
[00:05:43.520 --> 00:05:47.560]  聖殿是一個甚麼位置
[00:05:47.560 --> 00:05:52.840]  但是歷史的發展告訴我們
[00:05:52.840 --> 00:05:57.440]  巴比倫王朝興起的時候
[00:05:57.440 --> 00:06:03.240]  尼保格尼撒揮軍進攻耶路撒冷
[00:06:03.240 --> 00:06:05.280]  聖殿被毀
[00:06:05.280 --> 00:06:07.520]  你可以想像得到
[00:06:07.520 --> 00:06:15.760]  猶太人因此而感到有多愛痛和羞辱
[00:06:15.760 --> 00:06:19.600]  歷史繼續前進
[00:06:19.600 --> 00:06:23.000]  現在幾百年之後
[00:06:23.000 --> 00:06:27.160]  滿土和耶穌望見的那座聖殿
[00:06:27.160 --> 00:06:31.000]  已經不是所羅門年代的聖殿
[00:06:31.000 --> 00:06:34.440]  而是失而復得的另一座聖殿
[00:06:34.440 --> 00:06:37.480]  那座聖殿是怎樣來的呢?
[00:06:37.480 --> 00:06:39.040]  在歷史裏面
[00:06:39.040 --> 00:06:41.600]  巴比倫王朝被推翻
[00:06:41.600 --> 00:06:47.400]  波斯王鼓勒讓猶太人回歸耶路撒冷
[00:06:47.400 --> 00:06:50.480]  根據尼西米以色列的記載
[00:06:50.480 --> 00:06:53.880]  他們經過非常艱辛
[00:06:53.880 --> 00:06:56.320]  難阻處處
[00:06:56.320 --> 00:06:59.920]  經歷了很多年的辛苦
[00:06:59.920 --> 00:07:02.600]  將聖殿重建
[00:07:02.600 --> 00:07:04.640]  那是第二聖殿
[00:07:04.640 --> 00:07:07.880]  又經過幾百年之後
[00:07:07.880 --> 00:07:10.840]  在大希律的時代
[00:07:10.840 --> 00:07:16.880]  大希律將這座聖殿擴建了
[00:07:16.880 --> 00:07:18.720]  滿土和耶穌說
[00:07:18.720 --> 00:07:20.680]  耶穌你看
[00:07:20.680 --> 00:07:23.880]  這座聖殿真是殊不簡單
[00:07:23.880 --> 00:07:26.280]  你看那些石頭多大
[00:07:26.280 --> 00:07:30.800]  你看多宏偉
[00:07:30.800 --> 00:07:33.920]  滿土對聖殿的讚譽和崇敬
[00:07:33.920 --> 00:07:39.360]  亦可能代表當時普遍猶太人的感受
[00:07:39.360 --> 00:07:45.480]  但你看耶穌對滿土的回答
[00:07:45.480 --> 00:07:48.840]  祂說
[00:07:48.840 --> 00:07:53.120]  你看這座聖殿很大嗎?
[00:07:53.120 --> 00:07:56.760]  將來沒有一塊石頭留在另一塊石頭之上
[00:07:56.760 --> 00:08:00.040]  不被拆毀
[00:08:00.040 --> 00:08:03.360]  一盆冷水潑下來
[00:08:03.360 --> 00:08:08.640]  耶穌似乎不是很體諒
[00:08:08.640 --> 00:08:17.920]  猶太人對聖殿那種敬意
[00:08:17.920 --> 00:08:19.360]  耶穌這樣說
[00:08:19.360 --> 00:08:24.480]  很可能傷害了普遍猶太人的感情
[00:08:24.480 --> 00:08:31.600]  亦都令到在聖殿裏面的猶太人領袖很反感
[00:08:31.600 --> 00:08:37.960]  因為聖殿不單單是一座建築物
[00:08:37.960 --> 00:08:40.080]  聖殿代表著
[00:08:40.080 --> 00:08:43.400]  它承載著宗教
[00:08:43.400 --> 00:08:46.520]  承載著民族的感情
[00:08:46.520 --> 00:08:55.720]  亦都承載著以聖殿為中心的權力結構和社會結構
[00:08:55.720 --> 00:08:57.480]  聖殿被拆毀
[00:08:57.480 --> 00:09:02.480]  這是甚麼意思?
[00:09:02.480 --> 00:09:07.200]  如果我們可以撇開感情
[00:09:07.200 --> 00:09:10.760]  純粹用理性去看
[00:09:10.760 --> 00:09:17.280]  人人都知道任何建築物都會有被拆毀的一天
[00:09:17.280 --> 00:09:20.160]  任何建築物都不會長存
[00:09:20.160 --> 00:09:22.000]  你現在坐在這裏
[00:09:22.000 --> 00:09:26.280]  你覺得這座禮拜堂很美麗很宏偉
[00:09:26.280 --> 00:09:29.280]  但你不會想像這座禮拜堂是永存的
[00:09:29.280 --> 00:09:34.600]  它終有一天是會被拆毀的
[00:09:34.600 --> 00:09:38.400]  你住的那座大廈
[00:09:38.400 --> 00:09:41.720]  你不會想像它是永存的
[00:09:41.720 --> 00:09:43.480]  如果一百年之後還存在
[00:09:43.480 --> 00:09:45.400]  你都不想回去住
[00:09:45.400 --> 00:09:48.960]  當然一百年之後你都未必在這裏
[00:09:48.960 --> 00:09:50.160]  它是不會永存的
[00:09:50.160 --> 00:09:52.200]  它總會有一天被拆毀的
[00:09:52.200 --> 00:09:55.280]  問題不是它會不會被拆毀
[00:09:55.280 --> 00:10:00.080]  問題是它在甚麼時間和甚麼情況下被拆毀
[00:10:00.080 --> 00:10:05.160]  就正如人人都有一死
[00:10:05.160 --> 00:10:07.520]  問題不是人人都會不會死
[00:10:07.520 --> 00:10:09.520]  問題是在甚麼時候死
[00:10:09.520 --> 00:10:11.680]  和在甚麼狀況下死
[00:10:11.680 --> 00:10:19.760]  這才是震撼的地方
[00:10:19.760 --> 00:10:24.480]  門徒其實都很關心這個問題
[00:10:24.480 --> 00:10:25.800]  是的
[00:10:25.800 --> 00:10:28.640]  聖殿是會有一天消失
[00:10:28.640 --> 00:10:31.920]  但在甚麼情況下甚麼時間消失呢
[00:10:31.920 --> 00:10:35.080]  我們繼續看第三節
[00:10:35.080 --> 00:10:38.840]  耶穌在鑒山上對聖殿而坐
[00:10:38.840 --> 00:10:42.240]  彼得瓦國約翰和安德烈暗暗地問他說
[00:10:42.240 --> 00:10:44.000]  請告訴我們
[00:10:44.000 --> 00:10:46.840]  甚麼時候會有這些事呢
[00:10:46.840 --> 00:10:49.640]  這些事出現的時候會有甚麼預兆呢
[00:10:49.640 --> 00:10:50.880]  耶穌對他們說
[00:10:50.880 --> 00:10:54.600]  你們要謹慎免得有人迷惑你們
[00:10:54.600 --> 00:10:58.680]  門徒的反應其實又是代表著普遍人的心聲
[00:10:58.680 --> 00:11:00.240]  如果事情真的會發生
[00:11:00.240 --> 00:11:01.360]  事情總要發生
[00:11:01.360 --> 00:11:04.160]  我們很想知道事情甚麼時候會發生
[00:11:04.160 --> 00:11:06.040]  因為知道甚麼時候發生
[00:11:06.040 --> 00:11:07.160]  我們可以洞悉先機
[00:11:07.160 --> 00:11:08.360]  我們可以預備
[00:11:08.360 --> 00:11:10.400]  我們可以趨吉避凶
[00:11:10.400 --> 00:11:14.880]  如果你事先知道紐約世貿的雙子塔
[00:11:14.880 --> 00:11:17.200]  是在那一天會被撞毀
[00:11:17.200 --> 00:11:19.160]  那一天你不會上班
[00:11:19.160 --> 00:11:21.920]  你不會去遊覽
[00:11:21.920 --> 00:11:23.800]  不過誰知道呢
[00:11:23.800 --> 00:11:26.640]  就算有人在911之前
[00:11:26.640 --> 00:11:29.200]  910告訴你明天那裡會倒塌
[00:11:29.200 --> 00:11:32.360]  你怎會相信呢
[00:11:32.360 --> 00:11:34.240]  沒有人會相信的
[00:11:34.240 --> 00:11:35.800]  試一試
