
[00:00:00.000 --> 00:00:02.000]  好,大仙姊妹,晚安
[00:00:02.000 --> 00:00:03.000]  晚安
[00:00:03.000 --> 00:00:04.000]  好啊
[00:00:04.000 --> 00:00:08.000]  好啊,尾音又拖了這麼久
[00:00:08.000 --> 00:00:11.000]  好,到了我們講信息的時間
[00:00:11.000 --> 00:00:17.000]  今晚呢,是我們這個ask for of love 第二講
[00:00:17.000 --> 00:00:21.000]  這個是你其實剛剛Sandy 戴聖參的途中都講了一點
[00:00:21.000 --> 00:00:27.000]  我們其實就是想鼓勵大仙姊妹用一個實際的行動去服侍有需要的人
[00:00:27.000 --> 00:00:31.000]  今天看的經文就記載在馬太福音
[00:00:31.000 --> 00:00:36.000]  一個大家都應該很熟悉或者聽過很多次的經文
[00:00:36.000 --> 00:00:37.000]  一個故事
[00:00:37.000 --> 00:00:40.000]  那我們先一起讀一讀今晚的經文
[00:00:40.000 --> 00:00:45.000]  我們今晚看的經文在馬太福音十九章十六至二十二節
[00:00:45.000 --> 00:00:49.000]  好,我們一二三一起讀,一二三
[00:00:49.000 --> 00:00:52.000]  有一個人來見耶穌說
[00:00:52.000 --> 00:00:57.000]  夫子,我該做什麼善事才能得永生
[00:00:57.000 --> 00:01:03.000]  耶穌對他說,你爲什麼以善事問我呢?
[00:01:03.000 --> 00:01:05.000]  只有一位是善的
[00:01:05.000 --> 00:01:10.000]  你若要進入永生,就當遵守戒命
[00:01:10.000 --> 00:01:13.000]  他說,什麼戒命?
[00:01:13.000 --> 00:01:20.000]  耶穌說,就是不可殺人,不可姦淫,不可偷渡,不可作假見證
[00:01:20.000 --> 00:01:25.000]  當孝敬父母,又當愛人如己
[00:01:25.000 --> 00:01:31.000]  那少年人說,這一切我都遵守了,還缺少什麼呢?
[00:01:31.000 --> 00:01:35.000]  耶穌說,你若願意作完全人
[00:01:35.000 --> 00:01:42.000]  可去變賣你所有的分級窮人,就必有財寶在天上
[00:01:42.000 --> 00:01:44.000]  你還要來跟從我
[00:01:44.000 --> 00:01:49.000]  那少年人聽見這話,就悠悠愁愁地走了
[00:01:49.000 --> 00:01:52.000]  因爲他的產業很多
[00:01:52.000 --> 00:01:54.000]  好,我們先祈禱
[00:01:54.000 --> 00:01:59.000]  好天父上帝,多謝你,多謝你讓我們一起去看你的說話
[00:01:59.000 --> 00:02:01.000]  求天父祝福我們
[00:02:01.000 --> 00:02:07.000]  你幫助我們在你賜給我們的聖經當中,我們能夠明白到你
[00:02:07.000 --> 00:02:09.000]  你開我們的心,開我們的耳
[00:02:09.000 --> 00:02:15.000]  讓我們有一個願意聽盡你說話的心
[00:02:15.000 --> 00:02:17.000]  讓我們打開,主要是感謝你
[00:02:17.000 --> 00:02:19.000]  祝福我們今晚的時間,聽我們的吐吐交託
[00:02:19.000 --> 00:02:22.000]  奉耶穌幾多神明之祈求
[00:02:22.000 --> 00:02:24.000]  好,那經文讀完了
[00:02:24.000 --> 00:02:28.000]  正如剛剛說的,這個故事大家應該看過很多次了
[00:02:28.000 --> 00:02:33.000]  甚至應該,如果有些習慣主義學大,可能主義學你都聽過了
[00:02:33.000 --> 00:02:37.000]  那除了說你可能看過很多次馬太乎乎之外
[00:02:37.000 --> 00:02:39.000]  其實這個故事呢
[00:02:39.000 --> 00:02:44.000]  同時在馬河乎乎和路加乎乎都有記載過的
[00:02:44.000 --> 00:02:48.000]  而基本上內容呢,大致上一樣
[00:02:48.000 --> 00:02:50.000]  在裏面有少少分別的
[00:02:50.000 --> 00:02:54.000]  它裏面的分別呢,其實就是說那個來找耶穌的人
[00:02:54.000 --> 00:02:57.000]  它裏面的形容呢,是有丁丁分別的
[00:02:57.000 --> 00:02:59.000]  不過我不特別的解釋了
[00:02:59.000 --> 00:03:01.000]  大家有興趣的話,可以研究一下
[00:03:01.000 --> 00:03:03.000]  因爲我們今天只是看馬太乎乎
[00:03:03.000 --> 00:03:05.000]  那馬太乎乎怎麼形容這個人呢?
[00:03:05.000 --> 00:03:09.000]  馬太乎乎形容這個人呢,其實有幾個特點的
[00:03:09.000 --> 00:03:13.000]  第一樣,就是說他產業很多
[00:03:13.000 --> 00:03:17.000]  第二樣呢,就是說他是一個遵守戒命的人
[00:03:17.000 --> 00:03:19.000]  他熟識律法
