
[00:00:00.000 --> 00:00:02.280]  各位弟姊妹主內平安
[00:00:02.280 --> 00:00:04.320]  很高興可以在座當中
[00:00:04.320 --> 00:00:07.000]  跟大家一起去敬拜上主
[00:00:07.000 --> 00:00:08.400]  我也感到很開心
[00:00:08.400 --> 00:00:10.440]  今天是一個福音的主日
[00:00:10.440 --> 00:00:12.320]  我知道也有一些朋友
[00:00:12.320 --> 00:00:13.880]  第一次來到這裡
[00:00:13.880 --> 00:00:15.520]  我們也熱烈的掌聲
[00:00:15.520 --> 00:00:18.560]  再次歡迎你們
[00:00:18.560 --> 00:00:21.680]  今天訊息的題目
[00:00:21.680 --> 00:00:23.920]  就叫做「不能賺取的平安」
[00:00:23.920 --> 00:00:26.080]  原來平安有兩款
[00:00:26.080 --> 00:00:28.880]  有一款就叫做「能夠賺取的平安」
[00:00:28.880 --> 00:00:31.720]  有一款就叫做「不能賺取的平安」
[00:00:31.720 --> 00:00:33.360]  那到底是什麼呢
[00:00:33.360 --> 00:00:35.160]  我們也透過禱告
[00:00:35.160 --> 00:00:36.680]  一起去仰望
[00:00:36.680 --> 00:00:38.280]  去聽訊息
[00:00:38.280 --> 00:00:39.280]  一起祈禱
[00:00:39.280 --> 00:00:41.000]  天父我們多謝你
[00:00:41.000 --> 00:00:42.440]  祈求主你的話
[00:00:42.440 --> 00:00:44.640]  成為我們生命的提醒
[00:00:44.640 --> 00:00:47.640]  也讓我們能夠聽到因言
[00:00:47.640 --> 00:00:49.040]  得著安慰
[00:00:49.040 --> 00:00:51.160]  調教我們生命的焦點
[00:00:51.160 --> 00:00:53.600]  重新奔走前面的路程
[00:00:53.600 --> 00:00:55.240]  幫助孩子講解你的話語
[00:00:55.240 --> 00:00:56.560]  清楚明白
[00:00:56.560 --> 00:00:58.520]  我們同心謙卑領受
[00:00:58.520 --> 00:01:01.000]  禱告是奉耶穌基督命求
[00:01:01.000 --> 00:01:02.680]  阿們
[00:01:02.680 --> 00:01:04.360]  我有一個女兒
[00:01:04.360 --> 00:01:06.800]  我的全家人
[00:01:06.800 --> 00:01:07.800]  是好幾年前
[00:01:07.800 --> 00:01:09.960]  當我的女兒還是小學的時候
[00:01:09.960 --> 00:01:12.560]  我們全家人一起住在長洲裡面
[00:01:12.560 --> 00:01:13.360]  為什麼呢
[00:01:13.360 --> 00:01:15.560]  就是因為我服侍的那間神學院
[00:01:15.560 --> 00:01:17.480]  就是在長洲裡面的
[00:01:17.480 --> 00:01:19.840]  她小一讀到小六
[00:01:19.840 --> 00:01:21.800]  當她小四的時候
[00:01:21.800 --> 00:01:24.720]  我就負責一個任務
[00:01:24.720 --> 00:01:26.560]  因為她的小學在山上
[00:01:26.560 --> 00:01:28.680]  我們的家就在山下面
[00:01:28.680 --> 00:01:30.960]  然後我的神學院又在山上面
[00:01:30.960 --> 00:01:33.760]  所以我就順便上班的緣故
[00:01:33.760 --> 00:01:34.920]  我就送我的女兒
[00:01:34.920 --> 00:01:37.040]  我負責每天都是我送我的女兒
[00:01:37.040 --> 00:01:39.000]  回到小學當中
[00:01:39.000 --> 00:01:39.600]  拜祭她
[00:01:39.600 --> 00:01:41.680]  然後打橫那條山頂道
[00:01:41.680 --> 00:01:44.160]  就回到神學院開工
[00:01:44.160 --> 00:01:45.680]  類似有一天我還記得
[00:01:45.680 --> 00:01:47.560]  當她小四的時候
[00:01:47.560 --> 00:01:49.360]  我就跟她一起走
[00:01:49.360 --> 00:01:51.440]  走的時候一起去聊天
[00:01:51.440 --> 00:01:53.160]  我的女兒就跟我聊
[00:01:53.160 --> 00:01:54.120]  我就問我的女兒
[00:01:54.120 --> 00:01:56.680]  你已經這麼大了
[00:01:56.680 --> 00:01:59.640]  我就應該沒有能力抱起你了
[00:01:59.640 --> 00:02:01.160]  我女兒就回應
[00:02:01.160 --> 00:02:01.600]  她就說
[00:02:01.600 --> 00:02:02.480]  爸爸當然了
[00:02:02.480 --> 00:02:04.920]  你那些手光是肥高不是肌肉
[00:02:04.920 --> 00:02:07.080]  當然抱不起了
[00:02:07.080 --> 00:02:09.120]  兩個人就很開心的
[00:02:09.120 --> 00:02:10.640]  接著到了差不多
[00:02:10.640 --> 00:02:11.680]  我就跟她說
[00:02:11.680 --> 00:02:13.680]  如果我抱不起你
[00:02:13.680 --> 00:02:15.920]  那誰能夠抱得起你呢
[00:02:15.920 --> 00:02:17.560]  她就回答了一句
[00:02:17.560 --> 00:02:18.720]  很肯定的
[00:02:18.720 --> 00:02:19.440]  就說
[00:02:19.440 --> 00:02:20.800]  你抱不起我
[00:02:20.800 --> 00:02:23.960]  天父抱得起我
[00:02:23.960 --> 00:02:25.840]  接著我聽完這一句之後
[00:02:25.840 --> 00:02:27.400]  我就收聲
[00:02:27.400 --> 00:02:28.760]  接著我就有一點點
[00:02:28.760 --> 00:02:31.440]  眼淚開始流的感覺
[00:02:31.440 --> 00:02:33.760]  然後我送她去小學的時候
[00:02:33.760 --> 00:02:35.000]  我就在走那條路
[00:02:35.000 --> 00:02:36.680]  上班的過程當中
[00:02:36.680 --> 00:02:38.520]  我就流了淚來
[00:02:38.520 --> 00:02:39.960]  因為我們都會知道
[00:02:39.960 --> 00:02:40.920]  當我們的小朋友
[00:02:40.920 --> 00:02:42.360]  去到成長的時候
[00:02:42.360 --> 00:02:43.400]  作為家長
[00:02:43.400 --> 00:02:44.640]  我們總不能夠
