
[00:00:00.000 --> 00:00:12.000]  今天和大家一起思想約翰福音裡面的一系列的訊息
[00:00:12.000 --> 00:00:15.000]  當接到培靈會的邀請的時候
[00:00:15.000 --> 00:00:18.000]  一路思想究竟應該講一個什麼訊息
[00:00:18.000 --> 00:00:21.000]  當接到培靈會邀請我的時候
[00:00:21.000 --> 00:00:24.000]  就在思想究竟講什麼樣的訊息
[00:00:24.000 --> 00:00:30.000]  其實這段時間一直都是不斷地重新去閱讀福音書
[00:00:30.000 --> 00:00:33.000]  在這段時間裡面就不斷地去閱讀福音書
[00:00:33.000 --> 00:00:36.000]  為什麼要重新去閱讀福音書呢?
[00:00:36.000 --> 00:00:39.000]  為什麼要重新去閱讀福音書呢?
[00:00:39.000 --> 00:00:41.000]  因為覺得在這個時代
[00:00:41.000 --> 00:00:44.000]  作為一個基督徒跟從基督是越來越艱難
[00:00:44.000 --> 00:00:47.000]  因為覺得在這段時期的話
[00:00:47.000 --> 00:00:49.000]  作為一個基督徒的話越來越艱難
[00:00:49.000 --> 00:00:55.000]  或者這樣講是越來越混亂和模糊
[00:00:55.000 --> 00:00:59.000]  或者是這樣說越來越混亂或者是模糊
[00:00:59.000 --> 00:01:03.000]  我們面對一個分離破碎的世界
[00:01:03.000 --> 00:01:06.000]  我們面對一個分離破碎的世界
[00:01:06.000 --> 00:01:09.000]  有很多的價值觀不斷地互相激動
[00:01:09.000 --> 00:01:12.000]  有很多的價值觀在不斷地衝擊
[00:01:12.000 --> 00:01:14.000]  我們很多時候都問一個問題
[00:01:14.000 --> 00:01:20.000]  究竟教會在這個世上如何忠誠於我們所信的福音
[00:01:20.000 --> 00:01:22.000]  和忠誠於我們所跟從的主耶穌基督
[00:01:22.000 --> 00:01:24.000]  我們很多時候會思想
[00:01:24.000 --> 00:01:26.000]  我們在這個世界的話
[00:01:26.000 --> 00:01:28.000]  怎樣去忠心於我們所信的福音
[00:01:28.000 --> 00:01:31.000]  和怎樣去忠心我們的基督耶穌
[00:01:31.000 --> 00:01:34.000]  有些人這樣說我們在這個年代裡面
[00:01:34.000 --> 00:01:42.000]  做一個信徒就好像一個人在汪洋大海裡面航行
[00:01:42.000 --> 00:01:44.000]  有些人用這樣的比喻說
[00:01:44.000 --> 00:01:47.000]  我們現在的話就好像信這個基督的話
[00:01:47.000 --> 00:01:49.000]  像在汪洋大海當中的一個人一樣
[00:01:49.000 --> 00:01:52.000]  剛才來這個地方的時候
[00:01:52.000 --> 00:01:55.000]  我們在陸地行是會有很多的路標的
[00:01:55.000 --> 00:01:58.000]  在陸地行走的時候會有很多的路標
[00:01:58.000 --> 00:02:02.000]  在汪洋大海你每一天出去都會見到都是汪洋一片
[00:02:02.000 --> 00:02:04.000]  但是在汪洋大海當中的話
[00:02:04.000 --> 00:02:07.000]  你出去看的話只是汪洋一片
[00:02:07.000 --> 00:02:10.000]  你不知道究竟你是不是在去你要去的地方
[00:02:10.000 --> 00:02:14.000]  你不知道你是不是要去你正在要想去的地方
[00:02:14.000 --> 00:02:18.000]  你怎樣航行都是可以叫做對的
[00:02:18.000 --> 00:02:21.000]  怎樣航行的話都覺得是對的
[00:02:21.000 --> 00:02:26.000]  因為沒有任何的參照點告訴你你究竟是對還是錯
[00:02:26.000 --> 00:02:30.000]  因為沒有任何的參照物告訴你這是對的還是錯的
[00:02:30.000 --> 00:02:33.000]  因為荒蕪周圍都是汪洋一片
[00:02:33.000 --> 00:02:37.000]  因為周圍你舉目看看全部都是汪洋一片
[00:02:37.000 --> 00:02:42.000]  但是在大海航行能夠知道自己的航道是對的
[00:02:42.000 --> 00:02:44.000]  一定是有一個導航在內心的裏面
[00:02:44.000 --> 00:02:47.000]  在他那個導航的系統裏面
[00:02:47.000 --> 00:02:49.000]  但是在汪洋裏面行船的話
[00:02:49.000 --> 00:02:51.000]  如果是你覺得是不是對的話
[00:02:51.000 --> 00:02:54.000]  一定要需要有一個導航的系統裏面
[00:02:54.000 --> 00:02:58.000]  在這個繃分離色的世界裏面
[00:02:58.000 --> 00:03:00.000]  究竟基督徒應該怎樣才知道
[00:03:00.000 --> 00:03:04.000]  自己所行的路是合乎上帝的心意的呢
[00:03:04.000 --> 00:03:08.000]  在這樣一個分離和破碎的世界裏面
[00:03:08.000 --> 00:03:13.000]  究竟基督徒怎樣知道我們這樣做是符合上帝的心意的呢
[00:03:13.000 --> 00:03:17.000]  所以我們一定要更加深去聽一下
[00:03:17.000 --> 00:03:20.000]  究竟耶穌基督是要我們怎樣跟從的
[00:03:20.000 --> 00:03:22.000]  所以我們更加要去聽一下
[00:03:22.000 --> 00:03:25.000]  耶穌怎樣告訴我們我們要怎樣去聽他的
[00:03:25.000 --> 00:03:30.000]  我就想起在約翰福音第十三章到第十七章那一段的聖經
[00:03:30.000 --> 00:03:35.000]  我就在想在約翰福音裏面的十三章到十七章這段的福音
[00:03:35.000 --> 00:03:38.000]  這段的聖經是耶穌基督離別門徒的時候
[00:03:38.000 --> 00:03:41.000]  和他們最深情的對話
[00:03:41.000 --> 00:03:45.000]  這段聖經的話是耶穌基督和他的門徒最深情的一個對話
[00:03:45.000 --> 00:03:48.000]  也是一個最長的一段的對話
[00:03:48.000 --> 00:03:51.000]  是一個最長篇幅的一個對話
[00:03:51.000 --> 00:03:53.000]  如果我們要知道怎樣去跟從主
[00:03:53.000 --> 00:03:56.000]  和跟從耶穌是怎樣的一回事呢
[00:03:56.000 --> 00:03:59.000]  這段的聖經是有很重要的一個指引的
[00:03:59.000 --> 00:04:02.000]  如果我們是知道我們怎樣去跟從主
[00:04:02.000 --> 00:04:04.000]  怎樣去遵循祂的話
[00:04:04.000 --> 00:04:07.000]  這是非常重要的一件事情
