
[00:00:00.000 --> 00:00:04.180]  我們一起將今天講道的時間交給我們的神
[00:00:04.180 --> 00:00:06.860]  天父我們感謝祢給我們一起去
[00:00:06.860 --> 00:00:09.460]  有敬拜的時間
[00:00:09.460 --> 00:00:10.660]  我們感謝祢
[00:00:10.660 --> 00:00:13.460]  今天也是一個歡喜快樂的日子
[00:00:13.460 --> 00:00:15.800]  有水禮、有轉會禮的時間
[00:00:15.800 --> 00:00:19.200]  我們看到我們的弟兄姊妹
[00:00:19.200 --> 00:00:20.600]  無論是轉會的
[00:00:20.600 --> 00:00:22.000]  尤其是水禮的
[00:00:22.000 --> 00:00:23.880]  他們生命的改變
[00:00:23.880 --> 00:00:25.720]  我們實在是歡喜快樂
[00:00:25.720 --> 00:00:28.800]  他們都願意在眾人面前見證
[00:00:28.800 --> 00:00:30.640]  我們實在是為他們感恩
[00:00:30.640 --> 00:00:32.320]  繼續為他們祈禱
[00:00:32.320 --> 00:00:37.060]  因為他們開始做門徒的一個過程
[00:00:37.060 --> 00:00:38.920]  求祢保守他們的腳步
[00:00:38.920 --> 00:00:43.740]  以致他們一生裡都是不偏離主
[00:00:43.740 --> 00:00:45.240]  你都毀身給主
[00:00:45.240 --> 00:00:47.840]  成為一個真正主的門徒
[00:00:47.840 --> 00:00:49.560]  我們將今天交上
[00:00:49.560 --> 00:00:51.720]  求祢幫助孩子去講道的時候
[00:00:51.720 --> 00:00:53.720]  將你的話語講得清楚
[00:00:53.720 --> 00:00:56.600]  雖然時間今天可能比較緊迫
[00:00:56.600 --> 00:00:59.140]  但是求祢讓你的話語
[00:00:59.140 --> 00:01:02.360]  就是將解釋講出來的時候
[00:01:02.360 --> 00:01:04.100]  可以啟發弟兄姊妹
[00:01:04.100 --> 00:01:06.700]  以及弟兄姊妹繼續可以思想
[00:01:06.700 --> 00:01:10.600]  以及可以收到這些信息裡面
[00:01:10.600 --> 00:01:13.440]  對我們的鼓勵、挑戰
[00:01:13.440 --> 00:01:14.920]  多謝主聽我們禱告
[00:01:14.920 --> 00:01:16.360]  奉耶穌基督的名字
[00:01:16.360 --> 00:01:17.240]  阿們
[00:01:17.240 --> 00:01:20.840]  我又講到第十五講
[00:01:20.840 --> 00:01:23.640]  就是挑選十二門徒的秘密
[00:01:23.640 --> 00:01:24.740]  怎麼說呢?
[00:01:24.740 --> 00:01:29.740]  就是說如果今天你也是耶穌的角色
[00:01:29.740 --> 00:01:33.440]  你想找一群跟隨你的人
[00:01:33.440 --> 00:01:34.540]  要教他們
[00:01:34.540 --> 00:01:40.100]  你要繼續的去釋放傳福音等等
[00:01:40.100 --> 00:01:41.600]  你說我還不是
[00:01:41.600 --> 00:01:42.620]  譬如說剛剛受浸的那些
[00:01:42.620 --> 00:01:44.080]  我都說太粗淺了
[00:01:44.080 --> 00:01:45.420]  不要緊,你當你是
[00:01:45.420 --> 00:01:47.000]  因為很多弟兄姊妹
[00:01:47.000 --> 00:01:51.080]  可能你在社會上已經是有一個領袖的角色
[00:01:51.080 --> 00:01:52.640]  你也會想象得到
[00:01:52.640 --> 00:01:55.780]  如果你在這樣的一個處境
[00:01:55.780 --> 00:01:57.240]  就是教會的處境
[00:01:57.240 --> 00:01:59.820]  你要來找一群人
[00:01:59.820 --> 00:02:04.880]  你會怎麼去挑選這群門徒呢?
[00:02:04.880 --> 00:02:06.900]  第一,你挑選多少個?
[00:02:06.900 --> 00:02:09.700]  第二,你會用什麼準則呢?
[00:02:09.700 --> 00:02:11.500]  我就不做那麼多互動了
[00:02:11.500 --> 00:02:13.720]  一互動就久了
[00:02:13.720 --> 00:02:16.360]  一般來說當然要挑選什麼呢?
[00:02:16.360 --> 00:02:19.260]  我引用一個叫做門徒訓練
[00:02:19.260 --> 00:02:21.020]  很喜歡說的,叫做肥仔
[00:02:21.020 --> 00:02:22.580]  Set people
[00:02:22.580 --> 00:02:23.860]  什麼叫做fat people呢?
[00:02:23.860 --> 00:02:27.700]  Fat就是faithful,就是忠誠的
[00:02:27.700 --> 00:02:31.540]  A就是available,就是他有時間的
[00:02:31.540 --> 00:02:33.340]  有空間的
[00:02:33.340 --> 00:02:35.120]  T就叫teachable
[00:02:35.120 --> 00:02:37.940]  就是受教的
[00:02:37.940 --> 00:02:40.760]  我想大家也會找這些,好不好?
[00:02:40.760 --> 00:02:42.040]  那還有些什麼呢?
