
[00:00:00.000 --> 00:00:02.600]  好,弟子們,讓我們先聽神的道義
[00:00:02.600 --> 00:00:04.100]  再加上禱告
[00:00:04.100 --> 00:00:05.100]  能夠將我們的新心靈
[00:00:05.100 --> 00:00:07.100]  建在上帝的手中
[00:00:07.100 --> 00:00:09.900]  弟子們,讓我們在聽道之間
[00:00:09.900 --> 00:00:13.900]  先將我們的新心靈交到上帝手上
[00:00:13.900 --> 00:00:16.000]  父親,多謝祢讓我們能夠再次
[00:00:16.000 --> 00:00:17.400]  回到祢的說話
[00:00:17.400 --> 00:00:20.500]  在祢的啟示當中去細心研讀
[00:00:20.500 --> 00:00:23.900]  求祢讓我們能夠有一個悟性
[00:00:23.900 --> 00:00:27.800]  聽盡的是上帝祢對我們的說話
[00:00:27.800 --> 00:00:29.800]  讓我們能夠在生命上
[00:00:29.800 --> 00:00:31.600]  可以得到更新
[00:00:31.600 --> 00:00:33.400]  所以我們同樣再次懇求
[00:00:33.400 --> 00:00:35.200]  祢所賜下的聖靈
[00:00:35.200 --> 00:00:38.000]  能夠有助我們能夠去準確地
[00:00:38.000 --> 00:00:39.200]  不單止了解
[00:00:39.200 --> 00:00:41.800]  並且付諸於實行
[00:00:41.800 --> 00:00:45.200]  讓我們能夠繼續在上帝的真理裡面
[00:00:45.200 --> 00:00:47.900]  能夠可以繼續持請
[00:00:47.900 --> 00:00:51.200]  見證更多屬神生命的人
[00:00:51.200 --> 00:00:54.100]  他們要知道的應有的生命
[00:00:54.100 --> 00:00:55.300]  我們再次感謝祢
[00:00:55.300 --> 00:01:01.700]  給我們能夠再次來到祢的跟前,來到一起,來到讀主禮的啟示
[00:01:01.700 --> 00:01:04.500]  在聖經裡面,上帝祢的說話
[00:01:04.500 --> 00:01:07.700]  讓我們明白到上帝祢的心意
[00:01:07.700 --> 00:01:09.800]  怎麼樣來到請求我們
[00:01:09.800 --> 00:01:13.000]  怎麼樣能夠使到我們生命得到更新
[00:01:13.000 --> 00:01:15.500]  我們把這一段時間恭敬家長
[00:01:15.500 --> 00:01:16.900]  求祢的幫助
[00:01:16.900 --> 00:01:21.300]  使我們能夠聽進去的每一句話
[00:01:21.300 --> 00:01:26.100]  都是上帝祢能夠幫助我們生命得到更新的事情
[00:01:26.100 --> 00:01:31.100]  求祢在過程當中也加計我們懇求聖靈來到引導
[00:01:31.100 --> 00:01:33.300]  使我們能夠好好掌握
