
[00:00:00.000 --> 00:00:03.480]  很開心見到你們 尤其是
[00:00:03.480 --> 00:00:06.680]  其實呢 我都要老實跟你們說
[00:00:06.680 --> 00:00:08.560]  我其實看得不是很清楚
[00:00:08.560 --> 00:00:12.640]  因為我接觸鏡頭應該不是很夠度數
[00:00:12.640 --> 00:00:15.520]  所以你們是很朦朧的一片
[00:00:15.520 --> 00:00:18.840]  但是我都看得到有些相熟的面孔
[00:00:18.840 --> 00:00:20.640]  所以今天很開心
[00:00:20.640 --> 00:00:23.120]  可以跟你們一起敬拜神
[00:00:23.120 --> 00:00:25.880]  容許我們一起禱告
[00:00:25.880 --> 00:00:27.480]  親愛的主我們多謝你
[00:00:27.480 --> 00:00:31.000]  因為祢是色在今日以後永在的神
[00:00:31.000 --> 00:00:33.560]  所以當我們走人生的道路的時候
[00:00:33.560 --> 00:00:37.440]  昨日今日一直到我們見到祢面的時候
[00:00:37.440 --> 00:00:39.200]  祢拖大我們的手
[00:00:39.200 --> 00:00:41.120]  所以我們將我們自己獻給祢
[00:00:41.120 --> 00:00:43.200]  處於今日的時候 求祢開我們的心
[00:00:43.200 --> 00:00:46.080]  讓我們能夠明白祢的說話
[00:00:46.080 --> 00:00:48.400]  讓我們能夠謹守進行
[00:00:48.400 --> 00:00:51.680]  聽我們的禱告 奉耶穌基督的命求
[00:00:51.680 --> 00:00:53.440]  阿門
[00:00:53.440 --> 00:00:55.920]  我是沒多久之前才知道
[00:00:55.920 --> 00:01:00.320]  今年是你們童福堂三十週年的紀念
[00:01:00.320 --> 00:01:03.320]  我之前是不知道的
[00:01:03.320 --> 00:01:07.160]  所以我就想我應該說些什麼呢
[00:01:07.160 --> 00:01:09.400]  我就記得我和我太太
[00:01:09.400 --> 00:01:15.000]  在2000年的時候第一次來你們那裡聚會
[00:01:15.000 --> 00:01:17.720]  那時候你們是一間較為小的教會
[00:01:17.720 --> 00:01:20.840]  人數很少的 大約只有三百個人
[00:01:20.840 --> 00:01:26.600]  但我們一直看著你們是很快的
[00:01:26.600 --> 00:01:28.520]  人數倍數的增長
[00:01:28.520 --> 00:01:30.240]  也轉了去這個地方
[00:01:30.240 --> 00:01:33.520]  更加大 更加寬敞去敬拜神
[00:01:33.520 --> 00:01:38.920]  我覺得這是神特別恩代私恩給童福堂的一個印證
[00:01:38.920 --> 00:01:42.440]  三十年不是一個短的日子
[00:01:42.440 --> 00:01:44.280]  我相信無論教會來講
[00:01:44.280 --> 00:01:46.440]  無論是每一個弟兄姊妹來講
[00:01:46.440 --> 00:01:49.480]  都經過不少的高低
[00:01:49.480 --> 00:01:55.560]  究竟當今天我們站在三十週年的布口上的時候
[00:01:55.560 --> 00:01:57.560]  我們怎樣走下去呢
[00:01:57.560 --> 00:02:00.320]  以前神的祝福和恩典
[00:02:00.320 --> 00:02:03.520]  以前神指你有德性的屬靈經驗
[00:02:03.520 --> 00:02:07.560]  是否可以再一直維繫下去呢
[00:02:07.560 --> 00:02:10.560]  這個我相信是不少人會問到的問題
[00:02:10.560 --> 00:02:15.720]  所以今天我希望跟你講一個主題是德性
[00:02:15.720 --> 00:02:19.920]  希望你們可以繼續在三十週年的時候
[00:02:19.920 --> 00:02:22.400]  你們繼續的德性下去
[00:02:22.400 --> 00:02:24.640]  當基督徒講到德性的時候
[00:02:24.640 --> 00:02:28.720]  其實我們無可避免會想到個人的德性
[00:02:28.720 --> 00:02:32.320]  就是我們德性聚在我們身上的權力
[00:02:32.320 --> 00:02:35.480]  我們德性在我們困難的時候
[00:02:35.480 --> 00:02:39.040]  我們能夠守住神的道 站立得穩
[00:02:39.040 --> 00:02:42.320]  沒錯 這些都是聖經所講到的德性
[00:02:42.320 --> 00:02:44.560]  但絕對不是全部
[00:02:44.560 --> 00:02:47.920]  因為聖經裡面很清楚講到有兩種的德性
[00:02:47.920 --> 00:02:49.720]  一種是個人的德性
[00:02:49.720 --> 00:02:52.240]  另一種是群體的德性
[00:02:52.240 --> 00:02:53.920]  兩種的德性
[00:02:53.920 --> 00:02:58.720]  群體和個人是彼此有很密切的關係
[00:02:58.720 --> 00:03:01.960]  個人的德性可以影響群體
[00:03:01.960 --> 00:03:05.360]  群體的德性可以鼓勵著個人
[00:03:05.360 --> 00:03:07.360]  群體的德性
[00:03:07.360 --> 00:03:10.560]  對今天的教會尤其重要
[00:03:10.560 --> 00:03:12.200]  這個概念
[00:03:12.200 --> 00:03:15.400]  為什麼呢 因為教會就是一個群體
[00:03:15.400 --> 00:03:17.920]  今天在動盪的世代
[00:03:17.920 --> 00:03:20.440]  在人心浮動的時候
[00:03:20.440 --> 00:03:24.000]  在我們經歷過這麼長時間的種種
[00:03:24.000 --> 00:03:26.920]  高高低低 又成功又失敗
[00:03:26.920 --> 00:03:28.880]  我們怎樣走下去呢
[00:03:28.880 --> 00:03:30.880]  我們可不可以德性呢
[00:03:30.880 --> 00:03:33.120]  我們可不可以繼續的德性呢
[00:03:33.120 --> 00:03:35.120]  這些都是我們要問道
[00:03:35.120 --> 00:03:38.160]  侍奉神的人想知道的問題
[00:03:38.160 --> 00:03:40.640]  我們就嘗試去看一看
[00:03:40.640 --> 00:03:42.640]  聖經裏面有一個很出名的人物
