
[00:00:00.000 --> 00:00:10.600]  近些年來有非常多的著名的基督教領袖紛紛跌下神壇
[00:00:10.600 --> 00:00:19.960]  近年來有很多非常出名的基督教領袖紛紛跌下神壇
[00:00:19.960 --> 00:00:38.400]  比如說像Mark Driscoll、Reverend Zachariah、Bill Hybert等等幾個人
[00:00:38.400 --> 00:00:41.320]  這些領袖其實都很有一些共性
[00:00:41.320 --> 00:00:45.960]  他們都是非常粗類拔萃的可謂是精英人物
[00:00:45.960 --> 00:00:51.200]  他們完全可以勝任任何一個國際的公司的總裁
[00:00:51.200 --> 00:00:55.200]  甚至具有管理一個國家的能力
[00:00:55.200 --> 00:00:59.200]  這些出名的領袖都有一個特色
[00:00:59.200 --> 00:01:01.760]  他們都是一些粗類拔萃的精英
[00:01:01.760 --> 00:01:06.880]  完全可以勝任一個國際公司的總裁
[00:01:06.880 --> 00:01:10.880]  甚至是能夠管理一個國家的能力
[00:01:10.880 --> 00:01:15.280]  這些領袖可以讓你感覺到是熱血沸騰
[00:01:15.280 --> 00:01:19.360]  你會覺得你非常希望跟隨他們屬於他們的圈子
[00:01:19.360 --> 00:01:28.280]  而這個圈子的中心就是這個極具強勢的個人魅力的領袖
[00:01:28.280 --> 00:01:33.360]  他們都非常讓你熱血沸騰
[00:01:33.360 --> 00:01:35.760]  你是不是很想跟隨他們?
[00:01:35.760 --> 00:01:38.440]  是不是很想屬於他們的圈子?
[00:01:38.440 --> 00:01:45.400]  但是這個圈子的中心是一個極具個人魅力的強勢領袖
[00:01:45.400 --> 00:01:47.920]  這個教會表面上風風火火
[00:01:47.920 --> 00:01:53.320]  但是在不斷增長的人數背後其實掩蓋了一個巨大的問題
[00:01:53.320 --> 00:01:57.520]  就是領袖越發強烈的自我膨脹
[00:01:57.520 --> 00:02:01.360]  逐漸讓整個的教會走上了一個不歸路
[00:02:01.360 --> 00:02:04.720]  這就是這些教會敗落的一個原因
[00:02:04.720 --> 00:02:11.200]  這個教會表面上很希望人數不斷增加
[00:02:11.200 --> 00:02:14.680]  但是都不能夠掩蓋它裡面的問題
[00:02:14.680 --> 00:02:20.520]  因為這些領袖越發自我膨脹
[00:02:20.520 --> 00:02:23.640]  逐漸走上了不歸的路
[00:02:23.640 --> 00:02:29.440]  甚至更加成為一個異端邪教的組織
[00:02:29.440 --> 00:02:32.240]  聖經的真理真的是超越時代
[00:02:32.240 --> 00:02:36.080]  今天的經文是兩千多年前的人寫的
[00:02:36.080 --> 00:02:37.080]  保羅寫的
[00:02:37.080 --> 00:02:39.400]  但是對於今天的這個教會
[00:02:39.400 --> 00:02:43.440]  現代的教會有很大的啟示和警示
[00:02:43.440 --> 00:02:49.480]  聖經真的是一個超越時代的一個真理
[00:02:49.480 --> 00:02:54.560]  今天的經文其實是對我們基督徒的一個問題
[00:02:54.560 --> 00:02:58.800]  和教會領袖對一個極具啟發和警示的作用
[00:02:58.800 --> 00:03:04.320]  其實哥林多後書的十到十三章是自成一個體系的
[00:03:04.320 --> 00:03:07.360]  也就是說保羅在這一段經文當中
[00:03:07.360 --> 00:03:10.840]  為他的使徒身份展開一個辯護
[00:03:10.840 --> 00:03:14.040]  所以整個的經文它的語氣當中
[00:03:14.040 --> 00:03:17.880]  含有了很多諷刺、自嘲的味道
[00:03:17.880 --> 00:03:20.160]  尤其是在今天的經文當中
[00:03:20.160 --> 00:03:23.480]  我們一定要讀懂這種諷刺的味道
[00:03:23.480 --> 00:03:29.720]  哥林多後書第十至十三章是一個自成一格的體系
[00:03:29.720 --> 00:03:33.840]  保羅為了自己使徒的身份來做辯護
[00:03:33.840 --> 00:03:39.160]  這一段經文其實是要讓人們明白
[00:03:39.160 --> 00:03:42.120]  裡面帶有諷刺的味道
[00:03:42.120 --> 00:03:44.360]  否則我們如果不是這樣讀的時候
[00:03:44.360 --> 00:03:49.000]  就不能夠理解經文裡面的意思
[00:03:49.000 --> 00:03:50.400]  今天的經文
[00:03:50.400 --> 00:03:53.240]  保羅開門見山的就這麼說
[00:03:53.240 --> 00:03:57.040]  他說:我自誇不但沒有意義
[00:03:57.040 --> 00:03:59.400]  而且是不得已
[00:03:59.400 --> 00:04:03.080]  其實保羅是擔心哥林多教會
[00:04:03.080 --> 00:04:06.160]  被假先知的謊言擄走
[00:04:06.160 --> 00:04:10.400]  所以他現在不得不為自己驗明正身
[00:04:10.400 --> 00:04:13.040]  保羅在這裡開門見山來說
[00:04:13.040 --> 00:04:15.800]  我自誇不但沒有意義
[00:04:15.800 --> 00:04:17.640]  而且是不得已的
[00:04:17.640 --> 00:04:19.640]  保羅其實很擔心
