
[00:00:00.000 --> 00:00:02.200]  丁永全今天我們所處的一個世代
[00:00:02.200 --> 00:00:05.140]  是一個充滿動盪的世代
[00:00:05.140 --> 00:00:07.280]  不但經過兩年的疫情
[00:00:07.280 --> 00:00:10.880]  到現在還沒有完全結束
[00:00:10.880 --> 00:00:13.480]  我們看見全球的經濟
[00:00:13.480 --> 00:00:16.240]  也面對極大的危機
[00:00:16.240 --> 00:00:17.780]  物價上漲
[00:00:17.780 --> 00:00:20.180]  不但為生活在美國的我們
[00:00:20.180 --> 00:00:22.640]  帶來很多生活的壓力
[00:00:22.640 --> 00:00:24.340]  在第三世界
[00:00:24.340 --> 00:00:27.340]  更是人們苦不堪言
[00:00:27.340 --> 00:00:32.100]  我還記得在上禮拜四抵達加納的時候
[00:00:32.100 --> 00:00:34.700]  開車經過加油站
[00:00:34.700 --> 00:00:37.940]  就看見他們的油價當時是
[00:00:37.940 --> 00:00:41.440]  七個加納幣一公升
[00:00:41.440 --> 00:00:44.540]  當我這個禮拜四重新回到加納的時候
[00:00:44.540 --> 00:00:46.100]  也經過加油站
[00:00:46.100 --> 00:00:47.300]  舉目一看
[00:00:47.300 --> 00:00:50.740]  加油站是八個加納幣一公升
[00:00:50.740 --> 00:00:52.200]  才一個禮拜
[00:00:52.200 --> 00:00:57.260]  你就感覺到全球經濟的一個動盪在這裡
[00:00:57.260 --> 00:00:58.760]  當然除此之外
[00:00:58.760 --> 00:00:59.960]  厄烏的戰爭
[00:00:59.960 --> 00:01:03.100]  更是教人面對現今的動盪世界
[00:01:03.100 --> 00:01:05.760]  感覺有一種無力感不是嗎
[00:01:05.760 --> 00:01:10.600]  我們真的可以感受到這種在大國的政治運作下
[00:01:10.600 --> 00:01:15.300]  這種弱小國家人民的悲哀
[00:01:15.300 --> 00:01:16.460]  在這場戰爭當中
[00:01:16.460 --> 00:01:18.000]  一方面我們看見
[00:01:18.000 --> 00:01:23.100]  這個世界無論在政治軍事的黑暗的一面
[00:01:23.100 --> 00:01:24.600]  但另一方面
[00:01:24.600 --> 00:01:29.500]  我們也看見有許多人性溫暖的一面
[00:01:29.500 --> 00:01:33.200]  這些天來我相信我們都聽見也看見
[00:01:33.200 --> 00:01:37.900]  多少愛心行動所帶來感人的一個故事
[00:01:37.900 --> 00:01:40.100]  我們也聽見也看見
[00:01:40.100 --> 00:01:43.360]  多少我們在烏克蘭教會跟信徒們
[00:01:43.360 --> 00:01:44.960]  他們的見證
[00:01:44.960 --> 00:01:47.460]  在苦難當中他們的信仰
[00:01:47.460 --> 00:01:50.400]  怎麼樣支持他們的信心
[00:01:50.400 --> 00:01:55.200]  這些見證都讓我們在面對這樣一種動盪世代的時候
[00:01:55.200 --> 00:01:59.260]  讓我們心中仍然有盼望
[00:01:59.260 --> 00:02:00.700]  所以我常說
[00:02:00.700 --> 00:02:06.100]  讓我們的眼目不只是看見仇敵在這個世界上的工作
[00:02:06.100 --> 00:02:07.460]  其實你們這個世界上
[00:02:07.460 --> 00:02:10.700]  我常說有兩種火正在燃燒
[00:02:10.700 --> 00:02:13.000]  第一種是死亡的火
[00:02:13.000 --> 00:02:16.900]  當你看見仇敵怎麼樣運用這些疫情
[00:02:16.900 --> 00:02:18.700]  危機跟戰爭
[00:02:18.700 --> 00:02:23.300]  叫我們心中充滿恐懼失去盼望的時候
[00:02:23.300 --> 00:02:28.900]  你就知道這個死亡的火正在很真實的燃燒
[00:02:28.900 --> 00:02:29.900]  但另外我要告訴你
[00:02:29.900 --> 00:02:33.360]  這個世界上還有另外一種火正在燃燒
[00:02:33.360 --> 00:02:35.900]  那就是神復興的火
[00:02:35.900 --> 00:02:41.200]  今天神的手在全世界的工作也是沒有停止過
[00:02:41.200 --> 00:02:44.060]  特別是這一次我到非洲去
[00:02:44.060 --> 00:02:47.100]  參加我們生命核在非洲的牧者聯導會
[00:02:47.100 --> 00:02:51.500]  我真的看見雖然疫情在這樣還繼續籠罩
[00:02:51.500 --> 00:02:57.600]  但是我們的牧者們真是充滿了傳福音的熱情在他們心中
[00:02:57.600 --> 00:03:01.520]  在這次非洲牧者聯導會裡面有兩件很重要的事情
[00:03:01.520 --> 00:03:02.720]  第一
[00:03:02.720 --> 00:03:05.800]  我們拆派了一位年輕的牧師
[00:03:05.800 --> 00:03:10.800]  進入到西非的馬里共和國做開拓職場的工作
[00:03:10.800 --> 00:03:14.200]  馬里共和國本來是一個回教國家
[00:03:14.200 --> 00:03:18.560]  在境內有百分之八十八的人是回教徒
[00:03:18.560 --> 00:03:21.520]  但最近幾年他們國家才開放
[00:03:21.520 --> 00:03:25.120]  容許教會進去做傳福音的工作
[00:03:25.120 --> 00:03:28.120]  感謝神我們在多哥的青年牧師
[00:03:28.120 --> 00:03:30.420]  他就願意回應神的呼召
[00:03:30.420 --> 00:03:32.160]  進入到馬里共和國
[00:03:32.160 --> 00:03:35.120]  在那傳主的福音來建立教會
[00:03:35.120 --> 00:03:38.320]  這次將是我們進入非洲的第十五個國家
[00:03:38.320 --> 00:03:39.760]  Amen
[00:03:39.760 --> 00:03:40.800]  第二
[00:03:40.800 --> 00:03:44.800]  我們也案例了在塞內加爾的馬提亞牧師
[00:03:44.800 --> 00:03:50.060]  成為我們在生命河在非洲事工的主任
[00:03:50.060 --> 00:03:52.860]  主要的原因是因為我們在非洲的事工
[00:03:52.860 --> 00:03:56.860]  現在發展的越來越快越來越廣
[00:03:56.860 --> 00:04:00.060]  我們在感覺到越來越沒有辦法從美國
[00:04:00.060 --> 00:04:04.320]  很遙遠的來管理他們有效的來牧養他們
[00:04:04.320 --> 00:04:09.860]  所以我們希望在當地能夠設立一個非洲事工的主任
[00:04:09.860 --> 00:04:13.560]  感謝神馬提亞牧師是在所有的牧者當中
[00:04:13.560 --> 00:04:15.660]  非常被接納的一位
[00:04:15.660 --> 00:04:19.920]  他這麼多年負責我們在非洲青年的特惠
[00:04:19.920 --> 00:04:23.160]  一年又一年培養了許多年輕的傳道人
[00:04:23.160 --> 00:04:26.200]  他也是被牧者廣泛的接納
[00:04:26.200 --> 00:04:30.160]  所以那天當我在我們牧者聯導會宣布
[00:04:30.160 --> 00:04:34.660]  他是我們要來的非洲事工主任的時候
[00:04:34.660 --> 00:04:38.360]  我告訴你全體的牧者都起立鼓掌
[00:04:38.360 --> 00:04:42.820]  甚至連敬拜團在後面已經彈起跳舞的音樂在那裡
