
[00:00:00.000 --> 00:00:01.560]  為甚麼我會這樣說呢
[00:00:01.560 --> 00:00:03.340]  因為大家如果有留意的話
[00:00:03.340 --> 00:00:07.180]  就知道上個星期巴黎有連環的恐襲
[00:00:07.180 --> 00:00:09.180]  死了很多人
[00:00:09.180 --> 00:00:13.120]  死了三百多人受傷
[00:00:13.120 --> 00:00:15.640]  但是剛剛星期五早上
[00:00:15.640 --> 00:00:17.280]  我剛去了聖地耶哥
[00:00:17.280 --> 00:00:19.920]  因為他們下面的教會有獻堂來
[00:00:19.920 --> 00:00:22.760]  我在路途當中就聽到
[00:00:22.760 --> 00:00:25.000]  在西非 馬尼的地方
[00:00:25.000 --> 00:00:27.560]  有另外的恐怖分子
[00:00:27.560 --> 00:00:32.560]  走進酒店當中挾持人質
[00:00:32.560 --> 00:00:36.700]  最少有十九人死亡
[00:00:36.700 --> 00:00:40.240]  其實心情是頗沉重的
[00:00:40.240 --> 00:00:44.240]  在感恩節的時間聽到這樣的消息
[00:00:44.240 --> 00:00:48.180]  當然這兩件事比較明顯突出一點
[00:00:48.180 --> 00:00:50.280]  事實上我上網查證的時候
[00:00:50.280 --> 00:00:51.640]  在馬尼這個地方
[00:00:51.640 --> 00:00:59.940]  今年恐怖襲擊已經殺死了超過三十六人
[00:00:59.940 --> 00:01:03.280]  所以其實是頗令人害怕的事
[00:01:03.280 --> 00:01:07.980]  這些來自不同恐怖組織的
[00:01:07.980 --> 00:01:11.100]  所謂回教極端分子
[00:01:11.100 --> 00:01:13.700]  報紙是這樣稱呼他們
[00:01:13.700 --> 00:01:15.860]  這班人
[00:01:15.860 --> 00:01:19.740]  中國人說 廣東人說是膽生毛
[00:01:19.740 --> 00:01:22.540]  什麼事都敢去做
[00:01:22.540 --> 00:01:25.040]  他們不怕別人說他們搞亂世界
[00:01:25.040 --> 00:01:28.940]  事實上他們正想搞亂這個世界
[00:01:28.940 --> 00:01:31.180]  但我們回想一下基督徒
[00:01:31.180 --> 00:01:35.440]  我們說基督徒是傳和平福音的人
[00:01:35.440 --> 00:01:38.220]  但有時候我都會發覺
[00:01:38.220 --> 00:01:41.180]  基督徒害怕別人說我們搞亂世界
[00:01:41.180 --> 00:01:42.420]  如果你熟悉聖經的話
[00:01:42.420 --> 00:01:45.420]  其實你應該記得這句說話在哪裏出現
[00:01:45.420 --> 00:01:47.060]  在《士徒行傳》
[00:01:47.060 --> 00:01:50.500]  當保羅去傳福音去貼撒雷尼加的時候
[00:01:50.500 --> 00:01:53.660]  那些猶太人在攻擊保羅
[00:01:53.660 --> 00:01:55.640]  於是煽動群眾
[00:01:55.640 --> 00:01:58.740]  用什麼去控告他們 誣告他們呢
[00:01:58.740 --> 00:02:01.140]  這就是搞亂世界的人
[00:02:01.140 --> 00:02:08.280]  他將一個違背摩西律法的新消息告訴我們
[00:02:08.280 --> 00:02:09.780]  For some reason
[00:02:09.780 --> 00:02:11.180]  基督徒不知為什麼
[00:02:11.180 --> 00:02:13.920]  有時候我們很怕去傳福音
[00:02:13.920 --> 00:02:17.520]  其中一個原因是怕別人說我們搞亂世界
[00:02:17.520 --> 00:02:18.520]  你自己信就好了
[00:02:18.520 --> 00:02:20.520]  信耶穌你自己信
