
[00:00:00.000 --> 00:00:09.000]  今年的意象,每一個主日,第一個主日,我們信息都是要講積極恢復分離更新的信息
[00:00:09.000 --> 00:00:15.000]  那麼今天我要講全面的恢復,不斷的更新
[00:00:15.000 --> 00:00:18.000]  全面恢復對主的科目
[00:00:18.000 --> 00:00:20.000]  對主的順服
[00:00:20.000 --> 00:00:22.000]  對主的信靠
[00:00:22.000 --> 00:00:25.000]  然後不斷的更新
[00:00:25.000 --> 00:00:30.000]  我的結論是說我們要依靠神的大能
[00:00:30.000 --> 00:00:35.000]  一月的時候,我們是新年
[00:00:35.000 --> 00:00:39.000]  我特別講了「除舊布新」
[00:00:39.000 --> 00:00:43.000]  也就是說,我們舊的人有舊的樣子
[00:00:43.000 --> 00:00:46.000]  新的人有新的樣式
[00:00:46.000 --> 00:00:51.000]  而新舊之間呢,常常會相爭
[00:00:51.000 --> 00:00:55.000]  就好像保羅在羅馬書七章二十三節他說的
[00:00:55.000 --> 00:00:59.000]  他說我肢體有一個律,我心中有一個律
[00:00:59.000 --> 00:01:04.000]  但是我肢體的律常常跟我心中的律爭戰
[00:01:04.000 --> 00:01:11.000]  換句話說,我們的老我跟聖靈在爭戰
[00:01:11.000 --> 00:01:14.000]  有新的,有舊的
[00:01:14.000 --> 00:01:22.000]  又像路加福音說,新布、新酒、新皮帶、新的衣服
[00:01:22.000 --> 00:01:26.000]  你不要把舊的布補在新衣服上面
[00:01:26.000 --> 00:01:30.000]  那個新衣服一洗、一縮水
[00:01:30.000 --> 00:01:33.000]  舊的布就扯壞了
[00:01:33.000 --> 00:01:38.000]  同樣的,舊的皮帶你如果裝新酒
[00:01:38.000 --> 00:01:41.000]  但是新酒還會繼續發酵
[00:01:41.000 --> 00:01:44.000]  結果皮帶就破了
[00:01:44.000 --> 00:01:47.000]  所以新布要補在新衣服
[00:01:47.000 --> 00:01:50.000]  新皮帶要裝新酒
[00:01:50.000 --> 00:01:53.000]  這就是新舊的原則
[00:01:53.000 --> 00:01:57.000]  當然了,保羅講的最傳神了
[00:01:57.000 --> 00:01:59.000]  他在隱夫所書上面說
[00:01:59.000 --> 00:02:01.000]  我們要除舊布新
[00:02:01.000 --> 00:02:05.000]  要脫去舊人,穿上新人
[00:02:05.000 --> 00:02:09.000]  這一點真的,我是百思不及
[00:02:09.000 --> 00:02:15.000]  你怎麼脫去舊人,怎麼穿上新人呢?
[00:02:15.000 --> 00:02:19.000]  你就想,如果我們新年的時候常常講
[00:02:19.000 --> 00:02:23.000]  新年到,新年到,穿新衣、戴新帽
[00:02:23.000 --> 00:02:28.000]  你就想,我穿上新衣服、穿上新鞋子
[00:02:28.000 --> 00:02:31.000]  那麼這就對了
[00:02:31.000 --> 00:02:35.000]  二月份我講說,我們要期待
[00:02:35.000 --> 00:02:40.000]  restoration and renewal,就是恢復與更新
[00:02:40.000 --> 00:02:42.000]  我們要期待
[00:02:42.000 --> 00:02:46.000]  二月份正好是農曆年,是牛年
[00:02:46.000 --> 00:02:51.000]  特別還講說,這個市場要像是bull market
[00:02:51.000 --> 00:02:55.000]  不是bear market,是牛市
