
[00:00:00.000 --> 00:00:02.080]  我們來到《九一網》上的第十四講
[00:00:02.080 --> 00:00:04.420]  上一次我們講到《創世紀》第十九章
[00:00:04.420 --> 00:00:07.420]  上帝去審判罪惡之成所多瑪俄摩拉
[00:00:07.420 --> 00:00:09.720]  表明上帝是傳遞的主人
[00:00:09.720 --> 00:00:12.840]  現在來到《創世紀》第二十到二十一章
[00:00:12.840 --> 00:00:16.740]  這個差不多到達阿巴拉罕故事的尾聲
[00:00:16.740 --> 00:00:18.840]  通常一個作者
[00:00:18.840 --> 00:00:21.020]  會在故事或者劇集的尾聲
[00:00:21.020 --> 00:00:22.560]  會交代不同的情節
[00:00:22.560 --> 00:00:26.340]  其實這兩章是講到三個不同的事蹟
[00:00:26.340 --> 00:00:27.760]  第一個故事
[00:00:27.760 --> 00:00:31.740]  就是講到阿巴拉罕在外邦人的地方叫做基拉爾
[00:00:31.740 --> 00:00:32.980]  發生了一些事情
[00:00:32.980 --> 00:00:34.880]  然後二十一章上半章
[00:00:34.880 --> 00:00:36.700]  就講到以撒出生
[00:00:36.700 --> 00:00:38.820]  以撒瑪利離開
[00:00:38.820 --> 00:00:40.960]  然後二十一章下半章
[00:00:40.960 --> 00:00:43.440]  就講到阿巴拉罕在另一個地方
[00:00:43.440 --> 00:00:44.580]  叫做別氏巴
[00:00:44.580 --> 00:00:46.560]  那裡也發生了不同的事蹟
[00:00:46.560 --> 00:00:49.220]  我們先處理中間這段線
[00:00:49.220 --> 00:00:53.300]  就是處理以撒和以撒瑪利的問題
[00:00:53.300 --> 00:00:55.380]  其實是一個繼承者的問題
[00:00:55.380 --> 00:00:59.460]  誰能夠繼承阿巴拉罕所立的大國呢?
[00:00:59.460 --> 00:01:02.220]  這個是故事的尾段
[00:01:02.220 --> 00:01:03.460]  之前你發現
[00:01:03.460 --> 00:01:05.580]  有很多故事的發展
[00:01:05.580 --> 00:01:06.820]  有很多的拖延
[00:01:06.820 --> 00:01:07.960]  有很多的等待
[00:01:07.960 --> 00:01:09.040]  有很多的障礙
[00:01:09.040 --> 00:01:10.540]  有很多的問題出現
[00:01:10.540 --> 00:01:14.220]  最後上帝就克服了所有的困難
[00:01:14.220 --> 00:01:15.200]  所有的路障
[00:01:15.200 --> 00:01:17.880]  以至最後以撒出生
[00:01:17.880 --> 00:01:19.700]  第八天受了割禮之後
[00:01:19.700 --> 00:01:21.340]  創世紀二十一章第八節
[00:01:21.340 --> 00:01:22.340]  他說
[00:01:22.340 --> 00:01:23.780]  以撒漸漸長大了
[00:01:23.780 --> 00:01:25.640]  斷了奶之後斷奶過一天
[00:01:25.640 --> 00:01:27.520]  阿巴拉罕就大排筵席了
[00:01:27.520 --> 00:01:30.500]  撒拉看到埃及人下格
[00:01:30.500 --> 00:01:33.140]  被阿巴拉罕所生的兒子
[00:01:33.140 --> 00:01:35.300]  就是以撒瑪利在唏噓
[00:01:35.300 --> 00:01:36.820]  就是去欺負他的時候
[00:01:36.820 --> 00:01:38.920]  就對阿巴拉罕說
[00:01:38.920 --> 00:01:41.120]  他說將這個婢女和她的兒子趕走
[00:01:41.120 --> 00:01:42.900]  因為這個婢女的兒子
[00:01:42.900 --> 00:01:46.380]  不能夠跟我的兒子以撒一同承受家業的
[00:01:46.380 --> 00:01:49.280]  阿巴拉罕就因為這個兒子以撒瑪利
[00:01:49.280 --> 00:01:50.420]  非常煩惱
[00:01:50.420 --> 00:01:53.220]  上帝就對阿巴拉罕說什麼呢?
[00:01:53.220 --> 00:01:56.100]  他說不要因為這個的童子和你的婢女而煩惱
[00:01:56.100 --> 00:01:58.540]  撒拉說什麼你儘管聽從
[00:01:58.540 --> 00:02:00.140]  因為以撒生的
[00:02:00.140 --> 00:02:02.220]  才可以稱為你的後裔
[00:02:02.220 --> 00:02:04.500]  至於這個婢女所生的兒子以撒瑪利
[00:02:04.500 --> 00:02:06.860]  我也會使他成為一國
[00:02:06.860 --> 00:02:09.580]  因為他也是你的後裔
[00:02:09.580 --> 00:02:11.960]  我們看這個故事的時候
[00:02:11.960 --> 00:02:13.560]  很難禁會有一種感覺
[00:02:13.560 --> 00:02:15.440]  就是覺得很無情、很無辜
[00:02:15.440 --> 00:02:17.000]  下格
[00:02:17.000 --> 00:02:17.980]  以撒瑪利
[00:02:17.980 --> 00:02:20.100]  如果你先算誰錯的話
[00:02:20.100 --> 00:02:21.560]  一定不會是他們
[00:02:21.560 --> 00:02:24.580]  如果看回故事發展的開頭
[00:02:24.580 --> 00:02:28.300]  是阿巴拉罕和撒拉去到獻祭
[00:02:28.300 --> 00:02:32.140]  才會使下格生了以撒瑪利
[00:02:32.140 --> 00:02:35.120]  現在到故事的尾聲了
[00:02:35.120 --> 00:02:37.260]  根本就不關他們母子倆的事
[00:02:37.260 --> 00:02:39.260]  為什麼要將他們趕走呢?
[00:02:39.260 --> 00:02:41.960]  好像很可憐、很慘
[00:02:41.960 --> 00:02:43.160]  第一
[00:02:43.160 --> 00:02:44.260]  我們需要留意的
[00:02:44.260 --> 00:02:45.500]  看這個故事的時候
[00:02:45.500 --> 00:02:50.060]  就是我們發現這個故事是寫給當時古近東的人
[00:02:50.060 --> 00:02:54.600]  他們明白當時文化家族的產業是怎麼運作的
[00:02:54.600 --> 00:02:56.400]  可能對第一代的讀者
[00:02:56.400 --> 00:02:57.420]  古代的讀者
[00:02:57.420 --> 00:02:59.620]  這個是還可以接受的
[00:02:59.620 --> 00:03:00.760]  無論如何
[00:03:00.760 --> 00:03:02.200]  如果你看這個故事
[00:03:02.200 --> 00:03:04.680]  以撒和以撒瑪利
[00:03:04.680 --> 00:03:08.980]  如果單從一個分家產的角度來看
[00:03:08.980 --> 00:03:09.840]  沒錯
[00:03:09.840 --> 00:03:12.840]  其實兩個兒子都可以一起分享的
[00:03:12.840 --> 00:03:15.420]  最多以撒分兩份
[00:03:15.420 --> 00:03:17.740]  以撒瑪利分得比較少
[00:03:18.520 --> 00:03:21.960]  況且阿伯拉罕也不是窮的人
[00:03:21.960 --> 00:03:25.260]  他雖然不至於說是一個帝國帝王
[00:03:25.260 --> 00:03:27.360]  但是家產也是不少的
[00:03:27.360 --> 00:03:28.900]  但是如果你留意
[00:03:28.900 --> 00:03:32.660]  我們在看上帝的國度
[00:03:32.660 --> 00:03:36.480]  上帝的預約一直向前邁進的時候
[00:03:36.480 --> 00:03:39.300]  這個就不單單講到分土地
[00:03:39.300 --> 00:03:41.980]  不單單講到分財產的問題
[00:03:41.980 --> 00:03:44.240]  是講到一個國度裡面
[00:03:44.240 --> 00:03:45.840]  有一個王位
[00:03:45.840 --> 00:03:49.720]  一個王能夠從萬國之父
[00:03:49.720 --> 00:03:53.120]  以色列阿伯拉罕的家族裡面出現的
[00:03:53.120 --> 00:03:54.760]  如果是這樣的話
[00:03:54.760 --> 00:03:57.020]  一國之君就只有一個了
[00:03:57.020 --> 00:03:59.600]  所以只有一個繼承人
[00:03:59.600 --> 00:04:02.640]  所以為什麼創世紀一直在講
[00:04:02.640 --> 00:04:04.940]  上帝所創立的天國
[00:04:04.940 --> 00:04:06.560]  要使萬國能夠得福
[00:04:06.560 --> 00:04:08.700]  這個天國的繼承人只有一位
[00:04:08.700 --> 00:04:12.100]  況且上帝的揀選原則
[00:04:12.100 --> 00:04:13.800]  往往是出人意外的
[00:04:13.800 --> 00:04:15.940]  人們以為第一個出世的長子
[00:04:15.940 --> 00:04:18.940]  就一定會有這個位分
[00:04:18.940 --> 00:04:22.480]  但是創世紀在族長的故事裡面
[00:04:22.480 --> 00:04:23.560]  一直在講的
[00:04:23.560 --> 00:04:24.560]  所揀選的
[00:04:24.560 --> 00:04:27.660]  都不是人的價值
[00:04:27.660 --> 00:04:29.160]  不是按照人的原則
[00:04:29.160 --> 00:04:30.160]  譬如
[00:04:30.160 --> 00:04:33.960]  神就立以撒為繼承人
[00:04:33.960 --> 00:04:36.400]  長子以撒瑪利就沒有份了
[00:04:36.400 --> 00:04:38.260]  之後的故事
[00:04:38.260 --> 00:04:39.360]  我們會記得
[00:04:39.360 --> 00:04:41.360]  雅各和以素
[00:04:41.360 --> 00:04:43.440]  以素是長子但是上帝沒有揀選
[00:04:43.440 --> 00:04:45.040]  他是揀選雅各
[00:04:45.040 --> 00:04:47.140]  然後雅各是十二眾子
[00:04:47.140 --> 00:04:47.940]  揀選了誰呢?
[00:04:47.940 --> 00:04:49.280]  揀選了第四個兒子
[00:04:49.280 --> 00:04:50.280]  是尤大
[00:04:50.280 --> 00:04:52.580]  他才能夠有這個位分
[00:04:52.580 --> 00:04:54.280]  君王的繼承人
[00:04:54.280 --> 00:04:57.020]  我們怎麼看這個故事的時候
[00:04:57.020 --> 00:04:57.880]  你就說
[00:04:57.880 --> 00:04:59.780]  也是覺得很慘而已
