
[00:00:00.000 --> 00:00:03.000]  我們從這個星期開始
[00:00:03.000 --> 00:00:09.000]  接下來這一季我們的主題都是會特別研讀約書亞記的
[00:00:09.000 --> 00:00:16.000]  約書亞記是一卷我們稱它為承受神自己應許的書
[00:00:16.000 --> 00:00:19.000]  所以今天我有機會就跟大家打頭陣
[00:00:19.000 --> 00:00:21.000]  講第一次,很開心
[00:00:21.000 --> 00:00:23.000]  也很喜歡約書亞記第一章
[00:00:23.000 --> 00:00:27.000]  所以大家有機會如果手上有聖經的話
[00:00:27.000 --> 00:00:30.000]  可以打開我們剛才所讀的那段聖經
[00:00:30.000 --> 00:00:34.000]  約書亞記,舊約的約書亞記第一章
[00:00:34.000 --> 00:00:36.000]  如果大家用唐用的聖經
[00:00:36.000 --> 00:00:39.000]  是唐用聖經310頁
[00:00:39.000 --> 00:00:44.000]  約書亞記第一章
[00:00:44.000 --> 00:00:50.000]  看看神呼召約書亞的經歷,經驗是怎樣
[00:00:50.000 --> 00:00:52.000]  我不知道你們有沒有像約書亞一樣
[00:00:52.000 --> 00:00:53.000]  我相信會有
[00:00:53.000 --> 00:00:57.000]  有時候我們人生走到一個交叉點
[00:00:57.000 --> 00:00:59.000]  來到一個關口
[00:00:59.000 --> 00:01:01.000]  真的不知道怎樣走下去
[00:01:01.000 --> 00:01:03.000]  心裡有很大的壓力
[00:01:03.000 --> 00:01:05.000]  很沒有把握
[00:01:05.000 --> 00:01:08.000]  但是又覺得壓的責任很沉重
[00:01:08.000 --> 00:01:10.000]  我相信你經歷過
[00:01:10.000 --> 00:01:12.000]  或者現在正是在這樣的情況下
[00:01:12.000 --> 00:01:16.000]  約書亞正正就是一樣這樣的心情
[00:01:16.000 --> 00:01:19.000]  所以今天我們試一下追蹤約書亞的心情
[00:01:19.000 --> 00:01:21.000]  來看約書亞記第一章
[00:01:21.000 --> 00:01:25.000]  為什麼我們說約書亞有這麼沉重的心情呢?
[00:01:25.000 --> 00:01:27.000]  因為如果你好像約書亞一樣
[00:01:27.000 --> 00:01:29.000]  你會明白
[00:01:29.000 --> 00:01:32.000]  等了七百年
[00:01:32.000 --> 00:01:34.000]  神在當年
[00:01:34.000 --> 00:01:37.000]  以色列人的祖宗阿伯拉罕
[00:01:37.000 --> 00:01:39.000]  跟他說,當時他住在吾爾的地方
[00:01:39.000 --> 00:01:41.000]  說你來吧,你相信我
[00:01:41.000 --> 00:01:44.000]  我有一塊地是送給你和你的子孫的
[00:01:44.000 --> 00:01:46.000]  將來你在那裡開枝散葉
[00:01:46.000 --> 00:01:50.000]  於是阿伯拉罕就憑著信心跟著神走
[00:01:50.000 --> 00:01:52.000]  但是到了那裡
[00:01:52.000 --> 00:01:54.000]  聖經說有人已經住在那裡
[00:01:54.000 --> 00:01:56.000]  並且從來沒有真正得過那個地方
[00:01:56.000 --> 00:01:58.000]  那個就是英許之地
[00:01:58.000 --> 00:02:00.000]  就是迦南的美地
[00:02:00.000 --> 00:02:02.000]  也是今天我們的伯勒斯坦
[00:02:02.000 --> 00:02:04.000]  大家知道
[00:02:04.000 --> 00:02:06.000]  接著所發生的事
[00:02:06.000 --> 00:02:08.000]  大家讀聖經,從創世紀一直讀到現在
[00:02:08.000 --> 00:02:10.000]  或者是初級記你都會明白
[00:02:10.000 --> 00:02:12.000]  歷盡坎坷
[00:02:12.000 --> 00:02:14.000]  以色列不單止得不到那個地方
[00:02:14.000 --> 00:02:17.000]  接著後裔最後下到埃及
[00:02:17.000 --> 00:02:19.000]  做別人的奴隸
