
[00:00:00.000 --> 00:00:03.280]  今天的題目叫做「生死教育」
[00:00:03.280 --> 00:00:04.400]  為甚麼會叫做「生死教育」呢?
[00:00:04.400 --> 00:00:07.400]  稍後的內容你就會很清楚了
[00:00:07.400 --> 00:00:09.800]  我相信我們在我們周邊的人
[00:00:09.800 --> 00:00:11.920]  我們的同事、親人
[00:00:11.920 --> 00:00:15.280]  或者朋友很多都在過新生活
[00:00:15.280 --> 00:00:15.960]  為甚麼呢?
[00:00:15.960 --> 00:00:19.480]  因為知道近來很多人正在移民
[00:00:19.480 --> 00:00:21.440]  有些移民了,回來後說
[00:00:21.440 --> 00:00:27.080]  「哇!生活上,小朋友讀書都改善了」
[00:00:27.080 --> 00:00:30.400]  「因為讀書與香港不同」
[00:00:30.400 --> 00:00:32.160]  「那邊是自我發掘的」
[00:00:32.160 --> 00:00:36.360]  「是以閱讀為本,壓力少了很多」
[00:00:36.360 --> 00:00:40.040]  「地方大了很多,人都很友善」
[00:00:40.040 --> 00:00:43.680]  同樣有些弟兄姊妹回來跟我說
[00:00:43.680 --> 00:00:46.720]  「都很好的,不過有些東西又不太習慣」
[00:00:46.720 --> 00:00:49.960]  例如字幕,真的很驚訝
[00:00:49.960 --> 00:00:52.280]  「香港晚上11時、12時」
[00:00:52.280 --> 00:00:54.080]  「你到處走都很安全」
[00:00:54.080 --> 00:00:56.800]  「到那裡7、8時就回家了」
[00:00:56.800 --> 00:00:59.880]  有些人說「天黑,3、4時就天黑」
[00:00:59.880 --> 00:01:02.440]  「真的不習慣,香港不夜天」
[00:01:02.440 --> 00:01:04.360]  或者想下雨
[00:01:04.360 --> 00:01:06.080]  還有一樣我聽到很有趣的
[00:01:06.080 --> 00:01:07.240]  不知道你有沒有聽過
[00:01:07.240 --> 00:01:12.320]  就是在英國特別不是每次都要洗廁所
[00:01:12.320 --> 00:01:14.160]  即是去幾次洗一次
[00:01:14.160 --> 00:01:15.960]  為甚麼呢?洗廁所要錢
[00:01:15.960 --> 00:01:17.440]  水是要錢的
[00:01:17.440 --> 00:01:20.440]  我聽過有一次,有個朋友說得挺好笑
[00:01:20.440 --> 00:01:22.920]  他請了朋友去他家探望他的時候
[00:01:22.920 --> 00:01:25.440]  他叮囑他朋友去廁所不要洗了
[00:01:25.440 --> 00:01:27.400]  誰知他朋友去完又洗
[00:01:27.400 --> 00:01:29.760]  他出來說「你又洗我廁所」
[00:01:29.760 --> 00:01:31.200]  「怎麼了?」
[00:01:31.200 --> 00:01:32.920]  我覺得都挺好笑的
[00:01:32.920 --> 00:01:36.080]  無論如何我們都有適應與否
[00:01:36.080 --> 00:01:39.840]  移民都是一個新生活、新體驗
[00:01:39.840 --> 00:01:41.760]  新方向、新環境
[00:01:41.760 --> 00:01:44.640]  當然我們今天不是說肉身的移民
[00:01:44.640 --> 00:01:46.520]  我們說心靈的移民
[00:01:46.520 --> 00:01:49.560]  因為救恩和清義之後
[00:01:49.560 --> 00:01:53.080]  實在都是一個新的生活
[00:01:53.080 --> 00:01:54.800]  而這個新的生活
[00:01:54.800 --> 00:01:57.120]  不是環境的轉變
[00:01:57.120 --> 00:01:59.720]  是心境的大翻身
[00:01:59.720 --> 00:02:02.640]  即是說無論在哪個環境
[00:02:02.640 --> 00:02:04.880]  你有救恩和清義之後
[00:02:04.880 --> 00:02:09.360]  你的內心都會翻天覆地的改變
[00:02:09.360 --> 00:02:11.560]  例如我想大家都可能聽到很多
[00:02:11.560 --> 00:02:13.280]  我自己當作是牧者
[00:02:13.280 --> 00:02:15.640]  聽了這麼多,很多人都聽過故事
[00:02:15.640 --> 00:02:18.280]  例如有些他本來是在說
[00:02:18.280 --> 00:02:20.440]  吸毒了幾十年
[00:02:20.440 --> 00:02:22.120]  家破人亡
[00:02:22.120 --> 00:02:24.600]  運毒、跑夜、睡街
[00:02:24.600 --> 00:02:28.760]  並且老到要睡公園的時候
[00:02:28.760 --> 00:02:31.640]  他又說某某有一次有人提過耶穌
[00:02:31.640 --> 00:02:33.440]  他不認識的
[00:02:33.440 --> 00:02:35.600]  但是在他睡醒的時候
[00:02:35.600 --> 00:02:37.080]  耶穌跟他說
[00:02:37.080 --> 00:02:38.240]  叫他的名字
[00:02:38.240 --> 00:02:41.480]  並且跟他說你將會是幫助人的人
[00:02:41.480 --> 00:02:43.120]  他嚇一跳
[00:02:43.120 --> 00:02:44.680]  然後慢慢其實我現在認識他
[00:02:44.680 --> 00:02:48.520]  他已經常常扭轉生命
[00:02:48.520 --> 00:02:52.920]  常常去幫助吸毒者改變生命
[00:02:52.920 --> 00:02:56.000]  他想起來都驚訝
[00:02:56.000 --> 00:02:57.840]  當然他說在過程中
[00:02:57.840 --> 00:03:00.120]  教會、頂子妹跟他一起同行
[00:03:00.120 --> 00:03:01.240]  我又聽過另一個故事
[00:03:01.240 --> 00:03:03.160]  又是吸毒、偷東西很多
[00:03:03.160 --> 00:03:04.640]  出入監獄
[00:03:04.640 --> 00:03:07.000]  並且連他的家人都說我不要你
[00:03:07.000 --> 00:03:08.680]  他自己都不要自己
[00:03:08.680 --> 00:03:10.280]  他覺得自己很討厭
[00:03:10.280 --> 00:03:11.040]  我不知道你有沒有試過
[00:03:11.040 --> 00:03:13.320]  覺得自己很討厭
[00:03:13.320 --> 00:03:14.080]  很討厭
[00:03:14.080 --> 00:03:15.440]  但是在那一刻
[00:03:15.440 --> 00:03:17.800]  他聽到某某跟他說過耶穌
[00:03:17.800 --> 00:03:19.040]  跟他說了一句話
[00:03:19.040 --> 00:03:23.160]  他說我愛你,是愛到底的
[00:03:23.160 --> 00:03:25.600]  這個是讓福音出的
[00:03:25.600 --> 00:03:26.640]  是沒有什麼理由
[00:03:26.640 --> 00:03:28.000]  一個初信人會
[00:03:28.000 --> 00:03:29.560]  或者未信人會知道的
[00:03:29.560 --> 00:03:32.160]  這些是神的說話,很奇怪
[00:03:32.160 --> 00:03:33.760]  今天第六章
[00:03:33.760 --> 00:03:37.280]  保羅在說一些很重要的信息
[00:03:37.280 --> 00:03:39.440]  不過正式進去之前
[00:03:39.440 --> 00:03:41.160]  我們重溫一點
[00:03:41.160 --> 00:03:44.720]  前幾次廖牧師很清晰地說了一個信息
[00:03:44.720 --> 00:03:46.400]  他說上帝什麼?
[00:03:46.400 --> 00:03:48.560]  生氣了
