
[00:00:00.000 --> 00:00:04.200]  耶穌復活之後,第三次向門徒顯現
[00:00:04.200 --> 00:00:10.200]  門徒一開始記載地是在提比利亞海
[00:00:10.200 --> 00:00:13.000]  其實就是加利利海的另一個名稱
[00:00:13.000 --> 00:00:16.200]  他們去那裡做什麼呢?
[00:00:16.200 --> 00:00:20.600]  其實是聽耶穌的吩咐,是去那裡等耶穌的
[00:00:20.600 --> 00:00:28.000]  因為耶穌說過,祂復活之後會先去加利利海
[00:00:28.200 --> 00:00:31.200]  所以其實就是去那裡等耶穌
[00:00:31.200 --> 00:00:36.400]  他們之前已經看過復活主兩次
[00:00:36.400 --> 00:00:39.600]  一次是他們很害怕,在房子裡
[00:00:39.600 --> 00:00:44.000]  耶穌突然出現,還跟他們說什麼呢?
[00:00:44.000 --> 00:00:47.800]  願你平安,還吹一口氣
[00:00:47.800 --> 00:00:51.400]  預表他們受聖靈
[00:00:51.400 --> 00:00:55.400]  第二次就是同一班門徒顯現
[00:00:55.400 --> 00:00:58.000]  特別是向多瑪顯現
[00:00:58.200 --> 00:01:03.800]  多瑪說一定要碰過耶穌的釘痕手
[00:01:03.800 --> 00:01:05.800]  摸過他的肋旁,他才相信
[00:01:05.800 --> 00:01:10.000]  所以耶穌也很好,特意向他顯現
[00:01:10.000 --> 00:01:13.200]  這是第三次
[00:01:13.200 --> 00:01:18.600]  你看到這班門徒好像沒什麼動力
[00:01:18.600 --> 00:01:23.600]  好像不是很大喜樂,又好像睡不著
[00:01:23.800 --> 00:01:30.400]  所以三更半夜,彼得說要去打瘀
[00:01:30.400 --> 00:01:33.800]  跟他們在五旬節的時候
[00:01:33.800 --> 00:01:40.000]  被聖靈充滿之後的體會是完全不同的
[00:01:40.000 --> 00:01:43.200]  所以他們就去打瘀
[00:01:43.200 --> 00:01:47.600]  他們打瘀,有些人會說他們重操故業
[00:01:47.600 --> 00:01:51.200]  其實也不需要這麼緊張去想
[00:01:51.400 --> 00:01:53.800]  因為可能他們等待,沒什麼事要做
[00:01:53.800 --> 00:01:57.200]  然後他們最熟悉的是打瘀
[00:01:57.200 --> 00:02:00.400]  而且也要吃飯,所以要去找瘀
[00:02:00.400 --> 00:02:03.600]  所以就去打瘀
[00:02:03.600 --> 00:02:09.600]  第三節形容打了一整晚都沒有瘀
[00:02:09.600 --> 00:02:13.200]  如果你想像一下,假設在看電影
[00:02:13.200 --> 00:02:19.200]  那個月亮,沒什麼月亮,又黑漆漆
[00:02:19.400 --> 00:02:24.200]  在海裡,一班人有七個門徒打瘀
[00:02:24.200 --> 00:02:26.200]  打著打著也打不到瘀
[00:02:26.200 --> 00:02:30.200]  那個情景也是很悶的
[00:02:30.200 --> 00:02:34.200]  而且他們的心情好像很疲倦
[00:02:34.200 --> 00:02:39.200]  然後聖經形容在岸邊有個人走過
[00:02:39.200 --> 00:02:45.200]  是耶穌,不過他們不太認得,不太知道
[00:02:45.400 --> 00:02:51.200]  這個人就大聲喊,小子,有沒有東西吃?
[00:02:51.200 --> 00:02:53.200]  是不是問他拿東西吃?
[00:02:53.200 --> 00:02:55.200]  其實不是,只是問打不打到瘀
[00:02:55.200 --> 00:02:57.200]  因為打瘀也是要來吃的
[00:02:57.200 --> 00:03:01.200]  有沒有世界?有沒有東西吃?
[00:03:01.200 --> 00:03:06.200]  然後你說,沒有,也認不出是耶穌
[00:03:06.400 --> 00:03:15.200]  然後耶穌就說,你把網殺到右邊,就會有的了
[00:03:15.200 --> 00:03:18.200]  他們就這樣做
[00:03:18.200 --> 00:03:20.200]  大家有沒有想過一個問題?
[00:03:20.200 --> 00:03:23.200]  那些門徒為什麼這麼順攤?
[00:03:23.200 --> 00:03:30.200]  他打了一整晚瘀
[00:03:30.200 --> 00:03:34.200]  他打了一整晚瘀,也打不到
[00:03:34.400 --> 00:03:37.200]  那岸邊有人喊上來
[00:03:37.200 --> 00:03:39.200]  你有沒有想過這個問題?
[00:03:39.200 --> 00:03:41.200]  大家有沒有釣過魚?
[00:03:41.200 --> 00:03:43.200]  不是現在
[00:03:43.200 --> 00:03:47.200]  大家其實經常釣魚
[00:03:47.200 --> 00:03:49.200]  先不要釣魚
[00:03:49.200 --> 00:03:51.200]  大家有沒有真的釣過魚?
[00:03:51.200 --> 00:03:55.200]  我也偶爾跟巨星哥去釣魚
[00:03:55.200 --> 00:03:57.200]  釣魚,原來是真的
