
[00:00:00.000 --> 00:00:06.000]  上星期我們提到大衛從人生的高峰
[00:00:06.000 --> 00:00:15.000]  因為犯了一個錯誤從高峰跌落山谷
[00:00:15.000 --> 00:00:19.000]  一口氣上星期提到十屆中犯了三屆
[00:00:19.000 --> 00:00:23.000]  貪戀別人的妻子、姦淫和謀殺
[00:00:23.000 --> 00:00:31.000]  你可以說這事情是大衛一生中極黑暗的事情
[00:00:31.000 --> 00:00:35.000]  不單讓他的名聲受到損害
[00:00:35.000 --> 00:00:40.000]  你可以說在大衛犯過的事情中讓我們感到難過和失望
[00:00:40.000 --> 00:00:41.000]  為什麼?
[00:00:41.000 --> 00:00:45.000]  因為讓我們看到罪惡竟然可以戰勝良善
[00:00:45.000 --> 00:00:49.000]  也因此而羞辱神的榮耀
[00:00:49.000 --> 00:00:54.000]  我們剛才所聽到的故事是一個很多面看的故事
[00:00:54.000 --> 00:00:58.000]  意思是我們從任何不同的角度去看這個故事
[00:00:58.000 --> 00:01:01.000]  我們都可以學到、領悟到不同的功課
[00:01:01.000 --> 00:01:05.000]  今天我們嘗試用一個很特別的角度來看
[00:01:05.000 --> 00:01:08.000]  這個故事裡面有三個人物
[00:01:08.000 --> 00:01:12.000]  我想從這三個人物裡面學不同的功課
[00:01:12.000 --> 00:01:14.000]  請我們一同來看看
[00:01:14.000 --> 00:01:22.000]  這個故事一開始的時候告訴我們神差遣先知拿丹去見大衛
[00:01:22.000 --> 00:01:26.000]  一個絕不簡單的工作
[00:01:26.000 --> 00:01:30.000]  不知道大家有沒有留意到你周圍的弟兄姊妹
[00:01:30.000 --> 00:01:34.000]  某某犯了錯誤、犯了罪
[00:01:34.000 --> 00:01:39.000]  當你有這個認知的時候,你會怎麼做?
[00:01:39.000 --> 00:01:44.000]  很難開口的,假裝看不到就算了
[00:01:44.000 --> 00:01:46.000]  不行,我要祈禱
[00:01:46.000 --> 00:01:49.000]  不行,我要告訴某某人、告訴牧師
[00:01:49.000 --> 00:01:52.000]  不行,我要直接去到他面前來指證他
[00:01:52.000 --> 00:01:54.000]  告訴他他做錯事
[00:01:54.000 --> 00:01:56.000]  你會怎麼做?
[00:01:56.000 --> 00:01:59.000]  又或者如果角色調轉了呢?
[00:01:59.000 --> 00:02:01.000]  你是犯罪那個
[00:02:01.000 --> 00:02:04.000]  有一天有人走到你面前跟你說
[00:02:04.000 --> 00:02:07.000]  你是犯了某某錯誤的時候
[00:02:07.000 --> 00:02:10.000]  你會怎麼反應呢?
[00:02:10.000 --> 00:02:14.000]  你會不會因此而對這個弟兄很憤怒
[00:02:14.000 --> 00:02:16.000]  關你什麼事?
[00:02:16.000 --> 00:02:19.000]  或者敷衍他,叫他走,打放你走
[00:02:19.000 --> 00:02:22.000]  又或者虛心聆聽
[00:02:22.000 --> 00:02:25.000]  因此而悔改認罪呢?
[00:02:25.000 --> 00:02:28.000]  事實上無論是哪一個位置、哪一個角色
[00:02:28.000 --> 00:02:34.000]  你會發覺我們都是需要勇氣和愛心
[00:02:34.000 --> 00:02:36.000]  來做正確的事情
[00:02:36.000 --> 00:02:39.000]  而同樣重要的不單是我們需要有勇氣
[00:02:39.000 --> 00:02:42.000]  也需要有智慧和有技巧
[00:02:42.000 --> 00:02:46.000]  以致在這個過程裏面我們可以得到好處
[00:02:46.000 --> 00:02:49.000]  否則,不知道大家有沒有聽過一句話
[00:02:49.000 --> 00:02:51.000]  就是好心做壞事
[00:02:51.000 --> 00:02:54.000]  在今天這個故事裏面
[00:02:54.000 --> 00:02:59.000]  雖然是神差派才知道拿丹去見大衛
[00:02:59.000 --> 00:03:03.000]  但是你看到拿丹和大衛之間的對話
[00:03:03.000 --> 00:03:08.000]  你也可以看到這個拿丹充滿了我剛才所講的品質
[00:03:08.000 --> 00:03:10.000]  那個質素
[00:03:10.000 --> 00:03:12.000]  好了,我們來看看故事
[00:03:12.000 --> 00:03:17.000]  在拿丹指出大衛所犯過的錯誤之前
[00:03:17.000 --> 00:03:19.000]  他首先講了一個故事
[00:03:19.000 --> 00:03:21.000]  這個故事很簡單來講
[00:03:21.000 --> 00:03:23.000]  就是說一個富戶、一個窮人
[00:03:23.000 --> 00:03:28.000]  富戶有錢人要請客吃飯
[00:03:28.000 --> 00:03:30.000]  他很多牛羊不捨得
[00:03:30.000 --> 00:03:32.000]  任何一隻都不捨得
[00:03:32.000 --> 00:03:34.000]  他就找了,抓了那個窮人
[00:03:34.000 --> 00:03:36.000]  那個窮人只有一隻羊
[00:03:36.000 --> 00:03:38.000]  他就抓了那隻羊,就宰了牠
[00:03:38.000 --> 00:03:41.000]  就拿來大宴親朋
[00:03:41.000 --> 00:03:45.000]  任何有血性、有公義、有憐憫的人
[00:03:45.000 --> 00:03:49.000]  聽到之後都無名火都會冒起
[00:03:49.000 --> 00:03:51.000]  都會很生氣這件事情
[00:03:51.000 --> 00:03:55.000]  我不敢肯定是神告訴拿丹這個故事
[00:03:55.000 --> 00:03:56.000]  他講這個故事
[00:03:56.000 --> 00:03:59.000]  還是拿丹自己想到、預備這個故事來講
[00:03:59.000 --> 00:04:01.000]  如果是拿丹預備的時候
[00:04:01.000 --> 00:04:05.000]  我相信拿丹很認識大衛這個人
[00:04:05.000 --> 00:04:06.000]  為什麼?
[00:04:06.000 --> 00:04:09.000]  因為大衛我不知道你怎麼觀感
[00:04:09.000 --> 00:04:12.000]  給我的感覺大衛是一個充滿情感的人
[00:04:12.000 --> 00:04:13.000]  為什麼?
[00:04:13.000 --> 00:04:15.000]  他寫了這麼多詩篇
[00:04:15.000 --> 00:04:18.000]  他是一個音樂家、演唱家
[00:04:18.000 --> 00:04:20.000]  甚至是一個舞蹈家
[00:04:20.000 --> 00:04:21.000]  記得嗎?
[00:04:21.000 --> 00:04:24.000]  當這個弱跪搬回耶路撒冷的時候
[00:04:24.000 --> 00:04:28.000]  大衛在神的面前極力跳舞
[00:04:28.000 --> 00:04:32.000]  是不是?所有的大衛的表現給我們看到
[00:04:32.000 --> 00:04:36.000]  他是一個充滿情感細胞的人
[00:04:36.000 --> 00:04:38.000]  所以很明顯聽到這個故事
[00:04:38.000 --> 00:04:41.000]  當然會相當的氣憤
[00:04:41.000 --> 00:04:45.000]  而事實上經文也都告訴我們
[00:04:45.000 --> 00:04:48.000]  他跟拿丹這樣講
[00:04:48.000 --> 00:04:51.000]  他說我指著永生的耶和華起誓
[00:04:51.000 --> 00:04:55.000]  行者是的人該死
[00:04:55.000 --> 00:04:58.000]  就是這樣聽完拿丹講的說話
[00:04:58.000 --> 00:05:00.000]  已經是宣判了他是皇帝
[00:05:00.000 --> 00:05:04.000]  宣判了這些人該死
[00:05:04.000 --> 00:05:06.000]  死刑
[00:05:06.000 --> 00:05:12.000]  當大衛定了這個人死刑的時候
[00:05:12.000 --> 00:05:16.000]  拿丹就把握這個時間
[00:05:16.000 --> 00:05:23.000]  引爆了這個故事背後的炸彈
[00:05:23.000 --> 00:05:25.000]  這個是什麼炸彈?
[00:05:25.000 --> 00:05:26.000]  這個炸彈只有五個字
[00:05:26.000 --> 00:05:30.000]  你就是那人
[00:05:30.000 --> 00:05:32.000]  我相信大衛未必即時知道
[00:05:32.000 --> 00:05:34.000]  拿丹在說什麼
[00:05:34.000 --> 00:05:35.000]  可能他在搔頭
[00:05:35.000 --> 00:05:38.000]  說我最近沒有請朋友吃飯
[00:05:38.000 --> 00:05:43.000]  我最近也沒有劏過旁邊窮人的羊
[00:05:43.000 --> 00:05:45.000]  拿丹在說什麼?
[00:05:45.000 --> 00:05:48.000]  拿丹在未大衛回應之前
[00:05:48.000 --> 00:05:50.000]  拿丹就說
[00:05:50.000 --> 00:05:55.000]  耶和華以色列的人的神如此說
[00:05:55.000 --> 00:05:58.000]  接下來所說的並不是拿丹的說話
