
[00:00:00.000 --> 00:00:05.640]  今日好開心能夠嚟到呢度同大家分享上帝嘅話語
[00:00:05.640 --> 00:00:08.640]  我諗第一次收到林牧師嘅邀請
[00:00:08.640 --> 00:00:10.000]  佢俾咗呢段經文我呢
[00:00:10.000 --> 00:00:11.000]  其實我都好開心
[00:00:11.000 --> 00:00:12.920]  因為我睇完呢段經文
[00:00:12.920 --> 00:00:16.520]  我發現其實我哋可能有陣時會讀到呢段經文
[00:00:16.520 --> 00:00:20.000]  但係我哋好多時有機會忽略咗呢段經文
[00:00:20.000 --> 00:00:23.200]  我哋俾張相俾張圖大家睇下
[00:00:23.200 --> 00:00:24.240]  係喇
[00:00:24.240 --> 00:00:27.200]  我諗近日如果你有上一啲social media
[00:00:27.200 --> 00:00:29.160]  我諗你都唔難會見到張圖嘅
[00:00:29.160 --> 00:00:32.400]  呢個插畫家呢係一個我幾鍾意嘅插畫家
[00:00:32.400 --> 00:00:36.200]  佢講好多唔同教會諷刺教會一啲嘅嘢
[00:00:36.200 --> 00:00:38.000]  咁呢其實佢喺度講到就話
[00:00:38.000 --> 00:00:40.480]  有啲人呢想講台宣講
[00:00:40.480 --> 00:00:42.720]  淨係好有口才呀講好多嘢
[00:00:42.720 --> 00:00:44.400]  但係佢唔係講經文
[00:00:44.400 --> 00:00:45.840]  跟住台下嘅人就歡呼
[00:00:45.840 --> 00:00:47.720]  嘩好正呀好正不得了
[00:00:47.720 --> 00:00:50.280]  跟住另一邊廂就有啲就係認真解經
[00:00:50.280 --> 00:00:51.840]  但係好似講到好悶
[00:00:51.840 --> 00:00:53.760]  跟住台下就覺得哎呀好厭惡
[00:00:53.760 --> 00:00:56.640]  但係我覺得呢根據如果佢咁樣表達呢
[00:00:56.640 --> 00:00:58.720]  我覺得呢度唔止係兩幅圖
[00:00:58.720 --> 00:01:00.000]  應該係四幅圖
[00:01:00.000 --> 00:01:02.920]  應該仲有另外兩個combination嘅
[00:01:02.920 --> 00:01:06.040]  點解今日會想同大家講下呢幅圖呢
[00:01:06.040 --> 00:01:07.960]  因為我哋今日睇嘅彼得後書
[00:01:07.960 --> 00:01:11.800]  我諗大家之前應該睇咗第一章前半段
[00:01:11.800 --> 00:01:14.320]  我想同大家講多少少背景
