
[00:00:00.000 --> 00:00:02.440]  我們大家不是不知道的
[00:00:02.440 --> 00:00:06.520]  很多時候,有很多人生裏面的風暴是即將來臨的
[00:00:06.520 --> 00:00:10.760]  很多人警告了我們,甚至我們自己都留意得到
[00:00:10.760 --> 00:00:15.800]  譬如說,家庭裏面的衝突
[00:00:15.800 --> 00:00:20.440]  你發覺越來越興奮,越來越多,越來越頻密
[00:00:20.440 --> 00:00:23.800]  或者我們當中有些讀書的,開了學了
[00:00:23.800 --> 00:00:29.480]  說原來不簡單,你發覺好像不是很能讀
[00:00:29.480 --> 00:00:33.240]  做工的,可能發覺公司的前景不是很理想
[00:00:33.240 --> 00:00:37.040]  但是暫時找不到工作,你不知道
[00:00:37.040 --> 00:00:41.080]  未來這兩個星期,有什麼事情會發生
[00:00:41.080 --> 00:00:47.240]  當我們面對這些人生的暴風雪的時候
[00:00:47.240 --> 00:00:50.520]  不是不知道,不是不瞭解他們來到
[00:00:50.520 --> 00:00:53.520]  但是,到底你的反應會是怎樣呢?
[00:00:53.520 --> 00:00:57.200]  很多人就會覺得,哎呀,真的很煩
[00:00:57.200 --> 00:01:00.440]  真的很煩,心裏越來越煩躁
[00:01:00.440 --> 00:01:04.960]  越來越煩躁的時候,但是心裏又發覺想想也想不到
[00:01:04.960 --> 00:01:07.840]  一方面很煩躁,一方面覺得很空虛
[00:01:07.840 --> 00:01:11.600]  覺得沒有人能夠了解,明白我們現時的心境
[00:01:11.600 --> 00:01:15.080]  甚至和我們的親人朋友都不能夠說這樣的話
[00:01:15.080 --> 00:01:21.720]  就算向神祈禱,似乎天父上帝都沒有聽我們的禱告
[00:01:21.720 --> 00:01:24.680]  不知道大家有沒有留意到,或者曾經想過
[00:01:24.680 --> 00:01:28.640]  我們每一個人都會遇到這些人生的風暴
[00:01:28.640 --> 00:01:31.840]  甚至會看到這些風暴正在衝過來
[00:01:31.840 --> 00:01:35.680]  但是,到底原因在哪裏呢?
[00:01:35.680 --> 00:01:38.960]  有時候我們說,就是站在那裏頂着
[00:01:38.960 --> 00:01:41.120]  風暴來就去面對
[00:01:41.120 --> 00:01:43.760]  有時候我們很想想原因
[00:01:43.760 --> 00:01:46.760]  今天《書堂大學》的思想是什麼呢?
[00:01:46.760 --> 00:01:49.760]  就是原因在哪裏
[00:01:49.760 --> 00:01:52.320]  我們做了這麼久的時候,不知道大家有沒有留意
[00:01:52.320 --> 00:01:56.280]  原來很多時候,這些人生的風暴
[00:01:56.280 --> 00:02:01.160]  衝到我們身邊,或者出現在我們的生命裏面
[00:02:01.160 --> 00:02:03.960]  最大的原因是
[00:02:03.960 --> 00:02:06.280]  我們自己
[00:02:06.280 --> 00:02:07.880]  It's you
[00:02:07.880 --> 00:02:09.160]  and me
[00:02:09.160 --> 00:02:09.960]  everybody
[00:02:09.960 --> 00:02:14.520]  是你,是我,是我們每一個人
[00:02:14.520 --> 00:02:17.600]  很多時候,我們都好像剛纔那個短片
[00:02:17.600 --> 00:02:20.880]  那個Chairman of the media
