
[00:00:00.000 --> 00:00:06.000]  第二點是今天我們真的面臨一個快速在改變的一個世代
[00:00:06.000 --> 00:00:11.000]  不但是在經濟上 在政治上 軍事上
[00:00:11.000 --> 00:00:14.000]  這個世界面臨極大的轉變
[00:00:14.000 --> 00:00:15.000]  特別這些日子了
[00:00:15.000 --> 00:00:19.000]  ISIS對整個世界所帶來的威脅
[00:00:19.000 --> 00:00:23.000]  我們看見整個世界面臨極大的衝擊
[00:00:23.000 --> 00:00:25.000]  不但是世界的環境是如此
[00:00:25.000 --> 00:00:29.000]  在我們個人的生命當中也是這樣
[00:00:29.000 --> 00:00:32.000]  我們經常面對各種的壓力
[00:00:32.000 --> 00:00:38.000]  無論在家庭上 在工作上 在生活上 在財務上
[00:00:38.000 --> 00:00:41.000]  總是讓我們感覺有一種危機感
[00:00:41.000 --> 00:00:43.000]  為什麼有這種危機感呢
[00:00:43.000 --> 00:00:49.000]  因為我們不知道怎麼樣去面對我們生命當中的改變
[00:00:49.000 --> 00:00:51.000]  但作為一個神的兒女弟兄姐妹
[00:00:51.000 --> 00:00:54.000]  今天我們一點不需要害怕
[00:00:54.000 --> 00:00:56.000]  因為無論環境如何地改變
[00:00:56.000 --> 00:01:00.000]  我們的神他仍坐在寶座上
[00:01:00.000 --> 00:01:04.000]  聖經告訴我們事實上這一切的改變
[00:01:04.000 --> 00:01:10.000]  這一切的環境也是神容許領導在我們身上的
[00:01:10.000 --> 00:01:12.000]  羅馬書第八章二十八節裡面
[00:01:12.000 --> 00:01:14.000]  很清楚剛才我們所讀的
[00:01:14.000 --> 00:01:16.000]  我們曉得萬事互相效力
[00:01:16.000 --> 00:01:19.000]  叫愛神的人得益處
[00:01:19.000 --> 00:01:21.000]  事實上在原文裡面是講到
[00:01:21.000 --> 00:01:24.000]  是神使萬事互相效力
[00:01:24.000 --> 00:01:26.000]  不是萬事自動互相效力
[00:01:26.000 --> 00:01:30.000]  是神會使萬事互相效力
[00:01:30.000 --> 00:01:32.000]  叫愛神的人得益處
[00:01:32.000 --> 00:01:34.000]  既然是說萬事
[00:01:34.000 --> 00:01:38.000]  就表明是我們眼中看為好的事
[00:01:38.000 --> 00:01:40.000]  也是我們眼中看為不好的事
[00:01:40.000 --> 00:01:44.000]  既然是萬事 是包括好與不好
[00:01:44.000 --> 00:01:45.000]  換句話說
[00:01:45.000 --> 00:01:47.000]  無論是我們眼中看為好的事情
[00:01:47.000 --> 00:01:49.000]  看為是不好的事情
[00:01:49.000 --> 00:01:52.000]  神都能夠使萬事互相效力
[00:01:52.000 --> 00:01:55.000]  叫我們得到益處
[00:01:55.000 --> 00:01:56.000]  那你說牧師
[00:01:56.000 --> 00:01:59.000]  危機怎麼可能帶給我們益處呢
[00:01:59.000 --> 00:02:02.000]  危機是能夠帶給我們益處的
[00:02:02.000 --> 00:02:04.000]  我們要從三方面來看
[00:02:04.000 --> 00:02:06.000]  這個危機所帶給我們益處
[00:02:06.000 --> 00:02:07.000]  第一個
[00:02:07.000 --> 00:02:10.000]  危機能夠使我們認識自己的軟弱
[00:02:10.000 --> 00:02:12.000]  跟我一同來說來
[00:02:12.000 --> 00:02:15.000]  危機能夠使我們認識自己的軟弱
[00:02:15.000 --> 00:02:19.000]  投資專家巴菲特講過一句話很有意思
[00:02:19.000 --> 00:02:22.000]  他說只有在退朝的時候
[00:02:22.000 --> 00:02:26.000]  你才知道誰在裸泳
[00:02:26.000 --> 00:02:27.000]  的確當水漲的時候
[00:02:27.000 --> 00:02:30.000]  大家忙著游泳都看不見
[00:02:30.000 --> 00:02:32.000]  可當危機發生的時候
[00:02:32.000 --> 00:02:35.000]  我們才開始認識到自己的不足
[00:02:35.000 --> 00:02:37.000]  跟自己的缺乏
[00:02:37.000 --> 00:02:39.000]  這就像彼得一樣
[00:02:39.000 --> 00:02:42.000]  你知道彼得在一切順利的時候
[00:02:42.000 --> 00:02:44.000]  在所有的門徒當中
[00:02:44.000 --> 00:02:46.000]  他永遠是帶頭說話的那一位
[00:02:46.000 --> 00:02:47.000]  不是嗎
[00:02:47.000 --> 00:02:49.000]  只有在最後的晚餐的時候
[00:02:49.000 --> 00:02:50.000]  你還記得
[00:02:50.000 --> 00:02:52.000]  當耶穌對門徒說
[00:02:52.000 --> 00:02:57.000]  今天晚上你們都要為我的緣故都要跌倒
[00:02:57.000 --> 00:02:59.000]  彼得怎麼說呢
[00:02:59.000 --> 00:03:01.000]  彼得說眾人都要跌倒
[00:03:01.000 --> 00:03:03.000]  但我呢
[00:03:03.000 --> 00:03:05.000]  永不跌倒
[00:03:05.000 --> 00:03:07.000]  他講永不跌倒
[00:03:07.000 --> 00:03:09.000]  好勇敢
[00:03:09.000 --> 00:03:11.000]  可是沒想到雞叫以前
[00:03:11.000 --> 00:03:14.000]  他三次不認主
[00:03:14.000 --> 00:03:17.000]  所以有時候神容許危機臨到我們身上
[00:03:17.000 --> 00:03:19.000]  是有好處的
[00:03:19.000 --> 00:03:22.000]  是要我們認識到自己的軟弱
[00:03:22.000 --> 00:03:25.000]  是要我們真實來面對我們自己
[00:03:25.000 --> 00:03:28.000]  所以當危機來臨的時候
[00:03:28.000 --> 00:03:30.000]  千萬不要埋怨
[00:03:30.000 --> 00:03:32.000]  也不要心懷不平
[00:03:32.000 --> 00:03:35.000]  你要求神給你一個寬廣的心胸
[00:03:35.000 --> 00:03:40.000]  跟你媽說求神給你寬廣的心胸
[00:03:40.000 --> 00:03:46.000]  你要坦然來面對你自己的恐懼跟害怕
[00:03:46.000 --> 00:03:51.000]  你要坦然來面對你裡面的不安
[00:03:51.000 --> 00:03:54.000]  你要來面對你的失敗
[00:03:54.000 --> 00:03:57.000]  面對你自己的軟弱
[00:03:57.000 --> 00:04:00.000]  只有一個認識自己
[00:04:00.000 --> 00:04:03.000]  而且能夠接納自己的人
[00:04:03.000 --> 00:04:07.000]  才可能在生命當中不斷的成熟長大
[00:04:07.000 --> 00:04:10.000]  所以危機是有好處的
