
[00:00:00.000 --> 00:00:02.000]  各位頂支輩平安
[00:00:02.000 --> 00:00:04.000]  (平安)
[00:00:04.000 --> 00:00:05.000]  感謝神的恩典
[00:00:05.000 --> 00:00:07.000]  當我講到平安的時候
[00:00:07.000 --> 00:00:09.000]  一點都不容易,對不對?
[00:00:09.000 --> 00:00:11.000]  一個半星期前
[00:00:11.000 --> 00:00:13.000]  星期三
[00:00:13.000 --> 00:00:15.000]  早上十點半
[00:00:15.000 --> 00:00:17.000]  我正在預備
[00:00:17.000 --> 00:00:19.000]  神學院講chapel的時候
[00:00:19.000 --> 00:00:21.000]  突然之間
[00:00:21.000 --> 00:00:24.000]  右邊的下面
[00:00:24.000 --> 00:00:26.000]  劇痛
[00:00:26.000 --> 00:00:29.000]  劇痛到一個地步
[00:00:29.000 --> 00:00:31.000]  我冒冷汗
[00:00:31.000 --> 00:00:34.000]  我以為
[00:00:34.000 --> 00:00:36.000]  是不是吃錯東西了?
[00:00:36.000 --> 00:00:37.000]  但是沒理由的
[00:00:37.000 --> 00:00:39.000]  我只是吃了麥皮、麵包
[00:00:39.000 --> 00:00:41.000]  怎麼可能吃錯東西呢?
[00:00:41.000 --> 00:00:46.000]  我已經告訴我太太
[00:00:46.000 --> 00:00:49.000]  有這件這樣的事
[00:00:49.000 --> 00:00:52.000]  剛剛Frank就來找我
[00:00:52.000 --> 00:00:55.000]  我來得正好啊,Frank
[00:00:55.000 --> 00:00:56.000]  你為我禱告
[00:00:56.000 --> 00:00:57.000]  我現在暈頭頭
[00:00:57.000 --> 00:00:58.000]  冒冷汗
[00:00:58.000 --> 00:01:00.000]  這裡好痛
[00:01:00.000 --> 00:01:02.000]  我突然間記得
[00:01:02.000 --> 00:01:04.000]  七八年前
[00:01:04.000 --> 00:01:07.000]  臨去上面培訓前
[00:01:07.000 --> 00:01:09.000]  我應該還有三天
[00:01:09.000 --> 00:01:11.000]  我就搭飛機去培訓
[00:01:11.000 --> 00:01:12.000]  一個星期
[00:01:12.000 --> 00:01:14.000]  但是就是那個時間
[00:01:14.000 --> 00:01:15.000]  凌晨五點多
[00:01:15.000 --> 00:01:17.000]  又是劇痛
[00:01:17.000 --> 00:01:18.000]  冒冷汗
[00:01:18.000 --> 00:01:20.000]  我就以為要去廁所
[00:01:20.000 --> 00:01:22.000]  一起來就暈
[00:01:22.000 --> 00:01:24.000]  就是差不多暈倒了
[00:01:24.000 --> 00:01:25.000]  我太太起來
[00:01:25.000 --> 00:01:27.000]  一看到這樣的現狀
[00:01:27.000 --> 00:01:29.000]  真的太緊張了
[00:01:29.000 --> 00:01:30.000]  所以立刻
[00:01:30.000 --> 00:01:32.000]  好像是叫兒子起來
[00:01:32.000 --> 00:01:33.000]  開車載我去
[00:01:33.000 --> 00:01:34.000]  是不是?
[00:01:34.000 --> 00:01:35.000]  載我去醫院
[00:01:35.000 --> 00:01:37.000]  去瑪嘉麗醫院
[00:01:37.000 --> 00:01:38.000]  那次的經歷
[00:01:38.000 --> 00:01:39.000]  所以我想一想
[00:01:39.000 --> 00:01:42.000]  這次是不是又是神石呢?
[00:01:42.000 --> 00:01:45.000]  Frank為我祈禱完
[00:01:45.000 --> 00:01:47.000]  我已經打了電話給阿彪醫生
[00:01:47.000 --> 00:01:48.000]  我告訴他
[00:01:48.000 --> 00:01:49.000]  現在的狀況又是這樣
[00:01:49.000 --> 00:01:51.000]  他說,牧師,你立刻來
[00:01:51.000 --> 00:01:53.000]  我去到的時候
[00:01:53.000 --> 00:01:54.000]  他就說
[00:01:54.000 --> 00:01:56.000]  你先照片
[00:01:56.000 --> 00:01:58.000]  上來告訴我
[00:01:58.000 --> 00:02:00.000]  拿完片之後
[00:02:00.000 --> 00:02:02.000]  一上去
[00:02:02.000 --> 00:02:03.000]  他幫我
[00:02:03.000 --> 00:02:05.000]  用這個方法止痛
[00:02:05.000 --> 00:02:07.000]  然後帶著片去找他
[00:02:07.000 --> 00:02:09.000]  看完那張片
[00:02:09.000 --> 00:02:13.000]  他看到腎管下面
[00:02:13.000 --> 00:02:15.000]  剛剛在膀胱
[00:02:15.000 --> 00:02:18.000]  有一塊白色的東西
[00:02:18.000 --> 00:02:20.000]  零零舍舍的
[00:02:20.000 --> 00:02:22.000]  膀胱很清的
[00:02:22.000 --> 00:02:25.000]  就是那裡有一個白色的東西
[00:02:25.000 --> 00:02:27.000]  他說
[00:02:27.000 --> 00:02:28.000]  牧師
[00:02:28.000 --> 00:02:31.000]  應該是神石
[00:02:31.000 --> 00:02:33.000]  不過你放心
[00:02:33.000 --> 00:02:36.000]  膀胱是一個大水塘
[00:02:36.000 --> 00:02:38.000]  他去了那個水塘
[00:02:38.000 --> 00:02:39.000]  你不會痛的了
[00:02:39.000 --> 00:02:41.000]  不過還有一步
[00:02:41.000 --> 00:02:43.000]  他要在你的尿管
[00:02:43.000 --> 00:02:45.000]  尿道排出來
[00:02:45.000 --> 00:02:48.000]  不過尿道就寬很多
[00:02:48.000 --> 00:02:50.000]  比那個腎管好很多
[00:02:50.000 --> 00:02:52.000]  所以不需要擔心
[00:02:52.000 --> 00:02:55.000]  應該你最難過的一關已經過了
[00:02:55.000 --> 00:02:57.000]  我一聽到的時候
[00:02:57.000 --> 00:03:00.000]  完全就是這樣的經歷
[00:03:00.000 --> 00:03:02.000]  我很感恩
[00:03:02.000 --> 00:03:04.000]  接二連三
[00:03:04.000 --> 00:03:05.000]  完了之後
[00:03:05.000 --> 00:03:07.000]  我還要照搶
[00:03:07.000 --> 00:03:08.000]  大家知道
[00:03:08.000 --> 00:03:10.000]  如果我的腎有問題
[00:03:10.000 --> 00:03:13.000]  痛我是沒辦法照的
[00:03:13.000 --> 00:03:14.000]  要推前
[00:03:14.000 --> 00:03:16.000]  但是都是因為這樣的緣故
[00:03:16.000 --> 00:03:17.000]  我看到
[00:03:17.000 --> 00:03:19.000]  他已經去了大水塘
[00:03:19.000 --> 00:03:20.000]  我就沒問題了
[00:03:20.000 --> 00:03:23.000]  所以就照樣去照搶
[00:03:23.000 --> 00:03:25.000]  真的快
[00:03:25.000 --> 00:03:27.000]  半個小時就搞定
[00:03:27.000 --> 00:03:28.000]  原來有一顆東西在那裡
[00:03:28.000 --> 00:03:29.000]  那顆東西
[00:03:29.000 --> 00:03:31.000]  剛剛昨天知道
[00:03:31.000 --> 00:03:32.000]  應該正常
[00:03:32.000 --> 00:03:33.000]  沒問題
[00:03:33.000 --> 00:03:35.000]  各位頂智媒
[00:03:35.000 --> 00:03:38.000]  這些經歷給我看到
[00:03:38.000 --> 00:03:40.000]  有主同在
[00:03:40.000 --> 00:03:42.000]  有主同行
[00:03:42.000 --> 00:03:44.000]  原來很多的東西
[00:03:44.000 --> 00:03:45.000]  人想不到
[00:03:45.000 --> 00:03:47.000]  是可以出現
[00:03:47.000 --> 00:03:49.000]  看看最近
