
[00:00:00.000 --> 00:00:01.800]  讀過一篇文章
[00:00:01.800 --> 00:00:04.200]  就說到有一個人
[00:00:04.200 --> 00:00:05.520]  他說到一個人
[00:00:05.520 --> 00:00:07.360]  他死了九分鐘
[00:00:07.360 --> 00:00:08.960]  他死後九分鐘
[00:00:08.960 --> 00:00:10.440]  但是他再復活
[00:00:10.440 --> 00:00:11.440]  他復活了
[00:00:11.440 --> 00:00:13.240]  就是回來了,沒有死
[00:00:13.240 --> 00:00:14.600]  他是回來了
[00:00:14.600 --> 00:00:17.480]  他那時候是二十歲左右
[00:00:17.480 --> 00:00:18.880]  那個時候他二十歲
[00:00:18.880 --> 00:00:22.200]  現在當然已經很老了
[00:00:22.200 --> 00:00:23.720]  現在應該很老了
[00:00:23.720 --> 00:00:26.080]  可能已經不在了
[00:00:26.080 --> 00:00:27.920]  也許也不在這世界了
[00:00:27.920 --> 00:00:30.480]  但是在他二十歲那一年
[00:00:30.480 --> 00:00:32.480]  在他二十歲的那一年
[00:00:32.480 --> 00:00:39.520]  他就在一間軍部的醫院裡面
[00:00:39.520 --> 00:00:42.120]  他到一個軍部的醫院裡面
[00:00:42.120 --> 00:00:47.600]  那天的醫生都報告說他已經去世了
[00:00:47.600 --> 00:00:50.440]  那天的醫生已經報告他已經過世了
[00:00:50.440 --> 00:00:53.520]  但不知道為什麼九分鐘之後他就醒了
[00:00:53.520 --> 00:00:56.240]  不知道為什麼九分鐘後他醒過來
[00:00:56.240 --> 00:00:59.960]  然後他就出了一本書
[00:00:59.960 --> 00:01:01.960]  然後他後來出了一本書
[00:01:01.960 --> 00:01:05.160]  書裡面就說他的經歷
[00:01:05.160 --> 00:01:07.080]  書上說了他的經歷
[00:01:07.080 --> 00:01:09.520]  例如他見到耶穌
[00:01:09.520 --> 00:01:11.320]  譬如說他見到耶穌
[00:01:11.320 --> 00:01:17.680]  他和耶穌去超越不同的空間去遊歷
[00:01:17.680 --> 00:01:23.000]  他和耶穌穿越不同的空間去遊歷
[00:01:23.000 --> 00:01:25.200]  故事非常之有趣
[00:01:25.200 --> 00:01:27.200]  因為他的故事是非常有趣的
[00:01:27.200 --> 00:01:32.080]  但也是比較難去相信
[00:01:32.080 --> 00:01:36.880]  死了九分鐘可以翻生
[00:01:36.880 --> 00:01:42.200]  其實和耶穌復活也是差不多
[00:01:42.200 --> 00:01:46.840]  耶穌也是死了三天就復活
[00:01:46.840 --> 00:01:55.080]  而且他不單在我們今天讀的福音書裡面有記載
[00:01:55.080 --> 00:01:59.520]  而且在另外三卷的福音書也有同樣記載
[00:01:59.520 --> 00:02:02.640]  另外三卷的福音書他也有記載的
[00:02:02.640 --> 00:02:08.040]  當然如果我請大家回家可以讀一下這四卷的不同的福音
[00:02:08.040 --> 00:02:12.400]  如果可以我可以請大家回到家裡可以讀這四卷的福音書
[00:02:12.400 --> 00:02:14.160]  因為當大家讀的時候
[00:02:14.160 --> 00:02:16.160]  因為當大家讀的時候
[00:02:16.160 --> 00:02:18.760]  你會發覺裡面的內容有一點不同
[00:02:18.760 --> 00:02:21.680]  你會發覺裡面的內容可能有一些不同
[00:02:21.680 --> 00:02:23.520]  同樣記載一件事
[00:02:23.520 --> 00:02:25.120]  同樣記載一件事
[00:02:25.120 --> 00:02:27.440]  不過裡面的內容是有一點分別
[00:02:27.440 --> 00:02:29.880]  但是裡面的內容是有一些分別
[00:02:29.880 --> 00:02:35.200]  究竟在這裡說耶穌復活
[00:02:35.200 --> 00:02:37.440]  究竟在這裡說耶穌復活
[00:02:37.440 --> 00:02:39.440]  究竟是不是真的呢?
[00:02:39.440 --> 00:02:41.440]  他究竟是不是真的呢?
[00:02:41.440 --> 00:02:43.440]  在福音書裡面
[00:02:43.440 --> 00:02:45.040]  又在福音書裡面
[00:02:45.040 --> 00:02:47.040]  在楊福音
[00:02:47.040 --> 00:02:48.240]  在約翰福音
[00:02:48.240 --> 00:02:52.440]  就說到莫大拉瑪利亞去見到耶穌
[00:02:52.440 --> 00:02:56.640]  他說到莫大拉瑪利亞見到耶穌
[00:02:56.640 --> 00:03:02.640]  而且在另外兩卷不同的福音書裡面
[00:03:02.640 --> 00:03:05.640]  也有在另外兩卷不同的福音書裡面
[00:03:05.640 --> 00:03:10.240]  就會記載另外有兩個不同的姐妹一起去
[00:03:10.240 --> 00:03:13.840]  也有記載有另外兩個不同的姐妹
[00:03:13.840 --> 00:03:19.440]  所以希望大家可以回去讀一下每一卷不同的福音書
[00:03:19.440 --> 00:03:23.840]  所以希望大家可以回去讀一下每一卷不同的福音書
[00:03:23.840 --> 00:03:26.240]  那麼耶穌究竟是不是真的復活呢?
[00:03:26.240 --> 00:03:28.640]  那麼耶穌究竟是不是真的復活呢?
[00:03:28.640 --> 00:03:30.240]  如果祂是復活
[00:03:30.240 --> 00:03:31.840]  如果祂是復活的
[00:03:31.840 --> 00:03:33.840]  對我們基督徒來說
[00:03:33.840 --> 00:03:35.640]  如果祂對我們基督徒來說
[00:03:35.640 --> 00:03:38.240]  有什麼意義呢?
[00:03:38.240 --> 00:03:41.040]  而且對我們有什麼重要性呢?
[00:03:41.040 --> 00:03:43.840]  而且會對我們有什麼重要性呢?
[00:03:43.840 --> 00:03:47.040]  那麼在我們還沒有開始講神的話語之前
[00:03:47.040 --> 00:03:49.640]  那麼在我們還沒有開始講神的話語之前
[00:03:49.640 --> 00:03:51.840]  我們有一個祈禱
[00:03:51.840 --> 00:03:53.840]  我們先來一個禱告
[00:03:53.840 --> 00:03:56.840]  我親愛的主耶穌
[00:03:56.840 --> 00:04:01.240]  我們滿心感謝讚美祢
[00:04:01.240 --> 00:04:05.840]  因為祢願意降世成為人
[00:04:05.840 --> 00:04:10.840]  在我們這個世界上去受苦
[00:04:10.840 --> 00:04:16.040]  也是最後被釘在十字架上
