
[00:00:00.000 --> 00:00:02.700]  好,大家節目讓我們先聽神的道理
[00:00:02.700 --> 00:00:04.320]  然後我們再重新討論
[00:00:04.320 --> 00:00:07.280]  第十秒我們聽到「知先」「先同心」「道」
[00:00:07.280 --> 00:00:13.200]  多謝祢讓我們仍然活著
[00:00:13.200 --> 00:00:17.600]  仍然可以有機會去聽祢的道理
[00:00:17.600 --> 00:00:21.800]  仍然有機會可以打開聖經
[00:00:21.800 --> 00:00:23.800]  自己去研讀
[00:00:23.800 --> 00:00:27.960]  可以明白神是怎樣的一位主
[00:00:27.960 --> 00:00:31.920]  我們今天將以後來這個廳道的時間交上
[00:00:31.920 --> 00:00:36.120]  求聖靈高沒我的口和心思意念
[00:00:36.120 --> 00:00:41.520]  讓所出的都是上帝你要弟兄姊妹所明白的
[00:00:41.520 --> 00:00:45.160]  要高沒每一個聽主祢道理的人
[00:00:45.160 --> 00:00:49.600]  我們的心思、行為、我們的取向
[00:00:49.600 --> 00:00:53.200]  都完全在上帝祢的靈當中的掌管
[00:00:53.200 --> 00:00:54.960]  求祢的幫助
[00:00:54.960 --> 00:00:59.000]  讓主耶穌的道活化在我們生命當中
[00:00:59.000 --> 00:01:02.840]  達成上帝祢所設計的救恩
[00:01:02.840 --> 00:01:04.440]  我們同心禱告
[00:01:04.440 --> 00:01:06.800]  奉靠主耶穌基督的生命之靠
[00:01:06.800 --> 00:01:08.800]  Amen
[00:01:08.800 --> 00:01:12.040]  在我侍奉的人生的裏面
[00:01:12.040 --> 00:01:14.040]  在我侍奉的人生裏面
[00:01:14.040 --> 00:01:16.040]  曾經有過一個這樣的片段
[00:01:16.040 --> 00:01:18.040]  曾經有這樣一個片段
[00:01:18.040 --> 00:01:22.440]  當時我記得我是教會的青年團計的團長
[00:01:22.440 --> 00:01:26.240]  我記得我當時是教會團計的團長
[00:01:26.240 --> 00:01:29.040]  團長是不好做的
[00:01:29.040 --> 00:01:30.840]  團長是不好做的
[00:01:30.840 --> 00:01:32.840]  因為有很多事情都要顧及
[00:01:32.840 --> 00:01:35.040]  因為有很多事情要顧及
[00:01:35.040 --> 00:01:37.440]  有時甚至不單止要策劃
[00:01:37.440 --> 00:01:39.240]  甚至要自己下手下腳去做
[00:01:39.240 --> 00:01:40.640]  不光是要策劃
[00:01:40.640 --> 00:01:42.240]  並且要自己親手去做
[00:01:42.240 --> 00:01:44.840]  初期的伊瑪麗環浸信會
[00:01:44.840 --> 00:01:47.640]  起初的伊瑪拉利環浸信會
[00:01:47.640 --> 00:01:51.040]  是一間漂流到不同地方的教會
[00:01:51.040 --> 00:01:54.440]  是一間漂流到不同地方的教會
[00:01:54.440 --> 00:01:57.840]  我們都漂流了差不多二三十年了
[00:01:57.840 --> 00:01:59.840]  我們都漂流了二三十年
[00:01:59.840 --> 00:02:01.440]  都仍然在漂浮
[00:02:01.440 --> 00:02:03.640]  而且還在不停地漂浮
[00:02:03.640 --> 00:02:06.640]  相比很多不同的教會來計算
[00:02:06.640 --> 00:02:09.240]  相當不同的教會來比較
[00:02:09.240 --> 00:02:12.040]  我們沒有自己的堂址
[00:02:12.040 --> 00:02:15.440]  沒有固定的地方我們可以去聚會
[00:02:15.440 --> 00:02:17.840]  沒有固定的地方我們可以去聚會
[00:02:17.840 --> 00:02:21.440]  每次隨著環境我們可能需要搬
[00:02:21.440 --> 00:02:24.040]  每次遇到環境我們可能需要搬
[00:02:24.040 --> 00:02:26.040]  所以每次去到不同的地方聚會
[00:02:26.040 --> 00:02:28.440]  我們要適應那個地方是怎樣的情況
[00:02:28.440 --> 00:02:31.440]  每次到不同地方聚會我們要去適應
[00:02:31.440 --> 00:02:35.440]  然後每一次聚會前都要打掃、收拾
[00:02:35.440 --> 00:02:37.840]  然後完了之後又要打掃、又要收拾
[00:02:37.840 --> 00:02:43.240]  每次在聚會之前要打掃
[00:02:43.240 --> 00:02:45.440]  完了以後也要打掃
[00:02:45.440 --> 00:02:47.840]  為的是什麽呢?
[00:02:47.840 --> 00:02:51.440]  為的是所有能夠參加教會聚會的弟兄姊妹朋友
