
[00:00:00.000 --> 00:00:05.280]  好 今晚就是這個HOME RUN第二講
[00:00:05.280 --> 00:00:07.080]  我們今晚分享 多一代同行
[00:00:07.080 --> 00:00:08.840]  你也知道今年教會的主題
[00:00:08.840 --> 00:00:12.360]  我們這幾次想分享的就是跟家人同行
[00:00:12.360 --> 00:00:14.400]  跟家人同行
[00:00:14.400 --> 00:00:16.680]  我先想問一下大家
[00:00:16.680 --> 00:00:19.360]  你們小時候家裡有沒有一些
[00:00:19.360 --> 00:00:21.200]  即是每個家裡都不同
[00:00:21.200 --> 00:00:23.480]  即是每個家裡都有不同的習慣
[00:00:23.480 --> 00:00:25.920]  但是這些習慣久而久之
[00:00:25.920 --> 00:00:32.080]  就會形成了你家裡的一個傳統
[00:00:32.080 --> 00:00:36.480]  甚至有些習慣是社會都是這樣做的
[00:00:36.480 --> 00:00:40.080]  例如 你有沒有聽過
[00:00:40.080 --> 00:00:42.280]  星期三就最好不要跟別人拜年
[00:00:42.280 --> 00:00:44.000]  年初三 星期三
[00:00:44.000 --> 00:00:46.120]  年初三
[00:00:46.120 --> 00:00:48.280]  年初三就不要去跟別人拜年了
[00:00:48.280 --> 00:00:49.400]  知不知道什麼意思
[00:00:49.400 --> 00:00:50.600]  吵架
[00:00:50.600 --> 00:00:53.400]  吵架的 就是不要去了
[00:00:53.400 --> 00:00:55.720]  你有沒有聽過 初十五之前
[00:00:55.720 --> 00:01:02.360]  還是不要在家掃地
[00:01:02.360 --> 00:01:04.960]  拆利是是另一回事
[00:01:04.960 --> 00:01:08.040]  我聽的就是 初十五前不要掃地
[00:01:08.040 --> 00:01:15.640]  那些人 沒錯 看不出來
[00:01:15.640 --> 00:01:18.400]  掃掉財氣
[00:01:18.400 --> 00:01:26.400]  接著有沒有聽過 坐月是不可以洗頭的
[00:01:26.400 --> 00:01:27.840]  有吧 有吧
[00:01:27.840 --> 00:01:29.280]  當年我姐姐懷孕的時候
[00:01:29.280 --> 00:01:30.480]  我媽媽一直跟她說
[00:01:30.480 --> 00:01:32.400]  蛤 整個月不就很臭
[00:01:32.400 --> 00:01:34.080]  怎麼可以這樣
[00:01:34.080 --> 00:01:35.400]  真的有這樣的傳統
[00:01:35.400 --> 00:01:38.240]  接著後來 我聽說
[00:01:38.240 --> 00:01:40.040]  不知道演了多久之前演變
[00:01:40.040 --> 00:01:44.760]  原來是怕你洗澡的時候著涼
[00:01:44.760 --> 00:01:46.560]  即是凍著 類似這種事
[00:01:46.560 --> 00:01:48.280]  但是我姐姐那時候很大反應
[00:01:48.280 --> 00:01:52.400]  整個月 坐月
[00:01:52.400 --> 00:01:56.160]  我小時候聽我舅父跟我媽媽聊天的時候
[00:01:56.160 --> 00:01:59.640]  他講了一個習慣
[00:01:59.640 --> 00:02:03.480]  一個吃飯家人的安排
