
[00:00:00.000 --> 00:00:04.000]  各位弟兄姊妹,我們一同低頭禱告
[00:00:04.000 --> 00:00:13.000]  我們滿有慈悲憐憫的天賦
[00:00:13.000 --> 00:00:17.000]  今天早上我們一同聚集
[00:00:17.000 --> 00:00:22.000]  感謝耶穌昔日,你從死裡復活
[00:00:22.000 --> 00:00:26.000]  你向瑪利亞,向門徒們顯現
[00:00:26.000 --> 00:00:31.000]  求主今日都藉著你自己聖靈在我們心中的工作
[00:00:31.000 --> 00:00:34.000]  藉著你自性的真道
[00:00:34.000 --> 00:00:39.000]  也將你復活的大能活化在我們眼前
[00:00:39.000 --> 00:00:44.000]  藉著我們因信你的說話而得到這個福氣
[00:00:44.000 --> 00:00:48.000]  多謝你給我們有以下這段時間
[00:00:48.000 --> 00:00:50.000]  求主繼續的賜福
[00:00:50.000 --> 00:00:53.000]  使我們眾人,凡在你面前尋求你的
[00:00:53.000 --> 00:00:55.000]  都能夠尋見
[00:00:55.000 --> 00:00:59.000]  讓我們叩門的是能夠得著開門
[00:00:59.000 --> 00:01:03.000]  更加讓我們等候你的人可以重新得力
[00:01:03.000 --> 00:01:05.000]  誰聽我們這樣的禱告
[00:01:05.000 --> 00:01:07.000]  奉耶穌明智祈求
[00:01:07.000 --> 00:01:13.000]  感謝天父今日讓我們一同在這個復活節的清晨
[00:01:13.000 --> 00:01:15.000]  現在應該不是清晨了
[00:01:15.000 --> 00:01:16.000]  復活節的早上
[00:01:16.000 --> 00:01:20.000]  我們一同在教會裡面去聚集
[00:01:20.000 --> 00:01:23.000]  耶穌基督的復活
[00:01:23.000 --> 00:01:25.000]  其實有一樣東西
[00:01:25.000 --> 00:01:27.000]  我真的想怎麼也不明白
[00:01:27.000 --> 00:01:30.000]  到今天還是不太明白
[00:01:30.000 --> 00:01:32.000]  為什麼
[00:01:32.000 --> 00:01:34.000]  這一群
[00:01:34.000 --> 00:01:36.000]  耶穌一同生活過的人
[00:01:36.000 --> 00:01:38.000]  吃過他的餅
[00:01:38.000 --> 00:01:40.000]  看過拉撒路復活
[00:01:40.000 --> 00:01:42.000]  這一群的門徒
[00:01:42.000 --> 00:01:44.000]  包括瑪利亞在內
[00:01:44.000 --> 00:01:47.000]  他們會
[00:01:47.000 --> 00:01:50.000]  不是真真正正相信
[00:01:50.000 --> 00:01:53.000]  耶穌是永遠活著
[00:01:53.000 --> 00:01:55.000]  你說為什麼呢
[00:01:55.000 --> 00:01:58.000]  你說瑪利亞愛不愛耶穌
[00:01:58.000 --> 00:02:00.000]  肯定愛
[00:02:00.000 --> 00:02:02.000]  不過在那一晚要埋葬
[00:02:02.000 --> 00:02:05.000]  把耶穌放入墓穴裡面的情景
[00:02:05.000 --> 00:02:07.000]  他做不到什麼
[00:02:07.000 --> 00:02:10.000]  因為當時羅馬兵或者祭司
[00:02:10.000 --> 00:02:12.000]  看得很緊
[00:02:12.000 --> 00:02:14.000]  加里馬泰
[00:02:14.000 --> 00:02:18.000]  這個義人
[00:02:18.000 --> 00:02:21.000]  甚至可以說尼哥底姆
[00:02:21.000 --> 00:02:23.000]  這些尊貴的人士
[00:02:23.000 --> 00:02:25.000]  把耶穌包裹
[00:02:25.000 --> 00:02:27.000]  抹了香膏放進墓穴裡
[00:02:27.000 --> 00:02:29.000]  瑪利亞在
[00:02:29.000 --> 00:02:31.000]  七天的頭一天
[00:02:31.000 --> 00:02:33.000]  他清晨起來
[00:02:33.000 --> 00:02:35.000]  起來做什麼呢
[00:02:35.000 --> 00:02:37.000]  他帶著香膏
[00:02:37.000 --> 00:02:39.000]  要去墓穴
