
[00:00:00.000 --> 00:00:04.000]  以撒亞書第43章18-19節
[00:00:04.000 --> 00:00:06.000]  我們一同來唸兩節的聖經
[00:00:06.000 --> 00:00:08.000]  耶和華如此說
[00:00:08.000 --> 00:00:10.000]  你們不要記念從前的事
[00:00:10.000 --> 00:00:12.000]  也不要思想古時的事
[00:00:12.000 --> 00:00:13.000]  看啊
[00:00:13.000 --> 00:00:14.000]  我要做一件新事
[00:00:14.000 --> 00:00:16.000]  如今要發現
[00:00:16.000 --> 00:00:17.000]  你們豈不知道嗎
[00:00:17.000 --> 00:00:19.000]  我必在曠野開道路
[00:00:19.000 --> 00:00:22.000]  在沙漠開江河
[00:00:22.000 --> 00:00:24.000]  今天是1月1號
[00:00:24.000 --> 00:00:26.000]  也是主日
[00:00:26.000 --> 00:00:29.000]  很難得這兩個日子又連結在這裏
[00:00:29.000 --> 00:00:31.000]  所以再次跟你前後主要弟兄姐妹說
[00:00:31.000 --> 00:00:33.000]  新年非常非常非常快樂
[00:00:33.000 --> 00:00:35.000]  跟他說
[00:00:35.000 --> 00:00:43.000]  隨着川普總統即將上臺
[00:00:43.000 --> 00:00:48.000]  無論你是否投他一票
[00:00:48.000 --> 00:00:50.000]  我們都期待
[00:00:50.000 --> 00:00:52.000]  在未來一年當中
[00:00:52.000 --> 00:00:55.000]  是一個充滿改變的一年
[00:00:55.000 --> 00:00:58.000]  雖然從人的角度來講
[00:00:58.000 --> 00:01:01.000]  我們人是不喜歡改變
[00:01:01.000 --> 00:01:03.000]  但事實上
[00:01:03.000 --> 00:01:06.000]  改變是人生的必然
[00:01:06.000 --> 00:01:10.000]  光是你看見你自己兒女的成長
[00:01:10.000 --> 00:01:14.000]  光是你天天看見你的皺紋越來越深
[00:01:14.000 --> 00:01:16.000]  頭髮越來越白
[00:01:16.000 --> 00:01:21.000]  你知道改變是一個無法阻擋的事實
[00:01:21.000 --> 00:01:23.000]  當然對基督徒來講
[00:01:23.000 --> 00:01:26.000]  雖然我們知道所處的世代
[00:01:26.000 --> 00:01:29.000]  是個快速變化的世代
[00:01:29.000 --> 00:01:32.000]  但我們心靈深處
[00:01:32.000 --> 00:01:34.000]  還是希望
[00:01:34.000 --> 00:01:37.000]  起碼在教會里面是個安全地帶
[00:01:37.000 --> 00:01:39.000]  就好像耶穌基督一樣
[00:01:39.000 --> 00:01:41.000]  祂昨日今日直到永遠不改變
[00:01:41.000 --> 00:01:44.000]  我們也希望教會永不改變
[00:01:44.000 --> 00:01:46.000]  但事實上你要明白
[00:01:46.000 --> 00:01:50.000]  神他自己是永不改變的神
[00:01:50.000 --> 00:01:53.000]  但他所工作的每一個地方
[00:01:53.000 --> 00:01:57.000]  都必然帶來改變的
[00:01:57.000 --> 00:02:00.000]  事實上我們看見整個教會的建造
[00:02:00.000 --> 00:02:06.000]  就是建立在神必然帶來改變這個應許上
[00:02:06.000 --> 00:02:11.000]  否則我們怎麼可能來建造神榮耀的教會呢
[00:02:11.000 --> 00:02:14.000]  我們建造教會是因爲我們相信
[00:02:14.000 --> 00:02:17.000]  我們的神必然能夠改變人心
[00:02:17.000 --> 00:02:19.000]  我們建造教會是因爲我們相信
[00:02:19.000 --> 00:02:22.000]  我們的神必然能夠改變我們的家庭
