
[00:00:00.000 --> 00:00:02.840]  今天為大家預備的題目是
[00:00:02.840 --> 00:00:04.240]  「像樣的教會」
[00:00:04.240 --> 00:00:07.120]  剛才有姐妹在崇拜裡面看到
[00:00:07.120 --> 00:00:08.480]  「牧師」這個字是什麼來的
[00:00:08.480 --> 00:00:10.600]  什麼叫「像樣的教會」
[00:00:10.600 --> 00:00:11.960]  可能寫得不太好
[00:00:11.960 --> 00:00:13.480]  「像樣的教會」的意思就是
[00:00:13.480 --> 00:00:15.680]  「似樣的教會」
[00:00:15.680 --> 00:00:17.760]  當我們說「似樣的教會」的時候
[00:00:17.760 --> 00:00:20.280]  你會想起什麼呢
[00:00:20.280 --> 00:00:22.720]  「似樣的教會」應該是怎樣的呢
[00:00:22.720 --> 00:00:24.880]  是不是有一座建築物
[00:00:24.880 --> 00:00:26.480]  一定要有十字架
[00:00:26.480 --> 00:00:29.040]  有聖經 有牧師 有教友
[00:00:29.040 --> 00:00:32.920]  有信徒在唱詩 祈禱 敬拜
[00:00:32.920 --> 00:00:34.680]  這些都重要的
[00:00:34.680 --> 00:00:36.640]  不過我們想深一層
[00:00:36.640 --> 00:00:38.080]  有了這些東西
[00:00:38.080 --> 00:00:42.160]  又不一定是一間很像樣的教會
[00:00:42.160 --> 00:00:46.520]  好像欠缺了些什麼呢
[00:00:46.520 --> 00:00:48.840]  今天我們來看哥倫多前書
[00:00:48.840 --> 00:00:51.840]  是九三對經火所選定的經文
[00:00:51.840 --> 00:00:54.160]  上個星期劉牧師跟我們分享了
[00:00:54.160 --> 00:00:55.720]  十二章的一至十一節
[00:00:55.720 --> 00:00:59.920]  所以今天緊接著就是十二至三十一節上
[00:00:59.920 --> 00:01:03.360]  我們來看看經文給我們有什麼提示
[00:01:03.360 --> 00:01:06.000]  什麼是「似樣的教會」
[00:01:06.000 --> 00:01:11.040]  我們首先來到一齊的禱告
[00:01:11.040 --> 00:01:13.520]  新公主感謝祢
[00:01:13.520 --> 00:01:14.280]  願祢愛我們
[00:01:14.280 --> 00:01:16.520]  帶著一個期望
[00:01:16.520 --> 00:01:18.520]  一個興奮的心情
[00:01:18.520 --> 00:01:20.800]  在殿裏一齊敬拜祢
[00:01:20.800 --> 00:01:21.720]  我們的期待就是
[00:01:21.720 --> 00:01:24.320]  祢用祢的話語去滋潤我們
[00:01:24.320 --> 00:01:26.280]  我們的期望就是讓祢的話語
[00:01:26.280 --> 00:01:29.240]  來到好像活水一樣去滋潤我們的心田
[00:01:29.240 --> 00:01:31.680]  以致我們真的能夠欣著
[00:01:31.680 --> 00:01:33.960]  去聆聽祢 去敬拜祢
[00:01:33.960 --> 00:01:35.880]  我們能夠得到那份力量
[00:01:35.880 --> 00:01:37.880]  讓我們心裏有力量
[00:01:37.880 --> 00:01:39.160]  讓我們心裏能夠剛強
[00:01:39.160 --> 00:01:42.280]  以致我們生活有力作功德色
[00:01:42.280 --> 00:01:43.080]  在這個時刻
[00:01:43.080 --> 00:01:44.040]  特別這個時刻
[00:01:44.040 --> 00:01:47.320]  讓講的和聽的都同蒙祢的閱立
[00:01:47.320 --> 00:01:49.720]  願聖靈充滿我們大有信心
[00:01:49.720 --> 00:01:51.640]  我們跟心交妥協上禱告
[00:01:51.640 --> 00:01:53.760]  奉主耶穌基督的名求
[00:01:53.760 --> 00:01:55.400]  阿門
[00:01:55.400 --> 00:01:59.720]  我們來看看大家手上的聖經
[00:01:59.720 --> 00:02:02.400]  看看哥倫多教會的背景
[00:02:02.400 --> 00:02:06.760]  就在《新約傳書》第248頁
