
[00:00:00.000 --> 00:00:02.560]  今日的講道就到馬可福音第十四章
[00:00:02.560 --> 00:00:05.680]  由二十二節到三十一節
[00:00:05.680 --> 00:00:08.200]  上星期我們有同工分享了
[00:00:08.200 --> 00:00:12.240]  馬可福音十四章由第一節到二十一節
[00:00:12.240 --> 00:00:14.680]  我們經常強調過去這幾篇講道
[00:00:14.680 --> 00:00:19.680]  都是耶穌基督在地上最後一星期的工作
[00:00:19.680 --> 00:00:22.560]  就是當中他到上十字架
[00:00:22.560 --> 00:00:25.360]  然後三天之後他復活的一星期
[00:00:25.360 --> 00:00:28.040]  我們稱之為受難的一星期
[00:00:28.040 --> 00:00:30.040]  當然在上星期講道那一篇
[00:00:30.040 --> 00:00:32.600]  嚴格來說如果看回他的時序
[00:00:32.600 --> 00:00:36.120]  就是橫跨了星期三和星期四
[00:00:36.120 --> 00:00:39.720]  星期三就是耶穌基督在伯達尼的地方
[00:00:39.720 --> 00:00:43.560]  被一個婦人將他自己所擁有的
[00:00:43.560 --> 00:00:50.040]  一瓶最貴的香膏抹在耶穌的頭上
[00:00:50.040 --> 00:00:51.960]  上星期我們的同工也分享了
[00:00:51.960 --> 00:00:55.240]  這瓶香膏是差不多一年的工資
[00:00:55.240 --> 00:00:59.080]  是非常貴重的一瓶香膏
[00:00:59.080 --> 00:01:00.920]  可能是他自己的嫁妝
[00:01:00.920 --> 00:01:03.960]  但他願意給過了耶穌基督
[00:01:03.960 --> 00:01:05.320]  以至到耶穌基督說
[00:01:05.320 --> 00:01:08.440]  這個故事是要在往後的日子當中
[00:01:08.440 --> 00:01:09.720]  講到關於耶穌的
[00:01:09.720 --> 00:01:11.960]  一定要將這個故事講出來
[00:01:11.960 --> 00:01:13.560]  而同樣記載那一篇
[00:01:13.560 --> 00:01:17.960]  星期三晚猶太已經去到一班領袖那裡
[00:01:17.960 --> 00:01:19.400]  要出賣耶穌
[00:01:19.400 --> 00:01:20.680]  然後去到星期四
[00:01:20.680 --> 00:01:26.520]  耶穌就吩咐門徒去預備如月節的晚餐
[00:01:26.520 --> 00:01:28.200]  所以上星期我們看到
[00:01:28.200 --> 00:01:29.640]  我們同工就分享了
[00:01:29.640 --> 00:01:34.200]  一班門徒就開始去預備如月節的晚餐
[00:01:34.200 --> 00:01:36.120]  而今天我們就會去看看
[00:01:36.120 --> 00:01:38.760]  這個如月節的晚餐之餘
[00:01:38.760 --> 00:01:41.160]  還有耶穌基督預言
[00:01:41.160 --> 00:01:45.640]  他所愛的門徒彼得三次不認耶穌
[00:01:45.640 --> 00:01:48.600]  今天我就嘗試跟大家看看
[00:01:48.600 --> 00:01:51.080]  這個如月節晚餐和
[00:01:51.080 --> 00:01:55.560]  耶穌預言彼得三次不認祂自己
[00:01:55.560 --> 00:01:58.040]  為什麼我們看回如月節晚餐
[00:01:58.040 --> 00:02:00.200]  這個明明是如月節的晚餐
[00:02:00.200 --> 00:02:02.840]  也可以說是耶穌在地上
[00:02:02.840 --> 00:02:04.200]  三十三年當中
[00:02:04.200 --> 00:02:06.040]  是祂自己最後一次
[00:02:06.040 --> 00:02:09.960]  和一班門徒的一次如月節晚餐
[00:02:09.960 --> 00:02:12.520]  為什麼我們學者或者很多的牧者
[00:02:12.520 --> 00:02:14.600]  今天我們傳遞信息的時候
[00:02:14.600 --> 00:02:17.240]  我們經常都將這個如月節晚餐
[00:02:17.240 --> 00:02:19.240]  成為最後晚餐
[00:02:19.240 --> 00:02:21.080]  我們經常說這個是最後晚餐
[00:02:21.080 --> 00:02:23.000]  究竟那個分別在哪裡
[00:02:23.000 --> 00:02:24.920]  究竟為什麼我們有這樣的傳遞
[00:02:24.920 --> 00:02:28.120]  就將耶穌明明是一個如月節晚餐
[00:02:28.120 --> 00:02:30.200]  但我們很多時候就套上
[00:02:30.200 --> 00:02:32.600]  一個最後晚餐的觀念
[00:02:32.600 --> 00:02:35.880]  當然我們先看看如月節晚餐
[00:02:35.880 --> 00:02:37.880]  很明顯在馬赫福音
[00:02:37.880 --> 00:02:40.120]  馬太福音、路加、約翰
[00:02:40.120 --> 00:02:42.360]  當他們記載耶穌生平當中
[00:02:42.360 --> 00:02:45.400]  去到這個最後一次的如月節晚餐的時候
[00:02:45.400 --> 00:02:48.360]  四個作者在描述這個晚餐的裏面
[00:02:48.360 --> 00:02:50.760]  其實都是比較上簡單
[00:02:50.760 --> 00:02:53.880]  如果真的要將舊約傳統
[00:02:53.880 --> 00:02:58.360]  由拉比傳統的如月節晚餐的內容
[00:02:58.360 --> 00:03:00.440]  其實是很複雜的
[00:03:00.440 --> 00:03:03.560]  我只能夠用一本書裏面的一個表
[00:03:03.560 --> 00:03:04.520]  給大家看看
[00:03:04.520 --> 00:03:06.600]  給大家看看我今天沒有時間說
[00:03:06.600 --> 00:03:08.440]  其實整個如月節晚餐
[00:03:08.440 --> 00:03:10.520]  可以說是分成四部分
[00:03:10.520 --> 00:03:11.640]  所以換言之
[00:03:11.640 --> 00:03:15.080]  真正要做足如月節晚餐
[00:03:15.080 --> 00:03:17.960]  其實是一段較長的時間
[00:03:17.960 --> 00:03:21.320]  等於可能你去吃日本那些什麼餐
[00:03:21.320 --> 00:03:22.760]  其實時間很長
[00:03:22.760 --> 00:03:24.360]  去吃法國那些什麼餐
[00:03:24.360 --> 00:03:25.400]  又是時間很長
[00:03:25.400 --> 00:03:26.760]  可能吃四味菜
[00:03:26.760 --> 00:03:28.040]  吃了三個小時
[00:03:28.040 --> 00:03:30.440]  就是說很長的時間
[00:03:30.440 --> 00:03:32.920]  其實過去我一直都很少
[00:03:32.920 --> 00:03:35.240]  我從來沒有試過去守如月節晚餐
[00:03:35.240 --> 00:03:36.760]  在今年以前
[00:03:36.760 --> 00:03:40.920]  我自己是極少去想去守如月節晚餐
[00:03:40.920 --> 00:03:42.360]  但今年我們有一個同工
[00:03:42.360 --> 00:03:43.880]  在我們教會就提出
[00:03:43.880 --> 00:03:46.840]  不如我們今年又有如月節晚餐
[00:03:46.840 --> 00:03:49.560]  於是我們今年教會在復活節之前
[00:03:49.560 --> 00:03:53.720]  我們有三次如月節晚餐的一個機會
[00:03:53.720 --> 00:03:55.080]  當然我作為主音樂師
[00:03:55.080 --> 00:03:58.200]  同工就說不如你又主持一場
[00:03:58.200 --> 00:03:59.080]  我不懂的
[00:03:59.080 --> 00:04:00.200]  我從來都不懂的
[00:04:00.200 --> 00:04:01.640]  我都不知道什麼叫如月節晚餐
[00:04:01.640 --> 00:04:03.080]  我從來都不理會這些東西
