
[00:00:00.000 --> 00:00:07.000]  各位姐妹們,平安!姐妹們,母親節晚安!快樂!
[00:00:07.000 --> 00:00:15.000]  我今天,當然感謝主可以和你一起分享
[00:00:15.000 --> 00:00:22.000]  我星期五在做檢查二重小手術
[00:00:22.000 --> 00:00:28.000]  所以昨天其實喉嚨很痛,所以我和師母說你stand by
[00:00:28.000 --> 00:00:31.000]  我講不了話,你今天就是你的了
[00:00:31.000 --> 00:00:35.000]  不是說要和梁牧師求教了
[00:00:35.000 --> 00:00:41.000]  但是今天,完全完全一點痛都沒有
[00:00:41.000 --> 00:00:46.000]  所以在這裡真是奇妙的醫治工作
[00:00:46.000 --> 00:00:56.000]  所以今天和你們,當然我們母親節就是分享母親節的訊息
[00:00:56.000 --> 00:01:02.000]  所以我不知道我以後有沒有給你看過這個影片
[00:01:02.000 --> 00:01:04.000]  她在英文說
[00:01:04.000 --> 00:01:08.000]  Do you know why Mother's Day is more popular than Father's Day?
[00:01:08.000 --> 00:01:11.000]  Just have a look at this video
[00:01:11.000 --> 00:01:21.000]  中文就是,你師父知道為什麼母親節比父親節更受歡迎?
[00:01:21.000 --> 00:01:27.000]  你們看到什麼?
[00:01:27.000 --> 00:01:34.000]  看到什麼?
[00:01:34.000 --> 00:01:37.000]  自己叫自己的,是誰?
[00:01:37.000 --> 00:01:44.000]  是爸爸,舅舅,兒子,姊姊,媽媽
[00:01:44.000 --> 00:01:54.000]  所以為什麼我們多數都會記得母親節比父親節更多
[00:01:54.000 --> 00:02:00.000]  所以今天我們和母親節,母親節的時候
[00:02:00.000 --> 00:02:05.000]  我要和你們分享一個就是《珍言三十》一章十節
[00:02:05.000 --> 00:02:12.000]  和剛才大興同我們帶領我們已經讀過了
[00:02:12.000 --> 00:02:17.000]  這個我們是描述,《珍言三十》最後一章是描述
[00:02:17.000 --> 00:02:24.000]  一個警察的尾達的履俠師,或者那個我們說的字母師
[00:02:24.000 --> 00:02:26.000]  為什麼是他的字母師呢?
[00:02:26.000 --> 00:02:34.000]  你們知道十節到三十一節有幾節嗎?
[00:02:34.000 --> 00:02:42.000]  二十二節,少過一個十節,二十一節
[00:02:42.000 --> 00:02:49.000]  所以《白蘭萬年》裡面是有二十二節,有一個字母的
[00:02:49.000 --> 00:02:55.000]  好像我們英文的A2字,二十六,它是有二十二的
[00:02:55.000 --> 00:03:00.000]  所以它很奇妙的,這個最後一章
[00:03:00.000 --> 00:03:07.000]  它最後的二十二節是用十節開始就好像A、B、C那樣
[00:03:07.000 --> 00:03:12.000]  當時對我們來說可能沒什麼分別
[00:03:12.000 --> 00:03:15.000]  但是對以色列人、猶太人來說
[00:03:15.000 --> 00:03:20.000]  他們很容易記得這篇詩
