
[00:00:00.000 --> 00:00:07.060]  我感恩原來有500個職場小組在香港運作
[00:00:07.060 --> 00:00:13.200]  支持這班信徒在職場做職場宣教士
[00:00:13.200 --> 00:00:17.200]  我們思想職場宣教士這個題目好像很大
[00:00:17.200 --> 00:00:20.100]  我們未去到這個準備的時候
[00:00:20.100 --> 00:00:22.700]  我想和大家思想一個簡單的問題
[00:00:22.700 --> 00:00:24.400]  就像今天的題目
[00:00:24.400 --> 00:00:26.200]  誰是大老闆
[00:00:26.200 --> 00:00:30.000]  究竟我們真正的大老闆是誰呢
[00:00:30.000 --> 00:00:33.600]  你在打工的服務的對象又是誰呢
[00:00:33.600 --> 00:00:38.000]  我們看今天的經文
[00:00:38.000 --> 00:00:41.700]  經文記載在哥羅西書的三章二十二至四章一節
[00:00:41.700 --> 00:00:44.400]  你讀完之後就知道為什麼會選擇這段經文
[00:00:44.400 --> 00:00:46.400]  我們一起讀一二三
[00:00:46.400 --> 00:00:47.900]  你們作僕人的
[00:00:47.900 --> 00:00:51.200]  要凡是聽從你們肉身的主人
[00:00:51.200 --> 00:00:53.400]  不要只在眼前侍奉
[00:00:53.400 --> 00:00:55.400]  像是土人喜歡的
[00:00:55.400 --> 00:00:58.200]  總要全心誠實敬畏主
[00:00:58.200 --> 00:01:01.200]  無論做什麼都要從心裡做
[00:01:01.200 --> 00:01:02.900]  像是給主做的
[00:01:02.900 --> 00:01:04.600]  不是給人做的
[00:01:04.600 --> 00:01:09.500]  因為你們知道主那裡必得著基業為賞詞
[00:01:09.500 --> 00:01:12.500]  你們所侍奉的乃是主基督
[00:01:12.500 --> 00:01:15.700]  那行不義的必受不義的報應
[00:01:15.700 --> 00:01:17.500]  主並不偏待人
[00:01:17.500 --> 00:01:19.000]  你們作主人的
[00:01:19.000 --> 00:01:21.500]  要公公平平地待僕人
[00:01:21.500 --> 00:01:26.300]  因為知道你們也有一位主在天上
[00:01:26.300 --> 00:01:28.400]  大家認不認得裏面的經文
[00:01:28.400 --> 00:01:32.900]  我們今個月要背的金句就是在三章二十二節
[00:01:32.900 --> 00:01:35.100]  兩個禮拜之後也有一句新的金句
[00:01:35.100 --> 00:01:36.800]  就是在四章一節
[00:01:36.800 --> 00:01:38.900]  裏面提到我們在職場裏面
[00:01:38.900 --> 00:01:41.100]  我們怎樣做一個僕人呢
