
[00:00:00.000 --> 00:00:03.000]  各位弟兄姊妹 主內平安
[00:00:03.000 --> 00:00:07.000]  如果我背一節金句
[00:00:07.000 --> 00:00:10.000]  神愛世人
[00:00:10.000 --> 00:00:12.000]  你識唔識讀落去呀
[00:00:12.000 --> 00:00:14.000]  一齊嚟囉
[00:00:14.000 --> 00:00:17.000]  甚至將他的獨生子
[00:00:17.000 --> 00:00:19.000]  賜給他們
[00:00:19.000 --> 00:00:22.000]  叫一切信他的
[00:00:22.000 --> 00:00:26.000]  不致滅亡 反得永生
[00:00:26.000 --> 00:00:30.000]  約翰福音三章十六節
[00:00:30.000 --> 00:00:31.000]  你識啦
[00:00:31.000 --> 00:00:33.000]  另外一句的金句
[00:00:33.000 --> 00:00:35.000]  都是三章十六節
[00:00:35.000 --> 00:00:38.000]  不過係提摩太後書
[00:00:38.000 --> 00:00:40.000]  我哋又識唔識背呀
[00:00:40.000 --> 00:00:42.000]  唔識啦
[00:00:42.000 --> 00:00:44.000]  我試下讀第一句呀
[00:00:44.000 --> 00:00:46.000]  睇下你可唔可以
[00:00:46.000 --> 00:00:49.000]  加入一齊背呢
[00:00:49.000 --> 00:00:51.000]  定係打咗出嚟呀
[00:00:51.000 --> 00:00:53.000]  未唔好打出嚟字呀
[00:00:53.000 --> 00:00:58.000]  聖經都是神所默示的
[00:00:58.000 --> 00:01:02.000]  於教訓督責使人歸正
[00:01:02.000 --> 00:01:04.000]  教導人學矣
[00:01:04.000 --> 00:01:07.000]  都是有益的
[00:01:07.000 --> 00:01:08.000]  仲有十七節喎
[00:01:08.000 --> 00:01:10.000]  哎呀好難呀係咪呀
[00:01:10.000 --> 00:01:12.000]  我又唔係報神學院
[00:01:12.000 --> 00:01:14.000]  做咩考我聖經㗎
[00:01:14.000 --> 00:01:15.000]  我讀俾你聽啦
[00:01:15.000 --> 00:01:17.000]  教育神的人
[00:01:17.000 --> 00:01:23.000]  得以完全預備行各樣的善事
[00:01:23.000 --> 00:01:26.000]  保羅寫信俾
[00:01:26.000 --> 00:01:30.000]  佢屬靈嘅兒子提摩太
[00:01:30.000 --> 00:01:32.000]  哎呀你話好細個好趣字
[00:01:32.000 --> 00:01:33.000]  唔係呀
[00:01:33.000 --> 00:01:35.000]  保羅使徒保羅
[00:01:35.000 --> 00:01:39.000]  喺佢完成咗一生
[00:01:39.000 --> 00:01:44.000]  為主宣教之後
[00:01:44.000 --> 00:01:52.000]  佢寫信俾佢嘅接班人提摩太牧師
[00:01:52.000 --> 00:01:58.000]  當年已忽所教會嘅主任牧師
[00:01:58.000 --> 00:02:00.000]  提醒提摩太
