
[00:00:00.000 --> 00:00:03.700]  好,我們回到今天我要分享的題目
[00:00:03.700 --> 00:00:06.200]  分享的題目就是
[00:00:06.200 --> 00:00:09.100]  我們一起來唸好不好
[00:00:09.100 --> 00:00:11.300]  無情世界有晴天
[00:00:11.300 --> 00:00:13.400]  無情世界有晴天
[00:00:13.400 --> 00:00:14.500]  我想分享這個題目
[00:00:14.500 --> 00:00:16.500]  因爲這也是對我自己說的
[00:00:16.500 --> 00:00:18.400]  我們都是軟弱的人
[00:00:18.400 --> 00:00:20.700]  但是有一位愛我們的天父
[00:00:20.700 --> 00:00:23.900]  有一位大有能力慈愛的天父
[00:00:23.900 --> 00:00:26.100]  剛纔所念的經文
[00:00:26.100 --> 00:00:31.700]  其實又回到第一句話就是講到說
[00:00:31.700 --> 00:00:35.400]  這世以後到了猶太人的一個節期
[00:00:35.400 --> 00:00:37.900]  這世以後
[00:00:37.900 --> 00:00:40.800]  在《約翰福音》裏面好幾次說這世以後
[00:00:40.800 --> 00:00:43.600]  這世以後一隔下去就隔了好幾個月
[00:00:43.600 --> 00:00:45.400]  有時候隔了一年
[00:00:45.400 --> 00:00:47.800]  那麼到了一個節期
[00:00:47.800 --> 00:00:49.600]  那麼這個節期
[00:00:49.600 --> 00:00:54.600]  我們知道猶太人一生要參加有三個節期
[00:00:54.600 --> 00:00:56.800]  每一年有三個大節期
[00:00:56.800 --> 00:01:00.800]  都要到耶路撒冷去過節
[00:01:00.800 --> 00:01:03.200]  那麼哪三個節日
[00:01:03.200 --> 00:01:05.200]  我考大家一下
[00:01:05.200 --> 00:01:07.200]  猶太人的弟兄
[00:01:07.200 --> 00:01:08.800]  驢夜節
[00:01:08.800 --> 00:01:10.700]  祝逢節
[00:01:10.700 --> 00:01:12.400]  五旬節
[00:01:12.400 --> 00:01:17.500]  那麼我們通常說耶穌在世界上
[00:01:17.500 --> 00:01:20.000]  到世界上公開傳福音
[00:01:20.000 --> 00:01:20.900]  一共傳了幾年
[00:01:20.900 --> 00:01:22.600]  多久
[00:01:22.600 --> 00:01:24.600]  三年半
[00:01:24.600 --> 00:01:27.000]  你怎麼知道
[00:01:27.000 --> 00:01:29.700]  你看《馬太福音》《馬可福音》《路加福音》
[00:01:29.700 --> 00:01:31.100]  你看都是
[00:01:31.100 --> 00:01:32.800]  就是第一個一到驢夜節
[00:01:32.800 --> 00:01:34.900]  他就到那邊就
[00:01:34.900 --> 00:01:36.900]  就被定十字架了
[00:01:36.900 --> 00:01:38.800]  那就只有一年的時間
[00:01:38.800 --> 00:01:40.600]  但是看《約翰福音》
[00:01:40.600 --> 00:01:43.400]  因爲《約翰福音》是馬太馬可路加寫完以後
[00:01:43.400 --> 00:01:44.800]  過了60年才寫的
[00:01:44.800 --> 00:01:47.200]  這是補充馬太馬可路加的
[00:01:47.200 --> 00:01:50.000]  《約翰福音》裏面就講到說
[00:01:50.000 --> 00:01:52.300]  第二章就講到驢夜節的時候
[00:01:52.300 --> 00:01:53.900]  第六章講到五比二餘的時候
[00:01:53.900 --> 00:01:54.900]  又講到驢夜節
[00:01:54.900 --> 00:01:57.000]  然後到最後十八章又講到
[00:01:57.000 --> 00:01:57.900]  又是驢夜節的時候
[00:01:57.900 --> 00:01:58.900]  耶穌被定十架
[00:01:58.900 --> 00:02:00.400]  是三個驢夜節對不對
[00:02:00.400 --> 00:02:02.500]  那麼在第五章剛纔念
[00:02:02.500 --> 00:02:04.200]  這季以後到了一個節期
[00:02:04.200 --> 00:02:05.400]  這個節期
[00:02:05.400 --> 00:02:08.000]  我們通常猜應該是驢夜節
[00:02:08.000 --> 00:02:09.200]  因爲驢夜節
[00:02:09.200 --> 00:02:12.900]  大節日耶穌會去耶路撒冷
[00:02:12.900 --> 00:02:14.100]  所以四個節日
[00:02:14.100 --> 00:02:16.400]  所以耶穌之前
[00:02:16.400 --> 00:02:18.600]  可能是我們講說半年的傳福音
[00:02:18.600 --> 00:02:21.100]  然後第一個驢夜節
[00:02:21.100 --> 00:02:23.200]  一年兩年三年對不對
[00:02:23.200 --> 00:02:24.700]  那麼說三年半
[00:02:24.700 --> 00:02:26.000]  所以我們這樣纔講說
[00:02:26.000 --> 00:02:31.600]  耶穌在世上公開傳福音
[00:02:31.600 --> 00:02:33.900]  有三年半的時間
[00:02:33.900 --> 00:02:36.600]  因此耶穌是在驢夜節的時候
[00:02:36.600 --> 00:02:38.400]  去耶路撒冷過節
[00:02:38.400 --> 00:02:40.200]  我一般人都喜歡過節對不對
[00:02:40.200 --> 00:02:42.100]  剛過了July 4th
[00:02:42.100 --> 00:02:44.700]  我們的美國國慶日
[00:02:44.700 --> 00:02:47.300]  因爲過節嘛
[00:02:47.300 --> 00:02:49.300]  可以放假嘛對不對
[00:02:49.300 --> 00:02:52.900]  我們過節充滿了歡慶很快樂
[00:02:52.900 --> 00:02:54.000]  那過年的時候
[00:02:54.000 --> 00:02:56.700]  我們在這邊美國比較沒有什麼過年
[00:02:56.700 --> 00:02:59.000]  到臺灣到我們中國大陸
[00:02:59.000 --> 00:03:02.100]  哇我喜歡那種過年的感覺
[00:03:02.100 --> 00:03:04.500]  大家爲了討吉利求平安
[00:03:04.500 --> 00:03:06.800]  大部分人過節的時候
[00:03:06.800 --> 00:03:09.300]  都不想去那個很痛苦的地方
[00:03:09.300 --> 00:03:10.700]  我記得我岳母
[00:03:10.700 --> 00:03:11.600]  她去世的時候
[00:03:11.600 --> 00:03:15.400]  就是剛好是在農曆年的時候
[00:03:15.400 --> 00:03:20.600]  我們鄰居不敢靠近
[00:03:20.600 --> 00:03:22.900]  連那個包那個白包都在門口
[00:03:22.900 --> 00:03:25.200]  嗨要慰問一下
[00:03:25.200 --> 00:03:27.200]  不敢進來就外面都離開了
[00:03:27.200 --> 00:03:30.700]  大家都避開了
[00:03:30.700 --> 00:03:34.200]  但是我們都希望聽到
[00:03:34.200 --> 00:03:36.800]  過年的時候是聽吉祥的話啦
[00:03:36.800 --> 00:03:37.900]  年齡有餘啦
[00:03:37.900 --> 00:03:40.200]  大富大貴的這些的話語
[00:03:40.200 --> 00:03:41.600]  但是耶穌很特別
