
[00:00:00.000 --> 00:00:02.000]  (主席) 各位電視節目的早晨
[00:00:02.000 --> 00:00:05.000]  (主席) 如果大家一直有回星期六早上的崇拜
[00:00:05.000 --> 00:00:09.000]  (主席) 都知道我近期都是在講耶穌所講的比喻
[00:00:09.000 --> 00:00:12.000]  (主席) 當我來這裡寫今天的講章
[00:00:12.000 --> 00:00:16.000]  (主席) 我就看到原來人性都是喜歡先做一些比較容易的事情
[00:00:16.000 --> 00:00:20.000]  (主席) 因為為什麼呢? 耶穌的比喻有些是較為容易解釋的
[00:00:20.000 --> 00:00:24.000]  (主席) 我已經講了 譬如浪子的比喻 殺種的比喻
[00:00:24.000 --> 00:00:28.000]  (主席) 所以那些越難解的其實我越不想去碰它
[00:00:28.000 --> 00:00:31.000]  (主席) 但是又覺得不碰是不行的
[00:00:31.000 --> 00:00:34.000]  (主席) 所以今天應該是第十三個耶穌的比喻
[00:00:34.000 --> 00:00:38.000]  (主席) 今天的比喻其實是較為難解釋的
[00:00:38.000 --> 00:00:44.000]  (主席) 還要用崇拜講道的方式去表達 我想會更加難一點
[00:00:44.000 --> 00:00:46.000]  (主席) 如果用主學的方式會好一點
[00:00:46.000 --> 00:00:48.000]  (主席) 逐個逐個去解釋一句話
[00:00:48.000 --> 00:00:50.000]  (主席) 所以當我寫這篇講章的時候
[00:00:50.000 --> 00:00:55.000]  (主席) 更加迫切地去禱告 求神尼達去幫助
[00:00:55.000 --> 00:00:59.000]  (主席) 我們領受這個比喻之前 我們先低頭祈禱
[00:00:59.000 --> 00:01:03.000]  (主席) 天文求你親自用你的話語成為我們的提醒和幫助
[00:01:03.000 --> 00:01:06.000]  (主席) 叫我們不要想著每一件事都是必然
[00:01:06.000 --> 00:01:10.000]  (主席) 特別教導我們如何著重我們今生的生活
[00:01:10.000 --> 00:01:13.000]  (主席) 免得尼達在我們今天的生活中有偏差
[00:01:13.000 --> 00:01:15.000]  (主席) 影響我們永恆的生命
[00:01:15.000 --> 00:01:17.000]  (主席) 阿彌陀佛求你尼達可以用你的能力
[00:01:17.000 --> 00:01:20.000]  (主席) 你有否給孩子 叫我所講的信息
[00:01:20.000 --> 00:01:22.000]  (主席) 能夠成為眾弟兄姊妹的幫助
[00:01:22.000 --> 00:01:25.000]  (主席) 祈禱拉奉主德性的名 阿門
[00:01:25.000 --> 00:01:29.000]  (主席) 我們先來一次過讀完這個比喻
[00:01:29.000 --> 00:01:31.000]  (主席) 今次這個比喻頗長的
[00:01:31.000 --> 00:01:35.000]  (主席) 是《路交方案》第十六章十九到三十一節
[00:01:35.000 --> 00:01:38.000]  (主席) 我們先讀一次 以致我們有一個印象
[00:01:38.000 --> 00:01:41.000]  (主席) 然後我再和大家解釋
[00:01:41.000 --> 00:01:47.000]  有一個財主穿著紫色袍和細碼衣服
[00:01:47.000 --> 00:01:53.000]  天天奢華艷樂,又有一個討飯的名叫拉薩路
[00:01:53.000 --> 00:01:58.000]  渾身生瘡,被人放在財主門口
[00:01:58.000 --> 00:02:03.000]  要得財主桌子上掉下來的零碎充饑
[00:02:03.000 --> 00:02:06.000]  並且久內填他的瘡
[00:02:06.000 --> 00:02:09.000]  後來那討飯的死了
[00:02:09.000 --> 00:02:14.000]  被天使帶去放在阿伯拉罕的懷裡
[00:02:14.000 --> 00:02:18.000]  財主也死了,並且埋葬了
[00:02:18.000 --> 00:02:21.000]  他在陰間受痛苦
[00:02:21.000 --> 00:02:25.000]  舉目遠遠地望見阿伯拉罕
[00:02:25.000 --> 00:02:28.000]  又望見拉薩路在他懷裡
[00:02:28.000 --> 00:02:34.000]  就喊著說:「我祖阿伯拉罕啊!可憐我吧!
[00:02:34.000 --> 00:02:42.000]  打發拉薩路來,用指頭沾淡點水,涼涼我的舌頭
[00:02:42.000 --> 00:02:47.000]  因為我在這火焰裡極其痛苦。」
[00:02:47.000 --> 00:02:53.000]  阿伯拉罕說:「兒啊!你該回想你生前享過福
[00:02:53.000 --> 00:02:56.000]  拉薩路也受過苦
[00:02:56.000 --> 00:03:01.000]  如今他在這裡得安慰,你倒受痛苦。」
[00:03:01.000 --> 00:03:08.000]  不但這樣,並且在你我之間有深淵限定
[00:03:08.000 --> 00:03:13.000]  「自人要從這邊過到你們那邊是不能的
[00:03:13.000 --> 00:03:18.000]  要從那邊過到我們這邊也是不能的。」
