
[00:00:00.000 --> 00:00:07.200]  今天我很想用剛才提摩太後書的四章七至八節
[00:00:07.200 --> 00:00:11.900]  就是保羅回顧他一生的服侍的時候
[00:00:11.900 --> 00:00:19.200]  就將這個服侍留給提摩太
[00:00:19.200 --> 00:00:22.400]  提摩太是保羅屬靈的兒子
[00:00:22.400 --> 00:00:26.700]  又是當時教會的年青領袖
[00:00:26.700 --> 00:00:31.000]  是一個最具感染力的血緬
[00:00:31.000 --> 00:00:34.100]  最具感染力的血緬
[00:00:34.100 --> 00:00:38.400]  我相信保羅不單止是給提摩太
[00:00:38.400 --> 00:00:41.400]  今天也要給我們每一個
[00:00:41.400 --> 00:00:44.800]  讓我們一起先祭頭祈禱
[00:00:44.800 --> 00:00:48.100]  聖靈求你當我們打開你的話語的時候
[00:00:48.100 --> 00:00:51.500]  願你自己親自來對我們說話
[00:00:51.500 --> 00:00:58.000]  讓你的說話滿有能力來祝福我們每一個
[00:00:58.000 --> 00:01:00.600]  讓我們聽的說的是同感一靈
[00:01:00.600 --> 00:01:06.400]  並且我們祈求主讓我們對祢的話有回應
[00:01:06.400 --> 00:01:07.300]  多謝耶穌
[00:01:07.300 --> 00:01:09.600]  我們這樣禱告奉主耶穌名求
[00:01:09.600 --> 00:01:10.400]  阿門
[00:01:10.400 --> 00:01:13.900]  讓我們一起多讀這兩節
[00:01:13.900 --> 00:01:18.700]  這兩節經文就是
[00:01:18.700 --> 00:01:21.700]  提摩太後書四章七至八節
[00:01:21.700 --> 00:01:24.200]  讓我們一起祈禱
[00:01:24.200 --> 00:01:25.500]  當我們讀神的話語的時候
[00:01:25.500 --> 00:01:27.900]  我們就大大聲
[00:01:27.900 --> 00:01:29.300]  鏗鏘有力的來讀
[00:01:29.300 --> 00:01:30.400]  預備起
[00:01:30.400 --> 00:01:33.500]  那美好的象我已經打過了
[00:01:33.500 --> 00:01:36.500]  當跑的路我已經跑盡了
[00:01:36.500 --> 00:01:39.500]  所信的道我已經守住了
[00:01:39.500 --> 00:01:43.900]  從此以後有公義的冠冕為我傳流
[00:01:43.900 --> 00:01:47.000]  就是按著公義審判的主
[00:01:47.000 --> 00:01:49.800]  到了那日要賜給我的
[00:01:49.800 --> 00:01:51.400]  不但賜給我
[00:01:51.400 --> 00:01:55.000]  也賜給凡愛無他顯然的人
[00:01:55.000 --> 00:01:56.100]  多謝大家
[00:02:17.000 --> 00:02:21.800]  我們有幾個完成式的詞
[00:02:21.800 --> 00:02:24.300]  就是打過了
[00:02:24.300 --> 00:02:26.100]  跑盡了
[00:02:26.100 --> 00:02:27.300]  守住了
[00:02:27.300 --> 00:02:29.100]  完成了
[00:02:29.100 --> 00:02:31.600]  保羅當他講這番說話的時候
[00:02:31.600 --> 00:02:33.900]  不是只有講字
[00:02:33.900 --> 00:02:35.900]  不是期待
[00:02:35.900 --> 00:02:38.200]  是他已經在他的生命裏面
[00:02:38.200 --> 00:02:40.100]  他已經是完成了
[00:02:40.100 --> 00:02:42.200]  這個美好的象已經打過了
[00:02:42.200 --> 00:02:44.200]  當跑的路已經跑盡了
[00:02:44.200 --> 00:02:46.900]  所信的道已經守住
[00:02:46.900 --> 00:02:53.500]  是一個生命的面來
[00:02:53.500 --> 00:02:58.300]  我們看看那美好的象
[00:02:58.300 --> 00:03:00.700]  打那美好的象
[00:03:00.700 --> 00:03:03.700]  這個象有兩個意思
[00:03:03.700 --> 00:03:07.300]  第一個意思是為真理而戰
[00:03:07.300 --> 00:03:11.500]  他寫給提摩太的時候是這樣講的
[00:03:11.500 --> 00:03:13.900]  在提前六章十二節這樣講
[00:03:13.900 --> 00:03:17.300]  你要為真道打那美好的象
[00:03:17.300 --> 00:03:18.800]  此定永生
[00:03:18.800 --> 00:03:20.600]  你為此被召
[00:03:20.600 --> 00:03:23.100]  也在許多見證人面前
[00:03:23.100 --> 00:03:27.000]  已經作了那美好的見證
[00:03:27.000 --> 00:03:29.900]  保羅在他的傳遞裏面
