
[00:00:00.000 --> 00:00:01.500]  親愛的弟兄姊妹
[00:00:01.500 --> 00:00:04.500]  我願意今天講一個比較實在一點的問題
[00:00:04.500 --> 00:00:08.500]  我們平常在講道的時候會談到家裏面有什麼事情
[00:00:08.500 --> 00:00:11.500]  而且小孩子有什麼的事情
[00:00:11.500 --> 00:00:14.000]  我希望今天是這周
[00:00:14.000 --> 00:00:17.500]  談到教會生活裏面的三個危機
[00:00:17.500 --> 00:00:21.000]  來看到神要在危機的當中
[00:00:21.000 --> 00:00:25.500]  如何來教導我們學習祂自己的道理
[00:00:25.500 --> 00:00:28.500]  爲什麼要談教會
[00:00:28.500 --> 00:00:31.500]  是因爲教會是神
[00:00:31.500 --> 00:00:34.500]  從墮落的人類當中
[00:00:34.500 --> 00:00:38.500]  挽回建造了一個新的成長
[00:00:38.500 --> 00:00:40.500]  所以初代的教會
[00:00:40.500 --> 00:00:43.000]  特別在《死亡行政》裏面記載出
[00:00:43.000 --> 00:00:46.500]  一個的教會是充滿着生命
[00:00:46.500 --> 00:00:50.500]  也同時充滿着許多許多的困難
[00:00:50.500 --> 00:00:55.500]  初代教會所面臨的事情也是我們現代面臨的事情
[00:00:55.500 --> 00:00:58.500]  有些人說我也不是在教會上出入的
[00:00:58.500 --> 00:00:59.500]  跟我有什麼關係
[00:00:59.500 --> 00:01:00.500]  不是
[00:01:00.500 --> 00:01:02.500]  當你有了教會生活
[00:01:02.500 --> 00:01:06.500]  你就知道教會生活的很小的部分
[00:01:06.500 --> 00:01:08.500]  正在影響你們的家庭
[00:01:08.500 --> 00:01:11.500]  正在修造你們的世界
[00:01:11.500 --> 00:01:14.500]  所以今天讓我們作爲神教的朋友
[00:01:14.500 --> 00:01:16.500]  我們看見教會所面對的
[00:01:16.500 --> 00:01:19.500]  種種的不一樣的問題
[00:01:19.500 --> 00:01:21.500]  不一樣的難處
[00:01:21.500 --> 00:01:23.500]  我們更曉得在難處的當中
[00:01:23.500 --> 00:01:25.500]  觸摸神的心意
[00:01:25.500 --> 00:01:30.500]  並且我們齊心的來榮耀祂
[00:01:30.500 --> 00:01:34.500]  在《死亡行政》28章的裏面
[00:01:34.500 --> 00:01:37.500]  前面的15章
[00:01:37.500 --> 00:01:40.500]  講到三個教會的危機
[00:01:40.500 --> 00:01:42.500]  其實每個教會都有
[00:01:42.500 --> 00:01:44.500]  不是小的教會
[00:01:44.500 --> 00:01:45.500]  就沒有大的教會纔有
[00:01:45.500 --> 00:01:47.500]  而且是大的教會
[00:01:47.500 --> 00:01:49.500]  沒有小的教會纔有
[00:01:49.500 --> 00:01:52.500]  其實這三個危機是常出現的
[00:01:52.500 --> 00:01:54.500]  我希望通過這三個危機
[00:01:54.500 --> 00:01:56.500]  看見神的動功
[00:01:56.500 --> 00:02:00.500]  來鼓勵大家如何面對我們個人的危機
[00:02:00.500 --> 00:02:03.500]  我們如何得着神賜的話語
[00:02:03.500 --> 00:02:06.500]  也應做神的代理
[00:02:06.500 --> 00:02:08.500]  改變我們的一生
[00:02:08.500 --> 00:02:13.500]  在剛纔主席有念過的經文
[00:02:13.500 --> 00:02:17.500]  《死亡行政》第6章1到7節裏面
[00:02:17.500 --> 00:02:21.500]  記載教會的第一個危機
[00:02:21.500 --> 00:02:24.500]  這個叫做世公的危機
[00:02:24.500 --> 00:02:27.500]  爲什麼在那個時候有世公的危機
[00:02:27.500 --> 00:02:32.500]  是因爲神的話語活潑地在當中作動
[00:02:32.500 --> 00:02:37.500]  有些時候問題來不是因爲有什麼壞的東西
[00:02:37.500 --> 00:02:41.500]  有些危機是因爲神在當中做了大事
[00:02:41.500 --> 00:02:43.500]  透過祂改變我們的人生
[00:02:43.500 --> 00:02:45.500]  我們的方向
[00:02:45.500 --> 00:02:46.500]  我們的面貌
[00:02:46.500 --> 00:02:52.500]  以致我們開始發現在氛圍的環境當中也會帶動優秀人員
[00:02:52.500 --> 00:02:54.500]  當一個人願意愛慕主
[00:02:54.500 --> 00:03:00.500]  他說我不要再看這個Cable TV
[00:03:00.500 --> 00:03:02.500]  這個是個大的改動
[00:03:02.500 --> 00:03:03.500]  他才說不行
[00:03:03.500 --> 00:03:04.500]  我常常就看
[00:03:04.500 --> 00:03:05.500]  他說不要
[00:03:05.500 --> 00:03:07.500]  其實這個是好的改動
[00:03:07.500 --> 00:03:11.500]  當時兒子跟你說我要去CBN面
[00:03:11.500 --> 00:03:13.500]  因爲我要在當中學習神的話語
[00:03:13.500 --> 00:03:15.500]  你跟他說不要去
[00:03:15.500 --> 00:03:16.500]  因爲我已經答應你去的vacation
[00:03:16.500 --> 00:03:17.500]  兩個禮拜
[00:03:17.500 --> 00:03:18.500]  不要去嘛
[00:03:18.500 --> 00:03:21.500]  其實他提出來的是個好的改動
[00:03:21.500 --> 00:03:23.500]  說西教會爲什麼有這種危機
[00:03:23.500 --> 00:03:27.500]  大家曉得第六章第一節有人發怨言
[00:03:27.500 --> 00:03:28.500]  那麼怨言從何而來
[00:03:28.500 --> 00:03:30.500]  大家看到經文就曉得
[00:03:30.500 --> 00:03:34.500]  當中有說西班話的猶太人
[00:03:34.500 --> 00:03:40.500]  向做當地的猶太人講西班牙語的人發的怨言
[00:03:40.500 --> 00:03:45.500]  是因爲他們說在供應給寡婦的事項
[00:03:45.500 --> 00:03:47.500]  有一些地方需求的平衡
[00:03:47.500 --> 00:03:49.500]  活躍的他們所需要的
[00:03:49.500 --> 00:03:53.500]  大家曉得當中講的這個事實是真的
[00:03:53.500 --> 00:03:55.500]  爲什麼有這個情況
[00:03:55.500 --> 00:03:57.500]  是因爲神的大能
[00:03:57.500 --> 00:03:59.500]  這種聖靈感動了許多人
[00:03:59.500 --> 00:04:02.500]  歸在教會的社會里面
[00:04:02.500 --> 00:04:06.500]  以前堅信的寡婦是在聖所的當中
[00:04:06.500 --> 00:04:09.500]  接受了聖所當中的人
[00:04:09.500 --> 00:04:11.500]  包括祭祀當中的教會
[00:04:11.500 --> 00:04:14.500]  但是因着神大能的工作
[00:04:14.500 --> 00:04:18.500]  有三千人有五千人歸在教會里面
[00:04:18.500 --> 00:04:20.500]  一下子一個一百二十人的教會
[00:04:20.500 --> 00:04:22.500]  要接待五千人
[00:04:22.500 --> 00:04:24.500]  你看問題可大了
[00:04:24.500 --> 00:04:26.500]  有沒有問題絕對有問題
[00:04:26.500 --> 00:04:30.500]  這些信主的這些的寡婦們進到教會里面
[00:04:30.500 --> 00:04:34.500]  他們在想過去有這個會堂
[00:04:34.500 --> 00:04:38.500]  或者是有聖主當中的這些人來幫助我們
[00:04:38.500 --> 00:04:40.500]  現在怎麼樣
[00:04:40.500 --> 00:04:42.500]  以前在聖所的當中聚會
[00:04:42.500 --> 00:04:45.500]  所以事情都好辦好辦
[00:04:45.500 --> 00:04:47.500]  煮大鍋飯大家一起可以享受
[00:04:47.500 --> 00:04:49.500]  現在開始聚會的時候
[00:04:49.500 --> 00:04:51.500]  在家裏面不然就把二十個人
[00:04:51.500 --> 00:04:53.500]  十五個人二十個人怎麼樣辦
[00:04:53.500 --> 00:04:55.500]  沒辦法處理
[00:04:55.500 --> 00:04:57.500]  所以就產生了難處
[00:04:57.500 --> 00:04:59.500]  其實這些難處的源頭
[00:04:59.500 --> 00:05:01.500]  經爲神活躍的工作
[00:05:01.500 --> 00:05:03.500]  現在就像怎麼樣
[00:05:03.500 --> 00:05:05.500]  若是你知道在一個今後當中
[00:05:05.500 --> 00:05:09.500]  做更變更改的工作是多困難的時候
[00:05:09.500 --> 00:05:13.500]  你就曉得在教會面臨改變的時候也是一樣
[00:05:13.500 --> 00:05:15.500]  但是我給大家帶來一種鼓勵
[00:05:15.500 --> 00:05:19.500]  往往在神活潑的道路當中
[00:05:19.500 --> 00:05:21.500]  在神跨越經路的人
[00:05:21.500 --> 00:05:25.500]  我們的心田願意接受的時候就有改變
[00:05:25.500 --> 00:05:27.500]  所以不要怕接種的危機
[00:05:27.500 --> 00:05:30.500]  接種的危機的確是世宮的危機
