
[00:00:00.000 --> 00:00:05.740]  在日常生活中,不知道大家對於真實有多高的要求
[00:00:05.740 --> 00:00:11.000]  在生活中,有什麼是假的和不行的,要的是真實的
[00:00:11.000 --> 00:00:17.000]  其實在日常生活中,看廣告的時候,往往都會有很大的距離
[00:00:17.000 --> 00:00:23.500]  對於這些方面的事實,我們都見怪不怪
[00:00:23.500 --> 00:00:28.500]  例如你看到廣告,說這個漢堡包好像很美味,很漂亮
[00:00:28.500 --> 00:00:34.500]  但事實往往就是這樣,變了樣子
[00:00:34.500 --> 00:00:40.500]  很多時候我們去餐室吃東西,有些菜單是用圖片點菜的
[00:00:40.500 --> 00:00:48.500]  圖片只供參考而已,通常都不會一樣的,拍出來的未必是真實的
[00:00:48.500 --> 00:00:52.500]  這些事情我們都好像習慣了,沒什麼所謂
[00:00:52.500 --> 00:00:56.500]  這些真不真都已經預料到是這樣的情況
[00:00:56.500 --> 00:01:02.500]  剛剛昨天聽新聞,看到MIRROR演唱會的事故
[00:01:02.500 --> 00:01:08.500]  新聞就說,涉嫌有人欺詐、虛報資料,引致意外發生
[00:01:08.500 --> 00:01:14.500]  關乎人命傷亡的事,真假非常重要
[00:01:14.500 --> 00:01:20.500]  據新聞說,有關負責單位呈交康文署的樁紙出現虛報
[00:01:20.500 --> 00:01:26.500]  差距非常大,有6個LED屏幕實際重9000多磅
[00:01:26.500 --> 00:01:31.500]  機構申報只是3600磅,相差1.7倍
[00:01:31.500 --> 00:01:39.500]  燈光支架重5000多磅,但機構申報是1080磅,相差3.8倍
[00:01:39.500 --> 00:01:46.500]  雷射燈支架連裝置756磅,但機構申報只有200磅
[00:01:46.500 --> 00:01:56.500]  其中最大是八爪喇叭,總重12240磅,但機構說重1600磅
[00:01:56.500 --> 00:02:02.500]  重量超過申報的7倍
[00:02:02.500 --> 00:02:10.500]  整體裝置重量超過申報的4倍多
[00:02:10.500 --> 00:02:16.500]  相信香港市民也希望政府當局能夠查明這件事
[00:02:16.500 --> 00:02:21.500]  還受傷或受意外影響的人士一個公道
[00:02:21.500 --> 00:02:26.500]  也要避免同樣的事情再發生
[00:02:26.500 --> 00:02:32.500]  在教會的生活當中,在弟兄姊妹的相處中
[00:02:32.500 --> 00:02:36.500]  我們可否容得下虛假呢?
[00:02:36.500 --> 00:02:41.500]  跟弟兄姊妹相交,你會否說沒所謂,好像吃過漢堡包
[00:02:41.500 --> 00:02:45.500]  她不是真的表達那樣,我也接受
[00:02:45.500 --> 00:02:48.500]  還是你還是有些要求
[00:02:48.500 --> 00:02:52.500]  今天我講的是不給魔鬼留地步
[00:02:52.500 --> 00:02:57.500]  魔鬼,這兩個字的意思,即是一個造謠者,講大話的人
[00:02:57.500 --> 00:03:01.500]  還有鬼詐者的意思,即是專門騙人
[00:03:01.500 --> 00:03:06.500]  他是說謊之人的父,在約翰福音8章44節說到
