
[00:00:00.000 --> 00:00:03.200]  感謝高職時抗禮的獻唱客
[00:00:03.200 --> 00:00:06.560]  讓我們知道師篇25篇去提醒我們
[00:00:06.560 --> 00:00:09.920]  我們只順靠耶和華
[00:00:09.920 --> 00:00:11.840]  祂是我們的保障
[00:00:11.840 --> 00:00:14.320]  雖然現在面前好像有很多東西不明白
[00:00:14.320 --> 00:00:17.760]  很紛亂 很黑暗 好像很絕望
[00:00:17.760 --> 00:00:21.600]  但我們深信只需要去順靠上主
[00:00:21.600 --> 00:00:25.840]  祂會帶領我們一步一步的離開困境
[00:00:25.840 --> 00:00:27.440]  游到出路
[00:00:27.440 --> 00:00:32.800]  讓我們同心祈禱
[00:00:32.800 --> 00:00:34.560]  真主 我們感謝祢
[00:00:34.560 --> 00:00:36.880]  是祢的吸引 是祢的呼喚
[00:00:36.880 --> 00:00:41.120]  以致我們能夠去撥出這段時間
[00:00:41.120 --> 00:00:44.320]  來到祢的面前去崇敬祢
[00:00:44.320 --> 00:00:45.920]  我們懇求聖靈
[00:00:45.920 --> 00:00:48.000]  祢進入我們的心裡面
[00:00:48.000 --> 00:00:49.680]  讓我們有悟性
[00:00:49.680 --> 00:00:53.280]  以致能夠明白祢懷疑中國的奧秘
[00:00:53.280 --> 00:00:56.480]  更加讓祢吸引我們
[00:00:56.480 --> 00:00:58.160]  以致我們就像經文所說
[00:00:58.160 --> 00:01:00.240]  我們會快跑跟隨祢
[00:01:00.240 --> 00:01:02.400]  讓我們有渴望祢懷疑的心
[00:01:02.400 --> 00:01:04.160]  我們願意去學習
[00:01:04.160 --> 00:01:05.760]  並且行出來
[00:01:05.760 --> 00:01:07.600]  並且去傳揚祢的福音
[00:01:07.600 --> 00:01:09.280]  讓眾人都和我們一樣
[00:01:09.280 --> 00:01:11.280]  去得夢福音的好處
[00:01:11.280 --> 00:01:14.720]  有願聽的和說的都同蒙祢的月立
[00:01:14.720 --> 00:01:17.120]  祈禱奉主耶穌基督的名而求
[00:01:17.120 --> 00:01:18.240]  阿們
[00:01:18.240 --> 00:01:23.760]  這段時間都跟大家分享保羅的書信
[00:01:23.760 --> 00:01:26.480]  第一個主一的時候
[00:01:26.480 --> 00:01:28.000]  黃宣教師跟大家分享
[00:01:28.000 --> 00:01:30.640]  提摩太后書的一章和二章
[00:01:30.640 --> 00:01:33.600]  來到我的時候就跟大家分享
[00:01:33.600 --> 00:01:39.600]  提摩太后書的三章和四章的部分經節
[00:01:39.600 --> 00:01:41.760]  提摩太后書都告訴我們
[00:01:41.760 --> 00:01:46.400]  其實保羅寫給提摩太她有一個目的
[00:01:46.400 --> 00:01:50.400]  特別是在四章六節的經文告訴我們
[00:01:50.400 --> 00:01:56.240]  因為保羅知道她就快要離開這個世界
[00:01:56.240 --> 00:01:58.000]  要死了
[00:01:58.000 --> 00:02:00.880]  所以他很希望在這個最後的時刻
[00:02:00.880 --> 00:02:03.760]  去將一些祝福的說話
[00:02:03.760 --> 00:02:07.680]  去告訴他的徒弟提摩太
[00:02:07.680 --> 00:02:09.680]  為甚麼保羅會死
[00:02:09.680 --> 00:02:11.680]  他不是患了絕症
[00:02:11.680 --> 00:02:16.480]  而是他現在正是坐在監牢的裏面
[00:02:16.480 --> 00:02:18.400]  為甚麼他會坐監
[00:02:18.400 --> 00:02:20.720]  因為他傳人福音
[00:02:20.720 --> 00:02:25.200]  當時是一個罪來的
[00:02:25.200 --> 00:02:27.680]  傳福音做基督徒是一個罪來的
[00:02:27.680 --> 00:02:30.000]  保羅仍然繼續地傳
[00:02:30.000 --> 00:02:34.240]  仍然繼續地到處將這個福音傳揚
[00:02:34.240 --> 00:02:36.880]  以至他知道他的大限都到了
[00:02:36.880 --> 00:02:40.640]  他要接受這個法律的制裁
[00:02:40.640 --> 00:02:44.800]  他將會被問調
[00:02:44.800 --> 00:02:50.320]  於是他捉緊這個機會跟提摩太分享他的心聲
[00:02:50.320 --> 00:02:52.000]  提摩太是誰來的呢
[00:02:52.000 --> 00:02:55.600]  提摩太就是保羅的徒弟
[00:02:55.600 --> 00:03:00.160]  他本身的父母不是全部是猶太人
[00:03:00.160 --> 00:03:01.680]  父母是希臘人
[00:03:01.680 --> 00:03:04.160]  母親是猶太人
[00:03:04.160 --> 00:03:09.120]  在那個年代他嫁了一個不是猶太人的丈夫
[00:03:09.120 --> 00:03:17.440]  所以他們的母親和婆婆就要從猶太人的傳統裏切割出來
[00:03:17.440 --> 00:03:20.400]  所以提摩太在他出生的第八天
[00:03:20.400 --> 00:03:25.280]  不像其他猶太的男丁就要進行這個割禮
[00:03:25.280 --> 00:03:29.680]  所以當他遇到保羅後他信任他的孩子
[00:03:29.680 --> 00:03:31.840]  保羅要帶他去傳道的時候
[00:03:31.840 --> 00:03:35.760]  都首先幫他做了這個割禮
[00:03:35.760 --> 00:03:40.880]  而我們相信提摩太的父親很早就離開這個世界
[00:03:40.880 --> 00:03:44.400]  所以他們有機會接觸這個福音
[00:03:44.400 --> 00:03:49.040]  雖然現在母親要從他們的傳統裏切割出來
[00:03:49.040 --> 00:03:56.160]  但母親和提摩太的外婆都要捉緊這個機會
[00:03:56.160 --> 00:04:02.400]  將他們最好的這個舊約聖經的教導
[00:04:02.400 --> 00:04:06.160]  從小都去教導提摩太
[00:04:06.160 --> 00:04:13.840]  以致提摩太從小都去明白聖經教訓的道理
[00:04:13.840 --> 00:04:16.800]  提摩太后書今日跟大家分享的經文
[00:04:16.800 --> 00:04:22.320]  就是提摩太后書的三章十四節
[00:04:22.320 --> 00:04:25.680]  整段經文的重心告訴我們甚麼呢
[00:04:25.680 --> 00:04:28.640]  它告訴我們聖經很重要
[00:04:28.640 --> 00:04:32.480]  如果你從小就回教會主一學
[00:04:32.480 --> 00:04:36.960]  可能那段三一十六節的經文你會背
[00:04:36.960 --> 00:04:38.880]  聖經怎樣重要呢
[00:04:38.880 --> 00:04:43.360]  它除了告訴我們這本這麼厚的書
[00:04:43.360 --> 00:04:46.880]  它是經歷四十多位的作者
[00:04:46.880 --> 00:04:49.520]  他們有不同的階層不同的背景
[00:04:49.520 --> 00:04:54.080]  經過一千六百年這麼長的時間寫成
[00:04:54.080 --> 00:04:57.280]  不過它裏面都是一個主題
[00:04:57.280 --> 00:05:01.840]  主題告訴我們就是上帝想跟祂的兒女
[00:05:01.840 --> 00:05:05.280]  去恢復失落的關係
[00:05:05.280 --> 00:05:06.640]  這個關係為甚麼會失落呢
[00:05:06.640 --> 00:05:09.920]  就好像KK園那樣
[00:05:09.920 --> 00:05:13.920]  我們都是被撒旦擄掠了去
[00:05:13.920 --> 00:05:16.480]  擄掠了去這個地方要贖金
[00:05:16.480 --> 00:05:18.080]  贖回來
[00:05:18.080 --> 00:05:19.360]  上帝給了贖金
[00:05:19.360 --> 00:05:24.400]  就是祂的兒子在十價上面受死
[00:05:24.400 --> 00:05:28.400]  但是要離開這個KK園就不是祂走來教我們就行
[00:05:28.400 --> 00:05:34.880]  要我們願意離開這個被綁架的狀況才行
[00:05:34.880 --> 00:05:37.920]  不過這個世界給了太多好處給我們
[00:05:37.920 --> 00:05:39.120]  我們在這個KK園
[00:05:39.120 --> 00:05:42.160]  不像現實的KK園是你想走的
[00:05:42.160 --> 00:05:44.720]  而是好吃好住
[00:05:44.720 --> 00:05:45.920]  很開心
[00:05:45.920 --> 00:05:50.480]  所以不是那麼多人願意離開祂的狀況
[00:05:50.480 --> 00:05:53.200]  去跟上帝恢復那個關係
[00:05:53.200 --> 00:05:56.240]  所以整本聖經都是不斷是上帝告訴我們
[00:05:56.240 --> 00:05:59.120]  祂是一個怎樣的上帝
[00:05:59.120 --> 00:06:01.920]  祂很想跟我們恢復這個關係
[00:06:01.920 --> 00:06:04.400]  在這段經文裏面更加告訴我們
[00:06:04.400 --> 00:06:08.240]  聖經指出和告訴我們
[00:06:08.240 --> 00:06:10.960]  甚麼是真理
[00:06:10.960 --> 00:06:13.680]  另外指出這個世界
[00:06:13.680 --> 00:06:17.520]  走向一個錯誤和叛逆的地方在哪裏
[00:06:17.520 --> 00:06:20.640]  更加是糾正我們每一個願意看聖經的人
[00:06:20.640 --> 00:06:23.120]  在我們生命裏面有甚麼地方
[00:06:23.120 --> 00:06:25.360]  我們需要去改正
[00:06:25.360 --> 00:06:29.280]  並且能夠指示我們怎樣可以去過美滿的生活
[00:06:29.280 --> 00:06:33.680]  和人見到一個好的關係的一些秘訣
[00:06:33.680 --> 00:06:36.560]  除了這個告訴我們聖經有重要之外
[00:06:36.560 --> 00:06:38.880]  今天的經文裏面是告訴我們
[00:06:38.880 --> 00:06:41.520]  第二樣的東西就是甚麼呢
[00:06:41.520 --> 00:06:45.600]  就是我們要去傳道
[00:06:45.600 --> 00:06:47.760]  保羅沒有騙提摩泰
[00:06:47.760 --> 00:06:49.200]  他叫他去傳道
[00:06:49.200 --> 00:06:50.960]  並且很坦白地告訴我們
[00:06:50.960 --> 00:06:54.240]  傳道有一定的困難
[00:06:54.240 --> 00:06:57.520]  因為那些人不喜歡聽
