
[00:00:00.000 --> 00:00:07.500]  在信仰的路上,我們從未信到現在已經或長或短的時間
[00:00:07.500 --> 00:00:11.800]  我們都經歷過不少的神蹟
[00:00:11.800 --> 00:00:16.400]  可能有些人你祈禱,神聽你祈禱
[00:00:16.400 --> 00:00:19.200]  可能你遇到某個困難
[00:00:19.200 --> 00:00:24.600]  你呼求神,神為你開路
[00:00:24.600 --> 00:00:30.600]  或者不是你自己,可能是你的親人,你的家庭,你的朋友
[00:00:30.600 --> 00:00:34.200]  或者發生在你身邊,你熟悉的人身上
[00:00:34.200 --> 00:00:37.600]  神蹟其實時時都會發生
[00:00:37.600 --> 00:00:41.900]  不要說你能夠信耶穌,這是不是神蹟
[00:00:41.900 --> 00:00:44.700]  對很多人來說,我能夠信耶穌
[00:00:44.700 --> 00:00:48.800]  很真心真意地歸住,其實這也是一個神蹟
[00:00:48.800 --> 00:00:54.600]  今早起床,你的命還在,這也是一個神蹟
[00:00:54.600 --> 00:01:01.400]  我覺得不同層次,不同層面的神蹟都會發生在我們生命裏面
[00:01:01.400 --> 00:01:07.600]  神蹟帶給我們興奮,帶給我們驚訝,帶給我們喜悅
[00:01:07.600 --> 00:01:12.400]  帶給我們對神的讚歎
[00:01:12.400 --> 00:01:14.700]  神蹟之後怎樣呢?
[00:01:14.700 --> 00:01:16.700]  這個問題其實我很少想
[00:01:16.700 --> 00:01:19.700]  不過預備這次講章的時候,這篇經文
[00:01:19.700 --> 00:01:21.700]  我就想到這個問題
[00:01:21.700 --> 00:01:25.700]  因為這篇經文正正就是說這件事
[00:01:25.700 --> 00:01:31.500]  就是說在耶穌的生平裏面,祂做了很多神蹟
[00:01:31.500 --> 00:01:35.500]  我們看到很多,前面一直記載著,一個一個
[00:01:35.500 --> 00:01:38.500]  接著都會發生的,一些神蹟
[00:01:38.500 --> 00:01:43.500]  但是過後,如果我們生命裏面發生了一件神蹟
[00:01:43.500 --> 00:01:46.300]  是神做在我們身上的,經歷了祂的大能
[00:01:46.300 --> 00:01:50.300]  之後,那又怎樣呢?
[00:01:50.300 --> 00:01:52.800]  我們今天看看這段經文好不好?
[00:01:52.800 --> 00:01:57.300]  路加夫音第十一章,第十四節到三十六節
[00:01:57.300 --> 00:02:01.300]  這個段落其實都有點零零碎碎
[00:02:01.300 --> 00:02:04.300]  就這樣讀下去,幾個小段落的構成
[00:02:04.300 --> 00:02:08.300]  不過它的起始是一個趕鬼的神蹟
[00:02:08.300 --> 00:02:12.300]  就開始,說一個人啞巴鬼附著
[00:02:12.300 --> 00:02:16.300]  耶穌把那個鬼趕走了,那個人開了聲
[00:02:16.300 --> 00:02:19.300]  然後那些人就稀奇了,那些人就很驚訝
[00:02:19.300 --> 00:02:24.300]  你會發覺,由一個神蹟,趕鬼的神蹟開始這個段落
[00:02:24.300 --> 00:02:28.300]  但是你會發覺這個神蹟的記載是很簡略的
[00:02:28.300 --> 00:02:34.300]  很短,它沒有說這個是什麼人,沒有說他怎麼來
[00:02:34.300 --> 00:02:39.300]  沒有形容那個人被這個啞巴鬼附著是怎麼樣
[00:02:39.300 --> 00:02:42.300]  也沒有說耶穌怎麼做,做些什麼,說些什麼
[00:02:42.300 --> 00:02:44.300]  有沒有摸他,什麼都沒有說
[00:02:44.300 --> 00:02:48.300]  很簡單地說,這個人的鬼走了,那個人開了聲
[00:02:48.300 --> 00:02:51.300]  那些人就稀奇了,停止了
[00:02:51.300 --> 00:02:54.300]  接著下面,它就帶出了兩個問題
[00:02:54.300 --> 00:02:56.300]  兩個人對耶穌的挑戰
[00:02:56.300 --> 00:03:00.300]  說他是靠著啞巴鬼王趕鬼
[00:03:00.300 --> 00:03:04.300]  第二個就刺探他,神蹟多點吧
[00:03:04.300 --> 00:03:07.300]  所以耶穌就開始教導了
[00:03:07.300 --> 00:03:13.300]  其實這段經文是由一個神蹟引我們去想
[00:03:13.300 --> 00:03:16.300]  發生了一個神蹟,眾人看到了
[00:03:16.300 --> 00:03:21.300]  然後耶穌想藉這個神蹟去作出一些之後的
[00:03:21.300 --> 00:03:23.300]  我們要怎麼回應
[00:03:23.300 --> 00:03:27.300]  他反而不是著重這個神蹟本身的內容
[00:03:27.300 --> 00:03:29.300]  而是我們怎麼看這個神蹟
[00:03:29.300 --> 00:03:32.300]  帶給我們的影響和反省
[00:03:32.300 --> 00:03:35.300]  神蹟之後,我們應該怎樣呢
[00:03:35.300 --> 00:03:38.300]  他問了兩個問題,即是那些人問了兩個問題
[00:03:38.300 --> 00:03:41.300]  第一個就是挑戰耶穌,誣衊他
