
[00:00:00.000 --> 00:00:03.080]  在生命記第25章5到10節
[00:00:03.080 --> 00:00:05.420]  他說那是「脫鞋之家」
[00:00:05.420 --> 00:00:10.240]  那「脫鞋子」到底是什麼意思呢?
[00:00:10.240 --> 00:00:15.100]  它的意思是說你放棄你的權利
[00:00:15.100 --> 00:00:19.460]  你該要的你不要,該得的你不得
[00:00:19.460 --> 00:00:22.020]  你的權利你寧可放棄它
[00:00:22.020 --> 00:00:25.600]  另外,脫下你的鞋子
[00:00:25.600 --> 00:00:31.240]  一表分別為「勝」,還有脫下你的鞋子
[00:00:31.240 --> 00:00:34.060]  就是你交出你的主權
[00:00:34.060 --> 00:00:37.120]  然後我們看結論是說
[00:00:37.120 --> 00:00:39.920]  奴隸都不穿鞋子了,不是嗎?
[00:00:39.920 --> 00:00:40.960]  哈利路亞!
[00:00:40.960 --> 00:00:44.800]  所以讓我們來看看這是怎麼講的
[00:00:44.800 --> 00:00:49.160]  我們都很清楚什麼叫「脫去救人」
[00:00:49.160 --> 00:00:51.200]  「穿上新人」
[00:00:51.200 --> 00:00:55.560]  但是對於「脫鞋」、「脫下鞋子」的話
[00:00:55.560 --> 00:00:57.600]  我們就不太清楚
[00:00:57.600 --> 00:01:01.700]  在生命記第25章
[00:01:01.700 --> 00:01:03.240]  我們先起來唸
[00:01:03.240 --> 00:01:06.820]  請弟兄同居
[00:01:06.820 --> 00:01:10.160]  若死了一個沒有兒子
[00:01:10.160 --> 00:01:14.240]  死人的妻不可出嫁外人
[00:01:14.240 --> 00:01:18.340]  她丈夫的兄弟當盡弟兄的本分
[00:01:18.340 --> 00:01:21.680]  娶她為妻,與她同房
[00:01:21.680 --> 00:01:26.040]  夫人生的長子必歸死兄的名下
[00:01:26.040 --> 00:01:30.120]  免得他的名在以色列中塗抹了
[00:01:30.120 --> 00:01:34.220]  那人若不願意娶她哥哥的妻
[00:01:34.220 --> 00:01:38.840]  她哥哥的妻就要到城門長老那裡說
[00:01:38.840 --> 00:01:40.620]  我丈夫的兄弟
[00:01:40.620 --> 00:01:45.240]  不肯在以色列中興起她哥哥的名字
[00:01:45.240 --> 00:01:48.560]  不給我盡弟兄的本分
