
[00:00:00.000 --> 00:00:04.100]  各位電影姐妹們 平安
[00:00:04.100 --> 00:00:07.960]  因著Omicron變種病毒的爆發
[00:00:07.960 --> 00:00:10.800]  掀起香港第五波的疫情
[00:00:10.800 --> 00:00:16.100]  早前香港政府宣佈收緊社交距離的措施
[00:00:16.100 --> 00:00:18.960]  由2月10日到23日
[00:00:18.960 --> 00:00:23.880]  宗教場所需要關閉 教會暫停開放
[00:00:23.880 --> 00:00:27.620]  我們教會的同工都可以回來教會工作
[00:00:27.620 --> 00:00:32.920]  但也有編排農友在家中工作
[00:00:32.920 --> 00:00:36.860]  以減低人群接觸感染的風險
[00:00:36.860 --> 00:00:40.200]  回顧這兩年的時間 這個疫情
[00:00:40.200 --> 00:00:45.520]  讓教會的生活有很多和有很大的變化
[00:00:45.520 --> 00:00:50.400]  我們的崇拜、團契、小組 甚至會議
[00:00:50.400 --> 00:00:55.200]  就由實體聚會改變為網上的進行
[00:00:55.200 --> 00:00:58.480]  我們要對電腦、網絡、一些通訊工具
[00:00:58.480 --> 00:01:03.240]  要多些學習、多些了解、多些操作
[00:01:03.240 --> 00:01:07.280]  我們亦不能在教會裏聚餐
[00:01:07.280 --> 00:01:10.840]  過去在屈福堂裏曾經完了崇拜
[00:01:10.840 --> 00:01:12.540]  都是很偉大的場面
[00:01:12.540 --> 00:01:16.300]  大家都會在教會裏聚餐
[00:01:16.300 --> 00:01:20.920]  亦有很多外展的事工工作似乎受到限制
[00:01:20.920 --> 00:01:25.360]  一些關外探訪隊不能夠去到工場支援
[00:01:25.360 --> 00:01:29.680]  這些都是我們在這兩年裏所學習
[00:01:29.680 --> 00:01:33.060]  要去改變、要去面對的
[00:01:33.060 --> 00:01:33.900]  弟兄姊妹
[00:01:33.900 --> 00:01:37.500]  深信在歷世歷代以來的基督徒
[00:01:37.500 --> 00:01:41.880]  當我們跟隨主、侍奉主的時候
[00:01:41.880 --> 00:01:47.520]  都面對不同時代很多不同的挑戰和改變
[00:01:47.520 --> 00:01:52.600]  來到我們這個年代我們面對疫情和社會的變遷
