
[00:00:00.000 --> 00:00:04.500]  我們的信仰是很多東西都信的
[00:00:04.500 --> 00:00:10.500]  我們會一起說我們相信主
[00:00:10.500 --> 00:00:15.500]  我們會一起說回來敬拜神
[00:00:15.500 --> 00:00:23.000]  但是其實我們不是只是單單信耶穌
[00:00:23.000 --> 00:00:29.000]  因為信仰是一樣很奇特的東西來的
[00:00:30.000 --> 00:00:35.000]  信仰是包含了兩個主要的元素
[00:00:35.000 --> 00:00:39.000]  無論你是信耶穌
[00:00:39.000 --> 00:00:42.000]  信觀音
[00:00:42.000 --> 00:00:45.000]  信其他的宗教信仰
[00:00:45.000 --> 00:00:47.000]  一定有它的道理
[00:00:47.000 --> 00:00:51.000]  也都加上它的經驗
[00:00:51.000 --> 00:00:56.000]  我相信佛教
[00:00:56.000 --> 00:00:59.000]  有佛教的一套道理
[00:01:00.000 --> 00:01:05.000]  同時我會看我經不經驗到佛教裏面所講的道理與我有關
[00:01:05.000 --> 00:01:13.000]  道理和經驗碰撞在一起
[00:01:13.000 --> 00:01:16.000]  道理和經驗碰撞極多的時候
[00:01:16.000 --> 00:01:19.000]  我就會相信
[00:01:19.000 --> 00:01:21.000]  即是說
[00:01:21.000 --> 00:01:24.000]  不一定道理是對的我們就會相信
[00:01:24.000 --> 00:01:27.000]  甚至你信耶穌
[00:01:27.000 --> 00:01:30.000]  裡面可以沒有什麼道理
[00:01:30.000 --> 00:01:34.000]  也可以信耶穌
[00:01:34.000 --> 00:01:39.000]  其實有時候你的經驗是很膚淺的
[00:01:39.000 --> 00:01:44.000]  有少少的迷信
[00:01:44.000 --> 00:01:47.000]  都不出奇
[00:01:47.000 --> 00:01:49.000]  這個就是宗教信仰
[00:01:49.000 --> 00:01:54.000]  尤其當一班同樣宗教信仰的人在一起
[00:01:54.000 --> 00:01:59.000]  互相的感染力就很大
[00:01:59.000 --> 00:02:04.000]  這件事是發生在基督教裏面
[00:02:04.000 --> 00:02:08.000]  也發生在其他的宗教裏面
[00:02:08.000 --> 00:02:13.000]  究竟我們所信的是不是純正的信仰呢?
[00:02:13.000 --> 00:02:19.000]  在耶穌升天之後
[00:02:19.000 --> 00:02:24.000]  其實時間不是很久
[00:02:24.000 --> 00:02:27.000]  已經開始有異端邪說的出現
[00:02:27.000 --> 00:02:33.000]  我們可以在新約很多不同的經文
[00:02:33.000 --> 00:02:35.000]  隱隱約約看到它的出現
[00:02:35.000 --> 00:02:41.000]  其中去到彼得候書
[00:02:41.000 --> 00:02:46.000]  一卷相對後期的新約書卷
[00:02:46.000 --> 00:02:55.000]  就更加是斥責一些假先知在教會裏面所做的事
[00:02:55.000 --> 00:03:02.000]  所以它不是一個異教的信仰
[00:03:02.000 --> 00:03:06.000]  在教會裏面發生
[00:03:06.000 --> 00:03:09.000]  講的話相當不留情面
[00:03:09.000 --> 00:03:13.000]  不如說粗俗
[00:03:13.000 --> 00:03:17.000]  在第22節的比喻那裏
[00:03:17.000 --> 00:03:22.000]  簡直是說狗吐出來的又想去吃
[00:03:22.000 --> 00:03:30.000]  豬洗乾淨又滾到豬坑裏面
[00:03:30.000 --> 00:03:38.000]  這個比喻還要說很適合那班人
[00:03:38.000 --> 00:03:46.000]  還要是那班假先知還在教會裏面
[00:03:46.000 --> 00:03:52.000]  所以看到它說話上相當不留情面
[00:03:52.000 --> 00:03:57.000]  裏面有提到幾方面
[00:03:57.000 --> 00:04:01.000]  究竟什麼是錯了的信仰
[00:04:01.000 --> 00:04:08.000]  今日的時間相當緊湊
[00:04:08.000 --> 00:04:12.000]  我只是將它重點來說
[00:04:12.000 --> 00:04:16.000]  未必可以逐節逐節有很詳細的解釋
[00:04:16.000 --> 00:04:25.000]  在彼得候書的二章第一第二節
[00:04:25.000 --> 00:04:31.000]  一路延伸到整章的經文
[00:04:31.000 --> 00:04:36.000]  都有提到二端有第一個特點
[00:04:36.000 --> 00:04:46.000]  它的思想和哲理有所偏差
[00:04:46.000 --> 00:04:49.000]  於是衍生出來的行為也有偏差
[00:04:49.000 --> 00:04:55.000]  即是說你信錯了耶穌
[00:04:55.000 --> 00:04:58.000]  你的行為又會跟著出問題
[00:04:58.000 --> 00:05:03.000]  如果你認為耶穌主要是保佑你身體健康
[00:05:03.000 --> 00:05:08.000]  其他的靈修不重要
[00:05:08.000 --> 00:05:12.000]  整個基督教信仰最重要就是身體健康
[00:05:12.000 --> 00:05:20.000]  你就會將整個經驗關注在自己的身體狀況
[00:05:20.000 --> 00:05:26.000]  當你很健康的時候
[00:05:26.000 --> 00:05:33.000]  你就會認為自己的靈明很厲害
[00:05:33.000 --> 00:05:35.000]  相反呢
[00:05:35.000 --> 00:05:40.000]  這個上帝究竟靈不靈驗呢
[00:05:40.000 --> 00:05:47.000]  第十七節也是用一些比喻性的說話來說的
[00:05:47.000 --> 00:05:51.000]  說祂是無水的井
[00:05:51.000 --> 00:05:57.000]  說祂是狂風逼出來的霧氣
[00:05:57.000 --> 00:05:59.000]  你很口渴
[00:05:59.000 --> 00:06:01.000]  要找水喝
[00:06:01.000 --> 00:06:06.000]  很想快點來解渴
[00:06:06.000 --> 00:06:10.000]  你去找到一間便利店
[00:06:10.000 --> 00:06:13.000]  想衝進去買一瓶水
[00:06:13.000 --> 00:06:16.000]  雪櫃壞了
[00:06:16.000 --> 00:06:20.000]  去找其他東西喝
[00:06:20.000 --> 00:06:23.000]  他說賣光了
[00:06:23.000 --> 00:06:26.000]  這間是不是便利店
[00:06:26.000 --> 00:06:29.000]  買一瓶水喝都沒有
[00:06:29.000 --> 00:06:32.000]  無水的井
[00:06:32.000 --> 00:06:36.000]  提到他的轟動其實是假的
[00:06:36.000 --> 00:06:42.000]  你以為去到你會得到滋潤
[00:06:42.000 --> 00:06:47.000]  其實用廣東話一句
[00:06:47.000 --> 00:06:49.000]  其實他是無料到的
[00:06:49.000 --> 00:06:58.000]  所以沒有意思
[00:06:58.000 --> 00:07:00.000]  很大期望去到
[00:07:00.000 --> 00:07:06.000]  經不起時間的考驗
[00:07:06.000 --> 00:07:10.000]  他的道理就漂浮了
[00:07:10.000 --> 00:07:17.000]  所以通常義端的道理都未必很持久的
[00:07:17.000 --> 00:07:28.000]  但是我們很難用單一個方向去定義全世界所有的義端
[00:07:28.000 --> 00:07:31.000]  一些相對比較有規模的義端
[00:07:31.000 --> 00:07:34.000]  他的思想系統都相對完整一點
[00:07:34.000 --> 00:07:42.000]  一些行為不是那麼偏激的義端
[00:07:42.000 --> 00:07:44.000]  他的思想也沒有那麼漂忽
[00:07:44.000 --> 00:07:52.000]  第十八十九節
[00:07:52.000 --> 00:08:05.000]  有提到他是用肉身的情慾及邪淫的事去引誘人
[00:08:05.000 --> 00:08:07.000]  而同時第十九節他又說
[00:08:07.000 --> 00:08:23.000]  應許人得到自由其實是敗壞
[00:08:23.000 --> 00:08:28.000]  你等於說控制和放縱
[00:08:28.000 --> 00:08:30.000]  什麼叫控制呢?
[00:08:30.000 --> 00:08:34.000]  請每一個教友回報你每天做的事
[00:08:34.000 --> 00:08:47.000]  請每一個會友必須要這樣這樣去做
[00:08:47.000 --> 00:08:57.000]  請每一個會友必須要忠誠去對教會
[00:08:57.000 --> 00:09:03.000]  這些是屬於思想和宗教上的控制
[00:09:03.000 --> 00:09:05.000]  其實用輕重來看
[00:09:05.000 --> 00:09:09.000]  都很像教會
