
[00:00:00.000 --> 00:00:03.300]  我們讀一段聖經在以賽亞書第五十四章
[00:00:03.300 --> 00:00:06.600]  從第一節我們要讀到第三節
[00:00:06.600 --> 00:00:10.000]  所以說你這不懷孕不生養的要歌唱
[00:00:10.000 --> 00:00:12.900]  你這未曾經過慘淡的要發聲歌唱
[00:00:12.900 --> 00:00:14.000]  揚聲歡呼
[00:00:14.000 --> 00:00:17.200]  因爲沒有丈夫的比有丈夫的兒女更多
[00:00:17.200 --> 00:00:19.200]  這是耶和華說的第二節
[00:00:19.200 --> 00:00:21.300]  要擴張你的丈母之地
[00:00:21.300 --> 00:00:23.200]  張大你居所的曼子
[00:00:23.200 --> 00:00:26.100]  不要限制要放長你的繩子
[00:00:26.100 --> 00:00:27.500]  兼顧你的爵子
[00:00:28.000 --> 00:00:30.800]  第三節因爲你要向左向右開展
[00:00:30.800 --> 00:00:33.100]  你的後裔必得多國爲業
[00:00:33.100 --> 00:00:36.300]  又使荒涼的誠意有人居住
[00:00:36.300 --> 00:00:37.500]  我們就讀到這裏
[00:00:37.500 --> 00:00:41.900]  第二節今年真是一個充滿改變的一年
[00:00:41.900 --> 00:00:45.600]  不但西方世界在快速地改變
[00:00:45.600 --> 00:00:48.900]  非洲的世界也在快速改變
[00:00:48.900 --> 00:00:52.900]  我昨天晚上十點鐘才從非洲回到家裏面
[00:00:52.900 --> 00:00:55.200]  經過三十六個鐘頭
[00:00:55.200 --> 00:00:56.900]  哇 這個長途的飛行
[00:00:59.000 --> 00:01:03.900]  這次我們在非洲每一年
[00:01:03.900 --> 00:01:05.800]  我們二月都是牧者領導會
[00:01:05.800 --> 00:01:08.900]  這一次是在備南在舉行
[00:01:08.900 --> 00:01:10.700]  我們放這張照片給大家看
[00:01:10.700 --> 00:01:13.400]  我們一共將近有一百位的牧者
[00:01:13.400 --> 00:01:17.200]  從十個國家一同聚集在備南的首都
[00:01:17.200 --> 00:01:18.100]  Cotonou
[00:01:18.100 --> 00:01:21.100]  你看到這張照片
[00:01:21.100 --> 00:01:23.400]  你就會明白爲什麼他們叫我做白人
[00:01:28.500 --> 00:01:29.200]  感謝神
[00:01:29.200 --> 00:01:33.000]  這些年神給我們非常多的好同工在非洲
[00:01:33.000 --> 00:01:34.900]  我常常告訴他們說
[00:01:34.900 --> 00:01:36.400]  你不但是我的同工
[00:01:36.400 --> 00:01:39.700]  也是我們在非洲的好夥伴好朋友
[00:01:39.700 --> 00:01:42.300]  我們一同在神的國度來打拼
[00:01:42.300 --> 00:01:44.100]  在牧師的分享當中
[00:01:44.100 --> 00:01:46.300]  我們也看見今年很多的國家
[00:01:46.300 --> 00:01:47.900]  又面對很多的改變
[00:01:47.900 --> 00:01:51.700]  迦納 奈及利亞 備南都有新的總統
[00:01:51.700 --> 00:01:53.600]  有非常多不同的變化
[00:01:53.600 --> 00:01:57.400]  多哥雖然沒有在政治上有任何大的變動
[00:01:57.600 --> 00:02:02.700]  但在經濟上 在基礎建設上都是突飛猛進
[00:02:02.700 --> 00:02:05.600]  特別是整個運輸系統
[00:02:05.600 --> 00:02:08.900]  我們看見這些年有非常大的改進
[00:02:08.900 --> 00:02:11.900]  這次我到多哥他們新的機場
