
[00:00:00.000 --> 00:00:01.000]  弟姐妹平安
[00:00:01.000 --> 00:00:05.320]  剛剛上兩個星期的時候
[00:00:05.320 --> 00:00:09.560]  基發小學就舉辦了一個小五福音營
[00:00:09.560 --> 00:00:13.160]  我們當中也有一些同工
[00:00:13.160 --> 00:00:16.520]  有一些弟兄姐妹都有去幫忙
[00:00:16.520 --> 00:00:20.920]  當時我們就帶了一個遊戲
[00:00:20.920 --> 00:00:22.840]  就叫做模擬人生
[00:00:22.840 --> 00:00:25.200]  模擬人生是怎麼玩的呢
[00:00:25.200 --> 00:00:27.080]  它的勝利條件是這樣的
[00:00:27.080 --> 00:00:29.360]  就是那些參加者,即是那些同學
[00:00:29.600 --> 00:00:33.320]  就要在三個小時裡面
[00:00:33.320 --> 00:00:35.680]  找到這個天堂之門
[00:00:35.680 --> 00:00:40.280]  兼且就要找到方法進入這個天堂之門
[00:00:40.280 --> 00:00:43.120]  他們就當他們是贏的
[00:00:43.120 --> 00:00:45.600]  而在當中
[00:00:45.600 --> 00:00:47.800]  說明是模擬人生
[00:00:47.800 --> 00:00:51.880]  當然要模擬一下真正的社會是怎樣的
[00:00:51.880 --> 00:00:55.600]  所以我們就有不同的攤位給參加者去玩
[00:00:55.600 --> 00:00:57.760]  例如有學校
[00:00:58.560 --> 00:01:00.160]  有娛樂場所
[00:01:00.160 --> 00:01:02.560]  有工作的攤位
[00:01:02.560 --> 00:01:04.000]  有醫院
[00:01:04.000 --> 00:01:05.680]  有宗教的攤位
[00:01:05.680 --> 00:01:12.040]  所以參加者就可以按著他自己的想法
[00:01:12.040 --> 00:01:13.720]  或者他想怎樣
[00:01:13.720 --> 00:01:17.120]  就可以在這個模擬的城市裡面去玩
[00:01:17.120 --> 00:01:18.600]  好了
[00:01:18.600 --> 00:01:23.480]  我們那次的遊戲就有46個參加者
[00:01:23.480 --> 00:01:25.400]  即是有46個同學去參與
[00:01:25.400 --> 00:01:26.920]  大家猜一下
[00:01:27.320 --> 00:01:29.640]  我給大家做個意見調查猜猜
[00:01:29.640 --> 00:01:36.080]  有多少個是最終勝利進入到天堂之門的呢
[00:01:36.080 --> 00:01:37.720]  我問一問大家
[00:01:37.720 --> 00:01:39.040]  40個的
[00:01:39.040 --> 00:01:40.800]  覺得有40個可以進入到天堂之門的
[00:01:40.800 --> 00:01:41.600]  可不可以舉一舉手
[00:01:41.600 --> 00:01:45.160]  咦?沒有人
[00:01:45.160 --> 00:01:45.680]  OK
[00:01:45.680 --> 00:01:46.960]  好,30個的
[00:01:46.960 --> 00:01:49.200]  有,有一個
[00:01:49.200 --> 00:01:49.920]  好,30個
[00:01:49.920 --> 00:01:50.600]  2個,2個
[00:01:50.600 --> 00:01:51.400]  好了,看到了
[00:01:51.400 --> 00:01:53.280]  好,接著20個
[00:01:53.280 --> 00:01:55.320]  20個
[00:01:55.320 --> 00:01:56.000]  咦?也有
[00:01:56.000 --> 00:01:57.120]  也有20個
[00:01:57.120 --> 00:01:57.760]  也有一些
[00:01:57.760 --> 00:01:58.360]  好,舉手
[00:01:58.360 --> 00:01:59.320]  好,看到了
[00:01:59.320 --> 00:02:00.800]  C班也可以舉
[00:02:00.800 --> 00:02:01.480]  20個有沒有
[00:02:01.480 --> 00:02:01.960]  也沒有
[00:02:01.960 --> 00:02:02.800]  20個這邊也沒有
[00:02:02.800 --> 00:02:03.400]  OK,好
[00:02:03.400 --> 00:02:06.040]  好了,那我移15個
[00:02:06.040 --> 00:02:07.840]  開始5個,5個這樣下
[00:02:07.840 --> 00:02:08.440]  15個
[00:02:08.440 --> 00:02:10.160]  有沒有?15個
[00:02:10.160 --> 00:02:11.320]  沒有
[00:02:11.320 --> 00:02:12.520]  OK,10個
[00:02:12.520 --> 00:02:14.600]  咦?10個也有
[00:02:14.600 --> 00:02:15.400]  咦?好了
[00:02:15.400 --> 00:02:17.880]  大家仍然是相信有10個二人的
[00:02:17.880 --> 00:02:18.600]  起碼,OK
[00:02:18.600 --> 00:02:19.280]  是啦
[00:02:19.280 --> 00:02:20.040]  10個二人
[00:02:20.040 --> 00:02:21.360]  好,那10個
[00:02:21.360 --> 00:02:22.080]  那我再下
[00:02:22.080 --> 00:02:22.680]  5個
[00:02:22.680 --> 00:02:24.360]  5個
[00:02:24.360 --> 00:02:25.160]  咦?有,有,有
[00:02:25.160 --> 00:02:25.640]  好
[00:02:25.640 --> 00:02:26.320]  也有的,也有
[00:02:26.320 --> 00:02:27.200]  開始多一點了
[00:02:27.200 --> 00:02:29.040]  好了,那我就4個
[00:02:29.040 --> 00:02:30.640]  5,4,3,2,1,這樣數
[00:02:30.640 --> 00:02:32.040]  沒有
[00:02:32.040 --> 00:02:32.960]  3,咦?有,有,有
[00:02:32.960 --> 00:02:33.480]  3
[00:02:33.480 --> 00:02:35.080]  2
[00:02:35.080 --> 00:02:36.680]  2,有
[00:02:36.680 --> 00:02:37.240]  2也有
[00:02:37.240 --> 00:02:38.000]  OK,1呢
[00:02:38.000 --> 00:02:38.920]  只有1個
[00:02:38.920 --> 00:02:40.680]  OK,沒有了
[00:02:40.680 --> 00:02:41.280]  沒有1個就沒有
[00:02:41.280 --> 00:02:41.800]  好了
[00:02:41.800 --> 00:02:42.960]  那開估了
[00:02:42.960 --> 00:02:48.280]  那是當我們46個參加者裡面
[00:02:48.280 --> 00:02:52.760]  是真的1個2人都沒有
[00:02:52.760 --> 00:02:54.160]  是啦
[00:02:54.440 --> 00:03:00.240]  就是說,沒有1個參加者是進入到這個天堂之門的
[00:03:00.240 --> 00:03:01.720]  就是1個都沒有
[00:03:01.720 --> 00:03:02.920]  3個小時
[00:03:02.920 --> 00:03:09.400]  那我玩完遊戲當然要做一個總結
[00:03:09.400 --> 00:03:10.520]  那我就問到
[00:03:10.520 --> 00:03:13.840]  其實他們有沒有找到天堂之門
[00:03:13.840 --> 00:03:16.120]  或者為什麼會找不到天堂之門
[00:03:16.120 --> 00:03:19.120]  還有他們遊戲一開始的時候
[00:03:19.120 --> 00:03:20.840]  他們的目標是什麼
[00:03:20.840 --> 00:03:22.400]  那接著呢
