
[00:00:00.000 --> 00:00:04.920]  我不知你對選擇這兩個字在裏面出現了甚麼
[00:00:04.920 --> 00:00:07.920]  剛剛過去就是中學文憑試放榜
[00:00:07.920 --> 00:00:11.320]  令我想起很多過去成長的片段
[00:00:11.320 --> 00:00:14.040]  當然我讀書的年代就沒有中學文憑試
[00:00:14.040 --> 00:00:17.120]  那時候叫做會考和高級程度會考
[00:00:17.120 --> 00:00:19.280]  我記得當我們報高級程度會考的時候
[00:00:19.280 --> 00:00:21.240]  我們要報大學的科目
[00:00:21.240 --> 00:00:26.160]  當時就要報一個很長的名單
[00:00:26.160 --> 00:00:27.840]  就是你想讀哪一科就讀哪一科
[00:00:27.840 --> 00:00:29.680]  通常就報二十多三十科
[00:00:29.680 --> 00:00:31.280]  大家就去填
[00:00:31.280 --> 00:00:33.160]  找不同的大學報
[00:00:33.160 --> 00:00:34.760]  同學之間不斷討論
[00:00:34.760 --> 00:00:37.320]  怎麼選這麼多科很難選的
[00:00:37.320 --> 00:00:39.600]  當然如果熟悉教育制度就知道
[00:00:39.600 --> 00:00:40.600]  今時今日更難選
[00:00:40.600 --> 00:00:42.160]  因為學生的科目更多
[00:00:42.160 --> 00:00:43.320]  因為剛剛聽到
[00:00:43.320 --> 00:00:44.720]  當放榜這幾天都聽到說
[00:00:44.720 --> 00:00:47.120]  原來今年又有幾十科新的科目
[00:00:47.120 --> 00:00:48.760]  所以同學來問我都說我都不知道
[00:00:48.760 --> 00:00:50.240]  很新的
[00:00:50.240 --> 00:00:52.000]  有些同學就很選擇困難
[00:00:52.000 --> 00:00:52.880]  我記得我讀書的時候
[00:00:52.880 --> 00:00:54.200]  我都覺得很難選
[00:00:54.200 --> 00:00:55.240]  怎麼選到幾十科
[00:00:55.240 --> 00:00:55.760]  怎麼辦呢
[00:00:55.760 --> 00:00:57.120]  大家談了很久
[00:00:57.120 --> 00:00:59.880]  當時有一個同學很有趣
[00:00:59.880 --> 00:01:01.160]  我們選了三十科
[00:01:01.160 --> 00:01:03.000]  他只選了一科
[00:01:03.000 --> 00:01:04.920]  他選了一科就交了
[00:01:04.920 --> 00:01:07.960]  當時老師還問你選一科交都可以嗎
[00:01:07.960 --> 00:01:08.880]  他說不可以
[00:01:08.880 --> 00:01:10.280]  我只讀這科其他都不讀
[00:01:10.280 --> 00:01:11.800]  那就不用選了
[00:01:11.800 --> 00:01:13.200]  最後我忘記他是不是選一科
[00:01:13.200 --> 00:01:15.400]  但好像最後他都入了那一科
[00:01:15.400 --> 00:01:16.480]  最有趣的地方就是
