
[00:00:00.000 --> 00:00:02.760]  過去若干年我們小組查考過
[00:00:02.760 --> 00:00:05.560]  標杆人生
[00:00:05.560 --> 00:00:07.680]  The Purpose Driven Life
[00:00:07.680 --> 00:00:12.960]  這是美國一個在加州一個馬鞍風教會
[00:00:12.960 --> 00:00:15.320]  The Saddleback Church
[00:00:15.320 --> 00:00:18.240]  他們的主任牧師Rick Warren
[00:00:18.240 --> 00:00:19.880]  他寫了一本書
[00:00:19.880 --> 00:00:22.000]  叫做標杆人生
[00:00:22.000 --> 00:00:24.680]  那麼我們小組也查考
[00:00:24.680 --> 00:00:26.280]  查了一年
[00:00:26.280 --> 00:00:28.320]  也都有得着
[00:00:28.320 --> 00:00:31.320]  因爲他在那裏講說我們人的一生
[00:00:31.320 --> 00:00:35.560]  我們到底活的是爲了什麼
[00:00:35.560 --> 00:00:37.560]  那麼他說你總要有一個標杆
[00:00:37.560 --> 00:00:39.080]  像是保羅說的
[00:00:39.080 --> 00:00:42.520]  我忘記背後努力面前向着標杆直跑
[00:00:42.520 --> 00:00:44.400]  那個標杆那個Purpose
[00:00:44.400 --> 00:00:46.560]  What's your Purpose
[00:00:46.560 --> 00:00:48.680]  我有的時候喜歡
[00:00:48.680 --> 00:00:51.160]  背一首打油詩
[00:00:51.160 --> 00:00:53.400]  不止一次是這麼說
[00:00:53.400 --> 00:00:55.160]  我們人的一生
[00:00:55.160 --> 00:00:57.360]  零歲粉末登場
[00:00:57.360 --> 00:00:59.680]  十歲快樂成長
[00:00:59.680 --> 00:01:02.480]  二十歲爲情所困
[00:01:02.480 --> 00:01:05.600]  三十歲努力打拼
[00:01:05.600 --> 00:01:07.560]  四十歲大志定型
[00:01:07.560 --> 00:01:09.160]  五十歲回頭望望
[00:01:09.160 --> 00:01:11.440]  六十歲告老還鄉
[00:01:11.440 --> 00:01:13.320]  七十歲打打麻將
[00:01:13.320 --> 00:01:14.800]  八十歲曬曬太陽
[00:01:14.800 --> 00:01:16.920]  九十歲躺在牀上
[00:01:16.920 --> 00:01:19.680]  一百歲掛在牆上
[00:01:19.680 --> 00:01:22.400]  這是我們人的一生
[00:01:22.400 --> 00:01:27.440]  都是每一個階段都有一個不同的目的
[00:01:27.440 --> 00:01:29.200]  我們十歲的時候
[00:01:29.200 --> 00:01:32.080]  當然就快樂成長了不是嗎
[00:01:32.080 --> 00:01:34.840]  但是往往我們搞混了
[00:01:34.840 --> 00:01:37.280]  十歲再努力打拼
[00:01:37.280 --> 00:01:39.920]  打拼什麼呢是不是
[00:01:39.920 --> 00:01:43.360]  或者我們到了八十歲還爲情所困
[00:01:43.360 --> 00:01:44.960]  這個就不太對了嘛
[00:01:44.960 --> 00:01:48.440]  因爲三十四歲就應該定型了
[00:01:48.440 --> 00:01:51.920]  但是你的人生的標杆是什麼
[00:01:51.920 --> 00:01:56.080]  每一個人都有他的人生的標杆
[00:01:56.080 --> 00:01:58.520]  都有人生的目的
[00:01:58.520 --> 00:02:00.680]  那麼我們可以說
[00:02:00.680 --> 00:02:02.760]  我們是爲了活下去
[00:02:02.760 --> 00:02:07.080]  其實我們過得比活下去好很多啦
[00:02:07.080 --> 00:02:10.560]  所以我們可能是爲了大房子大車子
[00:02:10.560 --> 00:02:15.320]  或者是美麗的妻子美麗的先生
[00:02:15.320 --> 00:02:18.760]  或者是特別棒的孩子等
[00:02:18.760 --> 00:02:21.960]  但是這些也都是小事一樁啦
[00:02:21.960 --> 00:02:24.320]  這些神都會給我們的
[00:02:24.320 --> 00:02:28.480]  問題是你難道就是爲了這些活嗎
[00:02:28.480 --> 00:02:30.600]  那如果沒有孩子的人
