
[00:00:00.000 --> 00:00:05.000]  好,各位弟兄姊妹,新的一年,2026年呢,
[00:00:05.000 --> 00:00:08.000]  不知大家有沒有期望呢?
[00:00:08.000 --> 00:00:12.000]  SOL教會就對我有期望的,
[00:00:12.000 --> 00:00:17.000]  就希望我今年度,每次講道都是福音主人,
[00:00:17.000 --> 00:00:20.000]  每次都講福音的訊息,
[00:00:20.000 --> 00:00:23.000]  那我就想一下,
[00:00:23.000 --> 00:00:26.000]  成日都講那篇道,不就悶死街坊?
[00:00:26.000 --> 00:00:30.000]  福音訊息其實可以有很多,
[00:00:30.000 --> 00:00:33.000]  那我就想起若翰福音,
[00:00:33.000 --> 00:00:38.000]  若翰福音,耶穌講了七個「我是」,
[00:00:38.000 --> 00:00:53.000]  包括「我是主的門」,
[00:00:53.000 --> 00:00:56.000]  今天要講的是「楊的門」,
[00:01:23.000 --> 00:01:26.000]  福音裡面有很豐盛的道理,
[00:01:53.000 --> 00:01:55.000]  對於我們傳道的人,
[00:01:55.000 --> 00:01:58.000]  每一個基督徒都有一個使命,
[00:01:58.000 --> 00:01:59.000]  要傳福音,
[00:01:59.000 --> 00:02:01.000]  你要傳福音的時候,
[00:02:01.000 --> 00:02:04.000]  你要知道什麼是好消息,
[00:02:04.000 --> 00:02:05.000]  什麼是福音,
[00:02:05.000 --> 00:02:08.000]  只是講道一樣,
[00:02:08.000 --> 00:02:11.000]  信耶穌得永生,永遠都不死的,
[00:02:11.000 --> 00:02:15.000]  我試過一樣向著一個微信主教,
[00:02:15.000 --> 00:02:17.000]  我不想那麼長命,牧師,
[00:02:17.000 --> 00:02:21.000]  長命不代表他幸福快樂,
[00:02:21.000 --> 00:02:24.000]  如果長命的經常都病,
[00:02:24.000 --> 00:02:27.000]  長命的經常都在痛苦裡面,
[00:02:27.000 --> 00:02:30.000]  他寧願死了他,
[00:02:30.000 --> 00:02:35.000]  所以福音訊息不只是給微信,
[00:02:35.000 --> 00:02:37.000]  也是給耳信,
[00:02:37.000 --> 00:02:42.000]  但我也歡迎大家在福音主帶領微信主的人,
[00:02:42.000 --> 00:02:46.000]  我們有福音特工隊,
[00:02:46.000 --> 00:02:50.000]  這裡有沒有福音特工隊的隊員舉手,
[00:02:50.000 --> 00:02:52.000]  不是很多,
[00:02:52.000 --> 00:02:54.000]  我希望福音特工隊,
[00:02:54.000 --> 00:02:56.000]  或者你有微信的朋友,
[00:02:56.000 --> 00:02:58.000]  你都帶他們來聽,
[00:02:58.000 --> 00:03:01.000]  凡許牧師講都是福音主人,
[00:03:01.000 --> 00:03:02.000]  好了,
