
[00:00:00.000 --> 00:00:03.520]  今日是要和大家開始一個新的系列
[00:00:03.520 --> 00:00:07.040]  我叫這個系列做「天地揭秘」
[00:00:07.040 --> 00:00:12.080]  其實這個系列的目的就是要鼓勵弟兄姊妹
[00:00:12.080 --> 00:00:18.800]  讓我們知道我們將會永遠居住將來天堂這個地方會是怎樣
[00:00:18.800 --> 00:00:21.520]  我主要要講的是天堂
[00:00:21.520 --> 00:00:25.920]  但是有一位在馬來西亞的弟兄
[00:00:25.920 --> 00:00:30.800]  就是Randy弟兄,他也有參加我們星期三的主日學
[00:00:30.800 --> 00:00:33.520]  他聽見我要講天堂,他就說
[00:00:33.520 --> 00:00:37.440]  咦,牧師好像不符合聖經的教導
[00:00:37.440 --> 00:00:41.280]  耶穌基督講地獄比講天堂還要多
[00:00:41.280 --> 00:00:45.760]  如果你只是講天堂的話,好像不太符合聖經的教導
[00:00:45.760 --> 00:00:51.440]  因為這樣,所以我會講八個有關天堂的訊息
[00:00:51.440 --> 00:00:56.800]  然後會講一個訊息是說人死了之後會去哪裏
[00:00:56.800 --> 00:01:01.280]  然後最後會講一個有關地獄的訊息
[00:01:01.280 --> 00:01:04.080]  地獄不是為了人而設計
[00:01:04.080 --> 00:01:08.400]  地獄是為了墮落的天使而設計
[00:01:08.400 --> 00:01:12.160]  人最後進入地獄是很不幸的事
[00:01:12.160 --> 00:01:17.120]  但是是人自己揀選的選擇
[00:01:17.120 --> 00:01:21.440]  讓我們開始今天的訊息
[00:01:21.440 --> 00:01:26.080]  有一對雙胞胎在媽媽的肚子裏面
[00:01:26.080 --> 00:01:29.280]  他們已經開始吵架了
[00:01:29.280 --> 00:01:31.600]  一個嬰兒在問
[00:01:31.600 --> 00:01:35.360]  將來出了去媽媽的肚子裏面
[00:01:35.360 --> 00:01:37.920]  將來的情形會是怎樣的呢?
[00:01:37.920 --> 00:01:40.400]  另外一個還在問
[00:01:40.400 --> 00:01:45.040]  跟媽媽的肚子裏面一模一樣,在外面的世界
[00:01:45.040 --> 00:01:48.320]  另外一個就說,不可能
[00:01:48.320 --> 00:01:51.760]  跟媽媽的肚子裏面應該是完全不同的
[00:01:51.760 --> 00:01:55.680]  但是問起他有什麼不同,他又答不出
[00:01:55.680 --> 00:01:58.960]  這個真的好像我們很多的基督徒
[00:01:58.960 --> 00:02:03.920]  我們都知道我們將來會去到天堂過著永恆的生活
[00:02:03.920 --> 00:02:06.960]  但是不是每個基督徒都知道
[00:02:06.960 --> 00:02:12.480]  究竟天堂在哪裏,究竟天堂是怎樣
[00:02:12.480 --> 00:02:15.920]  現在一般的教會,一般的牧師
[00:02:15.920 --> 00:02:19.040]  都很少講到天堂
[00:02:19.040 --> 00:02:24.800]  其實我們比媽媽肚子裏面那兩個嬰兒更加幸福
[00:02:24.800 --> 00:02:28.080]  因為《聖經》很清楚地告訴我們
[00:02:28.080 --> 00:02:31.680]  天堂在哪裏,天堂是怎樣
[00:02:31.680 --> 00:02:34.400]  雖然《聖經》裏面沒有一部書
[00:02:34.400 --> 00:02:36.800]  全部是有關天堂
[00:02:36.800 --> 00:02:39.280]  但是在《聖經》裏面不同的部分
[00:02:39.280 --> 00:02:43.600]  你都能夠見到神給我們有天堂的教導
[00:02:43.600 --> 00:02:48.480]  這個系列就是將所有這些經文放在一起
