
[00:00:00.000 --> 00:00:03.960]  今日的題目是「不住的禱告,恆常的禱告」
[00:00:03.960 --> 00:00:07.640]  其實基督徒的人生根本離不開
[00:00:07.640 --> 00:00:11.520]  上帝的話語和我們每一天跟祂的交往
[00:00:11.520 --> 00:00:13.520]  禱告是一種關係
[00:00:13.520 --> 00:00:15.240]  禱告不是交易
[00:00:15.240 --> 00:00:18.360]  有些人會有少許誤解
[00:00:18.360 --> 00:00:23.240]  以為基督徒祈禱祈得多自有神庇佑
[00:00:23.240 --> 00:00:24.560]  是不是這樣呢?
[00:00:24.560 --> 00:00:25.720]  不是的
[00:00:25.720 --> 00:00:27.400]  主耶穌也跟我們說
[00:00:27.400 --> 00:00:29.800]  不是說祈禱祈得很長
[00:00:29.800 --> 00:00:31.960]  你們經常重複又重複
[00:00:31.960 --> 00:00:35.880]  好像有些異教徒在背經
[00:00:35.880 --> 00:00:37.880]  在唸一些珠
[00:00:37.880 --> 00:00:40.080]  或者是拜神
[00:00:40.080 --> 00:00:43.560]  其實禱告是一種關係
[00:00:43.560 --> 00:00:45.720]  你今日跟朋友交往
[00:00:45.720 --> 00:00:49.600]  你喜不喜歡那個人經常在你旁邊重複重複
[00:00:49.600 --> 00:00:51.920]  你是不是老人癡呆呢?
[00:00:51.920 --> 00:00:56.120]  我們其實跟人建立一個正常的關係
[00:00:56.120 --> 00:00:59.360]  是出於真誠和愛
[00:00:59.360 --> 00:01:01.920]  其實上主就向我們展示
[00:01:01.920 --> 00:01:03.920]  祂是主動去找我們
[00:01:03.920 --> 00:01:08.320]  祂也主動預先為我們眾人的罪
[00:01:08.320 --> 00:01:10.480]  犧牲了去愛祖耶穌基督
[00:01:10.480 --> 00:01:12.280]  所以你明白這件事的時候
[00:01:12.280 --> 00:01:18.080]  你會體會為甚麼聖本督會規在第四章五十六條裏面
[00:01:18.080 --> 00:01:22.360]  他會說恆常的禱告
[00:01:22.360 --> 00:01:30.680]  這個好像不是港獨的PowerPoint
[00:01:30.680 --> 00:01:33.680]  這個是你們讀經的經文
[00:01:33.680 --> 00:01:35.480]  後面是
[00:01:35.480 --> 00:01:37.480]  可不可以第二章
[00:01:37.480 --> 00:01:40.480]  再下一章
[00:01:40.480 --> 00:01:45.280]  對不起我看到那個跟你們看的是不同的
[00:01:45.280 --> 00:01:49.560]  麻煩你給我一個feedback
[00:01:49.560 --> 00:01:54.080]  再前一章不好意思
[00:01:54.080 --> 00:01:58.680]  我們看到聖本督說的是一個
[00:01:58.680 --> 00:02:02.280]  To apply oneself frequently to prayer
[00:02:02.280 --> 00:02:04.880]  是不住的一個祈禱
[00:02:04.880 --> 00:02:06.680]  我等一下會再詳細解釋一下
[00:02:06.680 --> 00:02:08.680]  這個觀念是甚麼
[00:02:08.680 --> 00:02:10.680]  這個觀念都引來
[00:02:10.680 --> 00:02:12.680]  有些基督徒的生活
[00:02:12.680 --> 00:02:17.280]  出現一些誤解而帶來一些混亂
