
[00:00:00.000 --> 00:00:02.000]  頂佔平安
[00:00:02.000 --> 00:00:08.000]  今日會係最後一講嘅登山寶訓
[00:00:08.000 --> 00:00:11.000]  下星期就開始進入一個新嘅系列
[00:00:11.000 --> 00:00:16.000]  今日我哋會睇馬蹄呼喚嘅第七章
[00:00:16.000 --> 00:00:18.000]  15到20節
[00:00:18.000 --> 00:00:22.000]  聖經入面有啲嘅經文其實佢唔係咁容易明
[00:00:22.000 --> 00:00:26.000]  但一但你明白之後佢好容易去用
[00:00:26.000 --> 00:00:28.000]  用起身並唔複雜
[00:00:28.000 --> 00:00:30.000]  但聖經有啲經文就相反
[00:00:30.000 --> 00:00:32.000]  讀起身你覺得好容易明
[00:00:32.000 --> 00:00:34.000]  唔使解釋一睇就明
[00:00:34.000 --> 00:00:38.000]  但當你實質上去應用嘅時候
[00:00:38.000 --> 00:00:41.000]  你就發覺其實個應用嘅過程都幾複雜
[00:00:41.000 --> 00:00:43.000]  唔係真係你想像中咁簡單
[00:00:43.000 --> 00:00:46.000]  今日我哋就會碰到一段咁樣嘅經文
[00:00:46.000 --> 00:00:49.000]  讀起身好容易讀
[00:00:49.000 --> 00:00:51.000]  但當你真係去用嘅時候
[00:00:51.000 --> 00:00:54.000]  你發覺原來係旁邊好多陷阱
[00:00:54.000 --> 00:00:56.000]  今日我就同你分享呢段經文
[00:00:56.000 --> 00:00:58.000]  先講一講個陷阱係乜嘢
[00:00:58.000 --> 00:01:01.000]  然後我畀你一個solution點樣去處理呢段經文
[00:01:01.000 --> 00:01:05.000]  然後再睇下呢段經文其他啲嘅意思
[00:01:05.000 --> 00:01:07.000]  講到我哋點樣結果
[00:01:07.000 --> 00:01:10.000]  今日我哋先睇呢段經文
[00:01:10.000 --> 00:01:14.000]  呢段經文記載喺馬拉松嘅七章十五節
[00:01:14.000 --> 00:01:15.000]  呢度係咁講嘅
[00:01:15.000 --> 00:01:16.000]  主耶穌話
[00:01:16.000 --> 00:01:18.000]  你們要防備假先知
[00:01:18.000 --> 00:01:21.000]  他們來到你們這裡來
[00:01:21.000 --> 00:01:24.000]  外面披著羊皮
[00:01:24.000 --> 00:01:26.000]  裏面卻是殘暴的狼
[00:01:26.000 --> 00:01:29.000]  豈能在荊棘上摘葡萄呢
[00:01:29.000 --> 00:01:33.000]  豈能在疾離裏摘無花果呢
[00:01:33.000 --> 00:01:36.000]  憑著他們的果子就可以認出他們來
[00:01:36.000 --> 00:01:40.000]  這樣凡好樹都結好果子
[00:01:40.000 --> 00:01:43.000]  而壞樹結壞果子
[00:01:43.000 --> 00:01:45.000]  好樹不能結壞果子
[00:01:45.000 --> 00:01:49.000]  壞樹也不能結好果子
[00:01:49.000 --> 00:01:53.000]  聖經就有時經常會用一棵樹
[00:01:53.000 --> 00:01:55.000]  嚟到形容我哋嘅人生
[00:01:55.000 --> 00:01:57.000]  所以呢段聖經讀起身並唔難
[00:01:57.000 --> 00:02:00.000]  你點樣認出真假先知呢
[00:02:00.000 --> 00:02:04.000]  就憑住佢外面結出嚟嘅果子就知
[00:02:04.000 --> 00:02:06.000]  但係個陷阱喺邊呢
[00:02:06.000 --> 00:02:08.000]  個陷阱就係當你再問多句就話
[00:02:08.000 --> 00:02:10.000]  咩果子呢
[00:02:10.000 --> 00:02:11.000]  具體一啲
[00:02:11.000 --> 00:02:15.000]  你想睇啲乜嘢可以認出佢係一個假先知呢
[00:02:15.000 --> 00:02:18.000]  我平時如果係預備篇講到
[00:02:18.000 --> 00:02:22.000]  我通常會睇三到五本嘅色經書
[00:02:22.000 --> 00:02:24.000]  咁我再睇埋
[00:02:24.000 --> 00:02:27.000]  我會再聽大概三到五篇其他嘅
[00:02:27.000 --> 00:02:30.000]  目者講過同樣嘅經文
[00:02:30.000 --> 00:02:32.000]  作為我嘅參考
[00:02:32.000 --> 00:02:34.000]  呢篇經文就相反
[00:02:34.000 --> 00:02:37.000]  呢篇就我參考咗超過十篇
[00:02:37.000 --> 00:02:39.000]  呢段經文嘅講章
[00:02:39.000 --> 00:02:42.000]  因為睇一睇就發覺越睇越唔對路
[00:02:42.000 --> 00:02:44.000]  因為十篇嘅講章
[00:02:44.000 --> 00:02:46.000]  十篇都係將呢個果子解釋成
[00:02:46.000 --> 00:02:49.000]  係我哋嘅屬靈嘅品格嘅果子
[00:02:49.000 --> 00:02:51.000]  即係我哋嘅spiritual character
[00:02:51.000 --> 00:02:53.000]  即係你憑住一個人屬靈嘅品格
