
[00:00:00.000 --> 00:00:03.000]  在今天又跟大家見面
[00:00:03.000 --> 00:00:07.000]  今季呢,我知道好像開季不久
[00:00:07.000 --> 00:00:11.000]  記不記得今季的港島系列是講什麼?
[00:00:11.000 --> 00:00:16.000]  以及我們的書卷
[00:00:16.000 --> 00:00:18.000]  這季我們講什麼?記不記得?
[00:00:18.000 --> 00:00:20.000]  有規有矩
[00:00:20.000 --> 00:00:22.000]  有規有矩
[00:00:22.000 --> 00:00:25.000]  我不知道大家喜不喜歡講規矩呢?
[00:00:25.000 --> 00:00:28.000]  很多時候,當我們講規矩的時候
[00:00:28.000 --> 00:00:31.000]  就給人一種睜眼斑斑,冷冰冰的感覺
[00:00:31.000 --> 00:00:34.000]  沒辦法討論,人沒什麼彈性
[00:00:34.000 --> 00:00:36.000]  所以很多時候
[00:00:36.000 --> 00:00:39.000]  基督徒都給人一個感覺是什麼呢?
[00:00:39.000 --> 00:00:42.000]  就是你們很多什麼 do's and don'ts
[00:00:42.000 --> 00:00:44.000]  所以我又要問一下廣告
[00:00:44.000 --> 00:00:47.000]  就是當媒體時供,什麼基督徒是這樣?
[00:00:47.000 --> 00:00:49.000]  就是有些東西不是 do's and don'ts
[00:00:49.000 --> 00:00:50.000]  最重要是什麼呢?
[00:00:50.000 --> 00:00:52.000]  你要想想為什麼那樣東西要發生
[00:00:52.000 --> 00:00:54.000]  而剛才我問大家
[00:00:54.000 --> 00:00:58.000]  今年我們講到的書卷是什麼
[00:00:58.000 --> 00:01:00.000]  很快大兄姊妹就講了
[00:01:00.000 --> 00:01:02.000]  出埃及記
[00:01:02.000 --> 00:01:04.000]  我想問一問,做個問條
[00:01:04.000 --> 00:01:06.000]  我經常都問大兄姊妹
[00:01:06.000 --> 00:01:08.000]  今天是七月
[00:01:08.000 --> 00:01:10.000]  都已經過了半年
[00:01:10.000 --> 00:01:14.000]  大家覺得自己在埃及的,請舉手
[00:01:14.000 --> 00:01:16.000]  感恩?沒有
[00:01:16.000 --> 00:01:21.000]  大家覺得自己在曠野的,請舉手
[00:01:21.000 --> 00:01:22.000]  都沒有
[00:01:22.000 --> 00:01:24.000]  那你們在哪裏? 有人舉手
[00:01:24.000 --> 00:01:27.000]  那有沒有人覺得自己已經在英許之地?
