
[00:00:00.000 --> 00:00:03.500]  今天用大家都非常熟悉的經文
[00:00:03.500 --> 00:00:08.000]  《約翰福音》三章的十四到十六節
[00:00:08.000 --> 00:00:11.000]  我們先把那個經文讀完
[00:00:11.000 --> 00:00:12.600]  一、二、三
[00:00:12.600 --> 00:00:16.400]  我所學乃方言天量吉舌
[00:00:16.400 --> 00:00:20.000]  人子也必朝陽悲之喜來
[00:00:20.000 --> 00:00:23.800]  教以謝行他的道德永生
[00:00:23.800 --> 00:00:25.300]  審愛世人
[00:00:25.300 --> 00:00:29.600]  甚至將他的徒生愛子賜給他們
[00:00:29.600 --> 00:00:33.000]  教以謝行他的不是滅亡
[00:00:33.000 --> 00:00:35.100]  但得永生
[00:00:35.100 --> 00:00:43.100]  在英國有兩個男的同性戀人士結了婚
[00:00:43.100 --> 00:00:45.300]  英國這個是合法的
[00:00:45.300 --> 00:00:46.300]  結了婚以後
[00:00:46.300 --> 00:00:52.200]  這兩個男人就從印度去領養一個男嬰
[00:00:52.200 --> 00:00:55.400]  因爲他們在那邊找到一個代孕的媽媽
[00:00:55.400 --> 00:00:57.400]  爲他們生了一個兒子
[00:00:57.400 --> 00:01:00.700]  在印度這是一個非常大的生意
[00:01:00.700 --> 00:01:02.600]  你可能不知道
[00:01:02.600 --> 00:01:08.200]  印度現在是很出名是代母懷孕
[00:01:08.200 --> 00:01:09.400]  收一個孩子
[00:01:09.400 --> 00:01:13.300]  你懷孕的話就兩萬五千美金
[00:01:13.300 --> 00:01:19.200]  然後一年的生意額超過二十三億的美元
[00:01:19.200 --> 00:01:20.200]  非常厲害
[00:01:20.200 --> 00:01:25.100]  所以在印度代母的職業也是蠻流行的
[00:01:25.100 --> 00:01:28.900]  可能各種原因有人找她幫你生孩子
[00:01:28.900 --> 00:01:31.400]  我們叫那個出租那個子宮
[00:01:31.400 --> 00:01:32.700]  就給你們
[00:01:32.700 --> 00:01:35.600]  他們回到英國以後
[00:01:35.600 --> 00:01:39.900]  再從另外一個國家再領養一個女孩
[00:01:39.900 --> 00:01:43.000]  這個兩個男人的父母
