
[00:00:00.000 --> 00:00:02.520]  我們一直都是說相愛
[00:00:02.520 --> 00:00:06.080]  相愛好像集中在教會、弟兄姊妹之間
[00:00:06.080 --> 00:00:09.840]  今天我很想將這個愛不單止帶在我們教會裏面
[00:00:09.840 --> 00:00:11.840]  也帶在我們家裏面
[00:00:11.840 --> 00:00:15.800]  我們透過十誡去看看愛家人的福氣
[00:00:15.800 --> 00:00:21.200]  十誡我們都揭經文
[00:00:21.200 --> 00:00:24.680]  我沒有將《春埃及記》的十誡放在PowerPoint裏
[00:00:24.680 --> 00:00:27.080]  因為都想和大家揭聖經
[00:00:27.080 --> 00:00:30.840]  所以希望大家現在打開聖經的《春埃及記》
[00:00:30.840 --> 00:00:34.200]  第20章
[00:00:34.200 --> 00:00:37.720]  《春埃及記》第20章3至17節
[00:00:37.720 --> 00:00:40.160]  這段時間我們都盡量將經文放在PowerPoint
[00:00:40.160 --> 00:00:41.360]  今天沒有做
[00:00:41.360 --> 00:00:44.240]  都很希望和大家揭聖經
[00:00:44.240 --> 00:00:46.240]  我記得十多年前我回來教會
[00:00:46.240 --> 00:00:47.560]  我都揭聖經很慢的
[00:00:47.560 --> 00:00:49.800]  有側邊弟兄姊妹幫我揭
[00:00:49.800 --> 00:00:52.280]  亦都可以顯示弟兄姊妹服侍的心
[00:00:52.280 --> 00:00:55.280]  自己熟了之後幫一下隔壁弟兄姊妹揭聖經
[00:00:55.280 --> 00:00:58.400]  我們這段時間都試過機會揭聖經
[00:00:58.400 --> 00:01:02.960]  十誡都是我們基督徒很基本的學習
[00:01:02.960 --> 00:01:07.240]  所以都希望和大家一起打聖經去看
[00:01:07.240 --> 00:01:09.200]  我不會和大家讀完經文
[00:01:09.200 --> 00:01:11.920]  我會選一些重要的字句去讀
[00:01:11.920 --> 00:01:15.760]  還有一些PowerPoint都會將重要的字句印出來
[00:01:15.760 --> 00:01:18.320]  大家可以留意一下
[00:01:18.320 --> 00:01:20.520]  先講一些十誡的背景
[00:01:20.520 --> 00:01:24.440]  十誡就是以色列人離開埃及
[00:01:24.440 --> 00:01:27.120]  一個本來在埃及做奴隸的
[00:01:27.120 --> 00:01:29.680]  上帝要和以色列人建立一個新的國家
[00:01:29.680 --> 00:01:31.000]  新的國度
[00:01:31.000 --> 00:01:34.960]  神要透過摩西在西乃山裏頒布律法
[00:01:34.960 --> 00:01:36.960]  要建立一個新的國家
[00:01:36.960 --> 00:01:38.680]  原本這個國家是一盤散沙
[00:01:38.680 --> 00:01:40.680]  一群奴隸甚麼都不懂
[00:01:40.680 --> 00:01:42.520]  去建立一個新的國家
[00:01:42.520 --> 00:01:43.480]  國家要有甚麼?
[00:01:43.480 --> 00:01:44.360]  要有憲法
[00:01:44.360 --> 00:01:46.960]  要有一個基本的制度
[00:01:46.960 --> 00:01:50.160]  這個律法書就是幫新的以色列群體
[00:01:50.160 --> 00:01:51.600]  建立一個新的制度
[00:01:51.600 --> 00:01:53.600]  而十誡可以說是這個律法裏面
[00:01:53.600 --> 00:01:55.600]  最基本、最基礎的東西
[00:01:55.600 --> 00:02:00.240]  律法是上帝透過摩西去頒布給以色列人
