
[00:00:00.000 --> 00:00:05.220]  有一次我太太病了,她半夜咳得很辛苦
[00:00:05.220 --> 00:00:12.680]  她常常說笑說,如果可以把頭脫下來,就會舒服很多
[00:00:12.680 --> 00:00:19.720]  說起來輕描淡寫,但咳起來就死去活來
[00:00:19.720 --> 00:00:25.020]  在她旁邊的我,竟然束手無策
[00:00:25.020 --> 00:00:29.700]  有一次,當她咳得差不多喘不過氣來的時候
[00:00:29.700 --> 00:00:33.640]  我在旁邊輕輕的拍一拍她
[00:00:33.640 --> 00:00:38.200]  然後我說,不用怕,我在這裡
[00:00:38.200 --> 00:00:43.280]  說完這句話的時候,我忽然想起
[00:00:43.280 --> 00:00:47.000]  其實我甚至有一些慚愧
[00:00:47.000 --> 00:00:51.700]  因為我這句話基本上是毫無意義,毫無幫助
[00:00:51.700 --> 00:00:56.000]  除了在情感上有一些些的意思之外
[00:00:56.000 --> 00:01:00.740]  實際上對我太太的病情,對她的心情
[00:01:00.740 --> 00:01:04.980]  是沒有絲毫的治療的作用
[00:01:04.980 --> 00:01:10.500]  但是同樣的一句話,不用怕,我在這裡
[00:01:10.500 --> 00:01:13.900]  如果是由我們的主耶穌講出來的話
[00:01:13.900 --> 00:01:18.460]  就完全不是那種味道了
[00:01:18.460 --> 00:01:22.380]  如果不是時時想起主耶穌的話
[00:01:22.380 --> 00:01:29.940]  我都不知道他在病的那幾個星期怎麼捱
[00:01:29.940 --> 00:01:34.380]  馬太福音一章22到23節
[00:01:34.380 --> 00:01:39.540]  這一切的事成就,是要應驗主直先知所說的話
[00:01:39.540 --> 00:01:41.860]  說必有同侶懷孕生子
[00:01:41.860 --> 00:01:45.520]  人要稱他的名為二馬來厘
[00:01:45.520 --> 00:01:50.600]  二馬來厘返出來,就是神與我們同在
[00:01:50.600 --> 00:01:55.980]  這也是應驗了主耶穌降生700多年前
[00:01:55.980 --> 00:02:00.280]  而塞亞先知他的預言
[00:02:00.280 --> 00:02:03.060]  而塞亞書7章14節
[00:02:03.060 --> 00:02:06.580]  因此主自己要給你們一個兆頭
[00:02:06.580 --> 00:02:09.060]  必有同侶懷孕生子
[00:02:09.060 --> 00:02:11.740]  給他起名叫二馬來厘
[00:02:11.740 --> 00:02:15.420]  就是神與我們同在的意思
[00:02:15.420 --> 00:02:20.380]  大興姐妹或者會留意得到在NIV聖經的翻譯
