
[00:00:00.000 --> 00:00:03.060]  今天我們來到約翰福音第八章
[00:00:03.060 --> 00:00:07.800]  這一章可以分四五次來講
[00:00:07.800 --> 00:00:11.300]  其實每一章約翰福音都可以講四五堂
[00:00:11.300 --> 00:00:14.660]  但如果這樣的話,我們就講了兩年,我不想那麼長
[00:00:14.660 --> 00:00:17.800]  所以我們就決定每一個星期講一章
[00:00:17.800 --> 00:00:23.000]  第八章我就選了最後那一段,剛纔主席給我們讀
[00:00:23.000 --> 00:00:29.000]  在五十一節,耶穌說了一句轟天動地的話
[00:00:29.000 --> 00:00:32.000]  我實實在在地告訴你們
[00:00:32.000 --> 00:00:35.000]  耶穌說實實在在的時候,你們要聽清楚
[00:00:35.000 --> 00:00:38.000]  Very truly I tell you
[00:00:38.000 --> 00:00:43.000]  人若遵守我的道,就永遠不見死
[00:00:43.000 --> 00:00:45.000]  你怎麼看這句話?
[00:00:45.000 --> 00:00:48.000]  你會不會永遠都不死?
[00:00:48.000 --> 00:00:51.000]  誰覺得自己永遠不死的,請你舉手
[00:00:51.000 --> 00:00:59.000]  沒有,趙先生摸了眼鏡,不知道是真的還是假的
[00:00:59.000 --> 00:01:02.000]  這句話很厲害,我們今天要看這句話
[00:01:02.000 --> 00:01:05.000]  其實自從亞當夏娃開始
[00:01:05.000 --> 00:01:08.000]  人類面對最大的挑戰就是死亡
[00:01:08.000 --> 00:01:15.000]  古往今來,很多蘇人墨客都是爲死亡而悲嘆
[00:01:15.000 --> 00:01:20.000]  宋朝的蘇細是一位詩人
[00:01:20.000 --> 00:01:23.000]  詩人的心是特別敏銳
[00:01:23.000 --> 00:01:28.000]  我們來看看他怎麼感受生離死別
[00:01:28.000 --> 00:01:32.000]  蘇細的元配夫人死了十年
[00:01:32.000 --> 00:01:36.000]  他作了一首詞叫乾性子來懷念她
[00:01:36.000 --> 00:01:40.000]  十年生死兩茫茫
[00:01:40.000 --> 00:01:43.000]  不思量自難忘
[00:01:43.000 --> 00:01:47.000]  千里孤憤無處話淒涼
[00:01:47.000 --> 00:01:52.000]  毛澤東也是一位詩人
[00:01:52.000 --> 00:01:59.000]  他在1936年寫了一首很厲害的詞叫心緣春
[00:01:59.000 --> 00:02:01.000]  最後一段他說
[00:02:01.000 --> 00:02:05.000]  識秦王武項略書文采
[00:02:05.000 --> 00:02:09.000]  唐宗宋祖稍遜風騷
[00:02:09.000 --> 00:02:14.000]  一代天驕成吉思汗只識彎弓射大雕
[00:02:14.000 --> 00:02:20.000]  驅黃爾數風流人物還看今朝
[00:02:20.000 --> 00:02:26.000]  毛澤東當年的風流人物現在都變成驅黃爾
[00:02:26.000 --> 00:02:29.000]  這就是人生
[00:02:29.000 --> 00:02:35.000]  所以有人說死亡是令到所有人都得着公平的結局
[00:02:35.000 --> 00:02:39.000]  英文說死亡是一個equalizer
[00:02:39.000 --> 00:02:49.000]  無論貧富尊卑在死亡線上都一齊高低大小
[00:02:49.000 --> 00:02:53.000]  在1973年,那時我還在讀書
[00:02:53.000 --> 00:02:57.000]  美國一位作者寫了一本書叫取斥死亡
[00:02:57.000 --> 00:03:00.000]  The Denial of Death
[00:03:00.000 --> 00:03:06.000]  這本書得到普林茲獎是書本最厲害的獎
[00:03:06.000 --> 00:03:08.000]  作家叫佩克爾
[00:03:08.000 --> 00:03:12.000]  他從心理學、哲學和宗教的範疇
[00:03:12.000 --> 00:03:15.000]  去剖析人對死亡的心態
[00:03:15.000 --> 00:03:17.000]  這本書的中心思想很簡單
[00:03:17.000 --> 00:03:20.000]  就是人類非常害怕死亡
[00:03:20.000 --> 00:03:24.000]  以至他所做的每一個事、每一個行爲
[00:03:24.000 --> 00:03:28.000]  都是爲了逃避和克服死亡
[00:03:28.000 --> 00:03:33.000]  作者也觀察到,歷代以來人類無法勝過死亡
[00:03:33.000 --> 00:03:39.000]  所以人類就成爲了死亡的奴隸
[00:03:39.000 --> 00:03:42.000]  這樣都能夠得到普林茲獎
[00:03:42.000 --> 00:03:44.000]  我也懂得寫吧
[00:03:44.000 --> 00:03:46.000]  事實上我也不怪你這麼想
[00:03:46.000 --> 00:03:48.000]  因爲我小時候就已經開始想這個問題
[00:03:48.000 --> 00:03:50.000]  我小時候經常問父母
[00:03:50.000 --> 00:03:52.000]  人死了之後去哪裏
[00:03:52.000 --> 00:03:54.000]  他們說不要問不要問
[00:03:54.000 --> 00:03:56.000]  每次都加一句
[00:03:56.000 --> 00:04:01.000]  童言無忌大吉大利
[00:04:01.000 --> 00:04:06.000]  所以我在童年時代就爲家裏帶來了很多大吉大利
[00:04:06.000 --> 00:04:08.000]  人類這麼害怕死亡
[00:04:08.000 --> 00:04:10.000]  那麼上帝有沒有辦法解決這個死亡問題呢?
[00:04:10.000 --> 00:04:11.000]  有!
[00:04:11.000 --> 00:04:15.000]  耶穌基督在約翰福音三番四次告訴我們
[00:04:15.000 --> 00:04:18.000]  祂解決了死亡的問題
[00:04:18.000 --> 00:04:22.000]  在第八章,耶穌做了兩個偉大而榮耀的宣告
[00:04:22.000 --> 00:04:25.000]  就是第八章最後我們剛纔讀的那幾節
[00:04:25.000 --> 00:04:28.000]  第一,第一個榮耀偉大的宣告
