
[00:00:00.000 --> 00:00:04.000]  頂多我們基督的信仰是分開幾部份的
[00:00:04.000 --> 00:00:06.000]  一部份是信心的部份
[00:00:06.000 --> 00:00:10.000]  另一部份是理性客觀的部份
[00:00:10.000 --> 00:00:12.000]  我先想和大家講講
[00:00:12.000 --> 00:00:16.000]  我們基督信仰的理性客觀的部份
[00:00:16.000 --> 00:00:19.000]  可能有個問題很多人都問的
[00:00:19.000 --> 00:00:21.000]  究竟耶穌基督的復活
[00:00:21.000 --> 00:00:26.000]  有沒有一個客觀的證據呢
[00:00:26.000 --> 00:00:28.000]  客觀的證據其中一個客觀的證據
[00:00:28.000 --> 00:00:32.000]  就是今天在意大利都寧的地方
[00:00:32.000 --> 00:00:37.000]  收藏了一幅耶穌的《果施報》
[00:00:37.000 --> 00:00:40.000]  這個耶穌的《果施報》究竟有什麼特別呢
[00:00:40.000 --> 00:00:42.000]  它特別的地方就是
[00:00:42.000 --> 00:00:44.000]  耶穌復活的時候
[00:00:44.000 --> 00:00:46.000]  就不像我們看卡通片
[00:00:46.000 --> 00:00:47.000]  或者看武俠片
[00:00:47.000 --> 00:00:50.000]  那些武功勁的逼爆衣服
[00:00:50.000 --> 00:00:52.000]  又或者突破而出
[00:00:52.000 --> 00:00:54.000]  這樣爆出來爆出來的
[00:00:54.000 --> 00:00:55.000]  不是這樣的
[00:00:55.000 --> 00:00:58.000]  耶穌的復活是怎樣出來的呢
[00:00:58.000 --> 00:01:00.000]  耶穌的復活原來是
[00:01:00.000 --> 00:01:04.000]  穿透包著祂的《果施報》這樣出來的
[00:01:04.000 --> 00:01:05.000]  在這個過程裡面
[00:01:05.000 --> 00:01:08.000]  根據科學家的術語
[00:01:08.000 --> 00:01:12.000]  祂釋放億萬兆的脈衝能量
[00:01:12.000 --> 00:01:15.000]  科學家叫億萬兆脈衝能量
[00:01:15.000 --> 00:01:18.000]  我們就叫做復活大能
[00:01:18.000 --> 00:01:20.000]  這個過程的結果是
[00:01:20.000 --> 00:01:24.000]  耶穌整個人的正反兩面
[00:01:24.000 --> 00:01:28.000]  祂的影像就刻在了這塊《果施報》裡面
[00:01:28.000 --> 00:01:29.000]  就好像一個底片
[00:01:29.000 --> 00:01:31.000]  耶穌的正反兩面全身的底片
[00:01:31.000 --> 00:01:33.000]  刻在了《果施報》裡面
[00:01:33.000 --> 00:01:34.000]  這樣
[00:01:34.000 --> 00:01:36.000]  所以呢
[00:01:36.000 --> 00:01:40.000]  但是這份《果施報》
