
[00:00:00.000 --> 00:00:09.800]  各位覺得希伯來書是誰著的 誰是作者
[00:00:09.800 --> 00:00:12.400]  大家都認為是保羅
[00:00:12.400 --> 00:00:19.000]  但是早期基督教的傳統認為是巴拿巴寫的
[00:00:19.000 --> 00:00:23.400]  馬丁路德他認為是亞波羅寫的
[00:00:23.400 --> 00:00:26.200]  所以各方說法不一
[00:00:26.200 --> 00:00:30.000]  為什麼人家說不是保羅寫的呢
[00:00:30.000 --> 00:00:34.200]  因為保羅寫的他每一次一上來他就說
[00:00:34.200 --> 00:00:37.200]  奉主耶穌基督名作使徒的保羅
[00:00:37.200 --> 00:00:39.600]  問這個安問那個安
[00:00:39.600 --> 00:00:41.600]  那希伯來書沒有講
[00:00:41.600 --> 00:00:43.600]  所以有人就認為不是他
[00:00:43.600 --> 00:00:47.600]  一樣事情四福音書都有講
[00:00:47.600 --> 00:00:50.200]  就是耶路撒冷被燬
[00:00:50.200 --> 00:00:53.200]  這是在主厚七十年的時候
[00:00:53.200 --> 00:00:55.400]  整個被火燒掉
[00:00:55.400 --> 00:00:57.800]  所以有人認為有可能是保羅
[00:00:57.800 --> 00:01:01.600]  因為保羅是後生之輩
[00:01:01.600 --> 00:01:04.600]  保羅跟彼得他們比呢
[00:01:04.600 --> 00:01:06.600]  彼得是大弟子
[00:01:06.600 --> 00:01:11.200]  保羅他連耶穌的門徒他都不是
[00:01:11.200 --> 00:01:13.000]  所以比較晚輩一點
[00:01:13.000 --> 00:01:14.400]  所以也有可能是他
[00:01:14.400 --> 00:01:16.400]  但是不管怎麼樣
[00:01:16.400 --> 00:01:19.600]  我相信是保羅寫的
[00:01:19.600 --> 00:01:22.200]  他寫給誰呢
[00:01:22.200 --> 00:01:26.000]  他是寫給希伯來人的
[00:01:26.000 --> 00:01:31.200]  或者是說那一群信耶穌的人
[00:01:31.200 --> 00:01:32.600]  當然了我再一次強調
[00:01:32.600 --> 00:01:35.600]  到底我們講說猶太人
[00:01:35.600 --> 00:01:37.200]  我們講以色列人
[00:01:37.200 --> 00:01:39.400]  我們講希伯來人
[00:01:39.400 --> 00:01:41.800]  或者我們講猶大人
[00:01:41.800 --> 00:01:44.800]  到底有什麼區別沒有嗎
[00:01:44.800 --> 00:01:46.400]  我們這樣子說
[00:01:46.400 --> 00:01:51.600]  猶太人是種族Jewish
[00:01:51.600 --> 00:01:53.400]  那麼以色列人呢
[00:01:53.400 --> 00:01:55.800]  是雅各被稱作以色列
[00:01:55.800 --> 00:01:59.600]  常常我們指的是這個國家的人民
[00:01:59.600 --> 00:02:00.400]  那麼猶大人
[00:02:00.400 --> 00:02:03.600]  當然是南國猶大的百姓
[00:02:03.600 --> 00:02:06.800]  而希伯來人Hebrews
[00:02:06.800 --> 00:02:11.400]  他的原文的意思是說過河之人
[00:02:11.400 --> 00:02:14.600]  換句話說他的意思是說
[00:02:14.600 --> 00:02:18.400]  神護到亞伯拉罕出吾爾下迦南
[00:02:18.400 --> 00:02:20.400]  所以亞伯拉罕就帶著他的侄兒
[00:02:20.400 --> 00:02:24.600]  害了他的家人過了伯拉大河
[00:02:24.600 --> 00:02:28.200]  所以狹義的說希伯來人
[00:02:28.200 --> 00:02:31.200]  就只有亞伯拉罕那一隻
[00:02:31.200 --> 00:02:35.600]  那一個族過了伯拉大河
[00:02:35.600 --> 00:02:38.200]  聖經上面說他要往哪裡去
[00:02:38.200 --> 00:02:39.800]  他都不知道
[00:02:39.800 --> 00:02:43.000]  所以我們稱他做信心之父
[00:02:43.000 --> 00:02:46.600]  今天我們屬神的兒女
[00:02:46.600 --> 00:02:50.200]  也都可以稱作是希伯來人
[00:02:50.200 --> 00:02:53.200]  因為真正的猶太人
[00:02:53.200 --> 00:02:56.200]  他們現在也不相信耶穌基督
[00:02:56.200 --> 00:02:59.400]  是彌賽亞是神的兒子
[00:02:59.400 --> 00:03:02.000]  而我們信神的人
[00:03:02.000 --> 00:03:04.400]  我們相信三一真神
[00:03:04.400 --> 00:03:06.800]  聖父聖子聖靈
[00:03:06.800 --> 00:03:09.000]  Hallelujah
[00:03:09.000 --> 00:03:12.600]  希伯來書大約是講說
[00:03:12.600 --> 00:03:16.200]  耶穌基督在舊約時候跟新約時候
[00:03:16.200 --> 00:03:18.800]  他的獨特的地位
[00:03:18.800 --> 00:03:20.600]  他在舊約
[00:03:20.600 --> 00:03:22.600]  他成就在新約
[00:03:22.600 --> 00:03:24.200]  他來成就
[00:03:24.200 --> 00:03:26.800]  而他的主題是說
[00:03:26.800 --> 00:03:30.800]  耶穌超越一切的宗教
[00:03:30.800 --> 00:03:34.600]  耶穌是完成新約
[00:03:34.600 --> 00:03:37.800]  而是比舊約更美的
[00:03:37.800 --> 00:03:38.800]  讓我們低頭禱告
[00:03:38.800 --> 00:03:41.200]  阿爸父我們感謝你
[00:03:41.200 --> 00:03:43.600]  我們讚美你
[00:03:43.600 --> 00:03:49.400]  求你的聖靈來帶我們進入希伯來的選操
[00:03:49.400 --> 00:03:54.000]  能夠再一次成為神的兒女
[00:03:54.000 --> 00:03:55.200]  感謝你
[00:03:55.200 --> 00:03:56.600]  保守我們的時間
[00:03:56.600 --> 00:03:59.400]  禱告奉主耶穌基督的名
[00:03:59.400 --> 00:04:01.400]  Amen
[00:04:01.400 --> 00:04:04.000]  剛才我們念的經文
[00:04:04.000 --> 00:04:05.200]  它是說
[00:04:05.200 --> 00:04:10.200]  眾祭司進入聖所行祭祀的事情
[00:04:10.200 --> 00:04:12.200]  但是到了新約時候
[00:04:12.200 --> 00:04:15.600]  耶穌自己成為獻祭的羔羊
[00:04:15.600 --> 00:04:18.400]  依次祂流的血
[00:04:18.400 --> 00:04:21.600]  就讓我們得以完成救贖
[00:04:21.600 --> 00:04:24.600]  得以領受永生的盼望
[00:04:24.600 --> 00:04:26.200]  話音之後說
[00:04:26.200 --> 00:04:27.400]  它是說
[00:04:27.400 --> 00:04:29.800]  這些物件既如此預備齊了
[00:04:29.800 --> 00:04:35.200]  眾祭司就常進投一個帳幕
[00:04:35.200 --> 00:04:36.600]  行神的禮
[00:04:36.600 --> 00:04:38.400]  至於第二個帳幕
[00:04:38.400 --> 00:04:41.600]  唯有大祭司一年一次
[00:04:41.600 --> 00:04:43.600]  獨自進去
[00:04:43.600 --> 00:04:48.800]  沒有不帶著血為自己和百姓的過錯獻上
[00:04:48.800 --> 00:04:50.800]  但是到了新約
[00:04:50.800 --> 00:04:53.800]  我們不用羔羊和牛肚的血
[00:04:53.800 --> 00:04:55.200]  乃用自己的血
[00:04:55.200 --> 00:04:57.200]  就是耶穌基督的血
[00:04:57.200 --> 00:05:00.200]  此依次進入聖所
[00:05:00.200 --> 00:05:05.400]  就重成了永遠贖罪的事情
[00:05:05.400 --> 00:05:07.200]  這段經文講得很清楚
[00:05:07.200 --> 00:05:12.400]  你知道聖殿是有外院內院聖所至聖所
[00:05:12.400 --> 00:05:14.800]  外院我常常喜歡講就是
[00:05:14.800 --> 00:05:16.800]  做生意殺牛宰羊
[00:05:16.800 --> 00:05:19.800]  劈柴挑水的地方
[00:05:19.800 --> 00:05:21.200]  進入內院的時候
[00:05:21.200 --> 00:05:24.000]  我們就有銅海有梵紀壇
[00:05:24.000 --> 00:05:31.600]  我們就把這個殺好切好塊的器物
[00:05:31.600 --> 00:05:34.400]  在銅海裡面洗乾淨
[00:05:34.400 --> 00:05:36.800]  放在梵紀壇上面
[00:05:36.800 --> 00:05:42.000]  由祭司來為你獻祭給神
[00:05:42.000 --> 00:05:45.600]  那新香之氣達到神的寶座前
[00:05:45.600 --> 00:05:47.400]  就蒙神怨啊
[00:05:47.400 --> 00:05:51.000]  我們就因此而贖罪
[00:05:51.000 --> 00:05:53.600]  再進到裡面是聖所
