
[00:00:00.000 --> 00:00:02.000]  好,一齊低頭禱告
[00:00:02.000 --> 00:00:06.560]  祈禱天父上帝多謝祢
[00:00:06.560 --> 00:00:07.300]  讚美祢
[00:00:07.300 --> 00:00:09.520]  祢讓我們今天的主日當中
[00:00:09.520 --> 00:00:11.580]  能夠來敬拜祢
[00:00:11.580 --> 00:00:12.780]  聆聽祢的話語
[00:00:12.780 --> 00:00:15.780]  求真理的靈來到當中與我同在
[00:00:15.780 --> 00:00:18.060]  讓孩子所講的
[00:00:18.060 --> 00:00:19.480]  弟兄姊妹所聽的
[00:00:19.480 --> 00:00:20.480]  都是同感的靈
[00:00:20.480 --> 00:00:23.720]  讓我們在祢面前能夠享受安息日
[00:00:23.720 --> 00:00:27.300]  飽受祢的話語的豐富和滿足
[00:00:27.840 --> 00:00:31.020]  也盼望祢藉著祢的話語對我們說話
[00:00:31.020 --> 00:00:32.860]  叫我們心靈更多更新
[00:00:32.860 --> 00:00:33.960]  改變
[00:00:33.960 --> 00:00:35.720]  能夠堅韌豐盛的人生
[00:00:35.720 --> 00:00:36.640]  多謝主
[00:00:36.640 --> 00:00:37.360]  聽禱告
[00:00:37.360 --> 00:00:39.540]  奉我們舊主保貴耶穌名字祈禱
[00:00:39.540 --> 00:00:40.540]  阿門
[00:00:40.540 --> 00:00:47.540]  故事是講述一個彌哥德茂
[00:00:47.540 --> 00:00:48.820]  是一個法利塞人
[00:00:48.820 --> 00:00:51.700]  同時是一個猶太人的官
[00:00:51.700 --> 00:00:56.240]  你可以看到法利塞人對聖經非常熟悉
[00:00:56.240 --> 00:00:59.000]  而這個彌哥德茂是一個官
[00:00:59.000 --> 00:01:01.420]  所以他的身份是非同凡響
[00:01:01.420 --> 00:01:03.400]  但最稀奇的是
[00:01:03.400 --> 00:01:08.000]  為什麼彌哥德茂這麼晚來找耶穌呢?
[00:01:08.000 --> 00:01:09.900]  我在想
[00:01:09.900 --> 00:01:11.360]  他應該有幾個原因
[00:01:11.360 --> 00:01:12.900]  第一個原因就是
[00:01:12.900 --> 00:01:14.860]  他有些重要的事情
[00:01:14.860 --> 00:01:18.120]  他想立即跟耶穌說
[00:01:18.120 --> 00:01:19.120]  等不及了
[00:01:19.120 --> 00:01:20.320]  不可以等到明天早上
[00:01:20.320 --> 00:01:23.000]  唯有今晚趕快連夜跟耶穌說
[00:01:23.000 --> 00:01:25.780]  他所說重要的事情給耶穌知道
[00:01:26.700 --> 00:01:29.040]  第二個可能性就是
[00:01:29.040 --> 00:01:34.160]  彌哥德茂基於他的身份
[00:01:34.160 --> 00:01:35.880]  基於他的領袖
[00:01:35.880 --> 00:01:39.540]  有些事情不可以日干日白去做
[00:01:39.540 --> 00:01:41.620]  如果他這樣做的話
[00:01:41.620 --> 00:01:43.000]  他一個這麼重要的人物
[00:01:43.000 --> 00:01:44.120]  這麼顯赫的人物
[00:01:44.120 --> 00:01:45.840]  去找耶穌的話
[00:01:45.840 --> 00:01:47.160]  可能會驚動很多人
[00:01:47.160 --> 00:01:48.500]  或者被人知道
[00:01:48.500 --> 00:01:52.120]  可能在這個緣故之下
[00:01:52.120 --> 00:01:56.200]  彌哥德茂連夜來找耶穌
[00:01:56.580 --> 00:01:57.660]  有些事情要跟祂說
[00:01:57.660 --> 00:02:00.740]  然而我覺得最重要的就是
[00:02:00.740 --> 00:02:04.620]  無論是第一個可能性還是第二個可能性
[00:02:04.620 --> 00:02:06.320]  他有些事情是重要的
[00:02:06.320 --> 00:02:07.460]  很想跟耶穌說
[00:02:07.460 --> 00:02:09.540]  他說拉比亞
[00:02:09.540 --> 00:02:11.660]  我知道你是從神而來的
[00:02:11.660 --> 00:02:12.540]  是師父
[00:02:12.540 --> 00:02:13.540]  是老師
