
[00:00:00.000 --> 00:00:03.000]  各位親愛的弟兄姊妹平安
[00:00:03.000 --> 00:00:11.000]  在網上聚會的我們的弟兄姊妹和一些朋友都跟你說平安
[00:00:11.000 --> 00:00:13.000]  主裡邊平安
[00:00:13.000 --> 00:00:16.000]  在五月和六月中間
[00:00:16.000 --> 00:00:18.000]  今天是五月二十九號
[00:00:18.000 --> 00:00:22.000]  就是父親節和母親節的中間
[00:00:22.000 --> 00:00:26.000]  神感動我去講一篇的信息
[00:00:26.000 --> 00:00:33.000]  就是題目是《爸媽的心,為兒女代求》
[00:00:33.000 --> 00:00:36.000]  如果神跟你說
[00:00:36.000 --> 00:00:38.000]  你求我
[00:00:38.000 --> 00:00:40.000]  你為你的子女求我一件事
[00:00:40.000 --> 00:00:42.000]  我一定給你的
[00:00:42.000 --> 00:00:45.000]  你會求什麼
[00:00:45.000 --> 00:00:47.000]  先想想好不好
[00:00:47.000 --> 00:00:50.000]  等到散會的時候你有機會跟我說一下
[00:00:50.000 --> 00:00:52.000]  或者彼此說一下
[00:00:52.000 --> 00:00:57.000]  你最想你的子女得到什麼呢
[00:00:57.000 --> 00:01:02.000]  今天我們要透過聖經裡邊幾個做父母的
[00:01:02.000 --> 00:01:07.000]  來看看他們為他們的子女求些什麼
[00:01:07.000 --> 00:01:14.000]  第一段聖經是在《馬太福音》第二十章二十節開始
[00:01:14.000 --> 00:01:19.000]  大家可以看著這個銀幕上面的金句
[00:01:19.000 --> 00:01:21.000]  那些經文
[00:01:21.000 --> 00:01:25.000]  我經常都覺得當我要去傳講神的話語
[00:01:25.000 --> 00:01:28.000]  神的話是最重要的
[00:01:28.000 --> 00:01:30.000]  聖經是最重要的
[00:01:30.000 --> 00:01:33.000]  而且我時時希望祈禱都是
[00:01:33.000 --> 00:01:36.000]  神是讓你自己的聖經
[00:01:36.000 --> 00:01:40.000]  你的說話跟我們講
[00:01:40.000 --> 00:01:43.000]  不是人的說話是神的說話
[00:01:43.000 --> 00:01:47.000]  所以大家很珍惜很體重讀聖經
[00:01:47.000 --> 00:01:49.000]  就算很熟的經文
[00:01:49.000 --> 00:01:52.000]  每一次神都有不同的感動給你
[00:01:52.000 --> 00:01:56.000]  所以我們好好地讀一下這幾節的聖經
[00:01:56.000 --> 00:01:59.000]  第一點就是望子成龍的母親
[00:01:59.000 --> 00:02:01.000]  那這個母親是誰呢
[00:02:01.000 --> 00:02:03.000]  你讀了就知道了
[00:02:03.000 --> 00:02:05.000]  我們讀了一起讀
[00:02:05.000 --> 00:02:09.000]  那時西比泰兒子的母親
[00:02:09.000 --> 00:02:14.000]  同她兩個兒子上前來拜耶穌
[00:02:14.000 --> 00:02:17.000]  求她一件事
[00:02:17.000 --> 00:02:21.000]  耶穌說 你要什麼呢
[00:02:21.000 --> 00:02:27.000]  她說 願你叫我這兩個兒子在你國裡
[00:02:27.000 --> 00:02:30.000]  一個坐在你右邊
[00:02:30.000 --> 00:02:33.000]  一個坐在你左邊
[00:02:33.000 --> 00:02:35.000]  耶穌回答說
[00:02:35.000 --> 00:02:40.000]  你們不知道所求的是什麼
[00:02:40.000 --> 00:02:45.000]  我將要喝的杯 你們能喝嗎
[00:02:45.000 --> 00:02:48.000]  他們說 我們能
[00:02:48.000 --> 00:02:54.000]  耶穌說 我所喝的杯 你們必要喝
[00:02:54.000 --> 00:02:57.000]  只是坐在我的左右
