
[00:00:00.000 --> 00:00:04.280]  今年的「心存盼望,以心建家」
[00:00:04.280 --> 00:00:05.520]  更加是第三講
[00:00:05.520 --> 00:00:07.760]  用「心存盼望」這個方向
[00:00:07.760 --> 00:00:10.320]  讓我們在《彼得前書》裡看看
[00:00:10.320 --> 00:00:14.600]  彼得勸勉我們今天這群跟隨基督的人
[00:00:14.600 --> 00:00:18.160]  我們如何「心存盼望」去回應這個世代
[00:00:18.160 --> 00:00:19.040]  重溫一點
[00:00:19.040 --> 00:00:21.160]  在第一講的時候
[00:00:21.160 --> 00:00:24.080]  活潑的盼望帶給我們的是
[00:00:24.080 --> 00:00:28.000]  我們是一群蒙天父預先揀選的
[00:00:28.000 --> 00:00:32.200]  我們有聖靈不斷將我們從罪當中成聖
[00:00:32.200 --> 00:00:34.320]  成為一個合神心意的義人
[00:00:34.320 --> 00:00:36.560]  有耶穌基督的保血
[00:00:36.560 --> 00:00:37.720]  跟我們立約
[00:00:37.720 --> 00:00:41.320]  以致我們知道我們的罪被除盡
[00:00:41.320 --> 00:00:43.880]  上帝給了我們一個永恆不變的身份
[00:00:43.880 --> 00:00:46.600]  無論在地上有多少身份都好
[00:00:46.600 --> 00:00:49.440]  你將來回天界這個身份什麼都沒有了
[00:00:49.440 --> 00:00:53.040]  但是上帝給了我們一個永恆不變的身份是什麼
[00:00:53.040 --> 00:00:54.520]  我們神怡裡的身份
[00:00:54.520 --> 00:00:57.000]  大家要記住這個很重要的信息
[00:00:57.000 --> 00:00:59.640]  讓我們知道這個尊貴不變的身份
[00:00:59.640 --> 00:01:02.040]  是創世以遷已經有
[00:01:02.040 --> 00:01:03.320]  現在仍然是
[00:01:03.320 --> 00:01:04.720]  到將來末世
[00:01:04.720 --> 00:01:06.800]  天國裡面都是
[00:01:06.800 --> 00:01:08.720]  而這個活潑盼望給我們的
[00:01:08.720 --> 00:01:12.120]  就是在天國裡面有一個三不的基業
[00:01:12.120 --> 00:01:13.320]  哪三不
[00:01:13.320 --> 00:01:14.400]  不惱壞
[00:01:14.400 --> 00:01:15.360]  不玷污
[00:01:15.360 --> 00:01:17.080]  不衰殘的天國基業
[00:01:17.080 --> 00:01:19.880]  等著我們在天國裡面去奪取的
[00:01:19.880 --> 00:01:21.680]  但是在現在
[00:01:21.680 --> 00:01:23.920]  我們仍然要面對著一些困難
[00:01:23.920 --> 00:01:25.960]  試煉和苦難
[00:01:25.960 --> 00:01:27.520]  但這是榮耀的序曲
[00:01:27.520 --> 00:01:29.440]  將來我們在活潑
[00:01:29.440 --> 00:01:31.760]  我們在盼望的天國裡面
[00:01:31.760 --> 00:01:33.280]  能夠得著獎賞
[00:01:33.280 --> 00:01:35.720]  這個是第一堂的信息
[00:01:35.720 --> 00:01:38.360]  在第二堂在上個月的
[00:01:38.360 --> 00:01:40.480]  第一月頭開始
[00:01:40.480 --> 00:01:44.760]  我們的主題是從盼望到彼此相愛
[00:01:44.760 --> 00:01:47.600]  彼得就讓我們在活潑盼望的基礎下
[00:01:47.600 --> 00:01:49.240]  給了我們四個命令
[00:01:49.240 --> 00:01:50.080]  第一個
[00:01:50.080 --> 00:01:51.960]  我們要專心盼望
[00:01:51.960 --> 00:01:54.480]  就好像掛著皮帶
[00:01:54.480 --> 00:01:56.520]  就要準備出發了
[00:01:56.520 --> 00:01:57.800]  我們要盯著
[00:01:57.800 --> 00:02:00.720]  專注在耶穌基督的鷹去上高
[00:02:00.720 --> 00:02:01.760]  我們要聖潔
[00:02:01.760 --> 00:02:03.240]  為什麼要聖潔
[00:02:03.240 --> 00:02:04.960]  因為我們天父是聖潔的
[00:02:04.960 --> 00:02:08.440]  我們天父的兒女都要聖潔
[00:02:08.440 --> 00:02:11.040]  心存敬畏提醒了我們
[00:02:11.040 --> 00:02:14.960]  我們將上帝放在我們心裡面的位置有多重
[00:02:14.960 --> 00:02:16.880]  我們應該把上帝放在一個最重
[00:02:16.880 --> 00:02:17.880]  最重要的位置
[00:02:17.880 --> 00:02:20.040]  這個就是敬畏的意思
[00:02:20.040 --> 00:02:22.600]  但是在世面對著困難
[00:02:22.600 --> 00:02:23.800]  不容易的
[00:02:23.800 --> 00:02:25.120]  所以我們要彼此相愛
[00:02:25.120 --> 00:02:27.840]  成為一個切實相愛的群體
[00:02:27.840 --> 00:02:29.280]  去活出盼望
[00:02:29.280 --> 00:02:31.720]  這就是這兩堂課給我們的
[00:02:31.720 --> 00:02:33.080]  接著在今天的裏面
[00:02:33.080 --> 00:02:36.360]  好 盼望上帝當著我們
[00:02:36.360 --> 00:02:40.080]  我們仍然在世上會面對很多生活的壓力
[00:02:40.080 --> 00:02:41.560]  所謂迫害
[00:02:41.560 --> 00:02:44.920]  但我們怎樣成為一個心存盼望的群體呢
[00:02:44.920 --> 00:02:46.720]  我現在很想請大家為我祈禱
[00:02:46.720 --> 00:02:48.480]  一方面為我的聲音
[00:02:48.480 --> 00:02:50.320]  一方面為自己的意義去祈禱
[00:02:50.320 --> 00:02:51.600]  我們怎樣可以聽到
[00:02:51.600 --> 00:02:53.280]  為何被神的話語去觸動
[00:02:53.280 --> 00:02:54.760]  為何行出神的話語
[00:02:54.760 --> 00:02:56.920]  我們再同心祈禱
[00:02:56.920 --> 00:02:58.120]  七天父我多謝你
[00:02:58.120 --> 00:03:01.680]  帶領我們今天這個三月的主宰崇拜的裏面
[00:03:01.680 --> 00:03:03.920]  我先為自己去禱告
[00:03:03.920 --> 00:03:05.880]  求你幫助我
[00:03:05.880 --> 00:03:09.880]  以致雖然我可能在聲音上有困難
[00:03:09.880 --> 00:03:12.000]  但是在靈性上
[00:03:12.000 --> 00:03:13.760]  這是上帝給我們的
[00:03:13.760 --> 00:03:16.400]  以致我們被你話語所觸動
[00:03:16.400 --> 00:03:19.400]  打開我們第一節目的耳朵去聆聽
[00:03:19.400 --> 00:03:21.120]  讓我們腦袋去思想
[00:03:21.120 --> 00:03:23.320]  讓我們心去明白
[00:03:23.320 --> 00:03:26.000]  更加能夠好地將你的話語去活出來
[00:03:26.000 --> 00:03:28.120]  願在今天這個崇拜當中
[00:03:28.120 --> 00:03:30.640]  你坐著為王掌管我們的心
[00:03:30.640 --> 00:03:32.640]  禱告奉耶穌基督命教
[00:03:32.640 --> 00:03:34.240]  阿們
[00:03:34.240 --> 00:03:37.160]  多謝彼門執事幫我們讀了剛才的經文
[00:03:37.160 --> 00:03:39.600]  所以我們不需要再讀多一次
[00:03:39.600 --> 00:03:42.160]  不過大家留意特別有顏色的字
[00:03:42.160 --> 00:03:43.720]  第一個黃色
[00:03:43.720 --> 00:03:45.320]  總而言之
[00:03:45.320 --> 00:03:48.200]  其實這三章八至十二節
[00:03:48.200 --> 00:03:53.440]  是總結了由二章十一節到三章七節所說的話
[00:03:53.440 --> 00:03:55.160]  裡面提及到
[00:03:55.160 --> 00:03:57.760]  我們面對著社會的制度
[00:03:57.760 --> 00:03:59.880]  君王的制度當時就是
[00:03:59.880 --> 00:04:02.560]  面對著在主僕的
[00:04:02.560 --> 00:04:03.720]  主人和僕人之間
[00:04:03.720 --> 00:04:08.040]  即是我們今天的職場工作的制度當中
[00:04:08.040 --> 00:04:11.760]  或者在家庭夫婦關係的制度當中
[00:04:11.760 --> 00:04:16.920]  我們都要活出一個有盼望的心
[00:04:16.920 --> 00:04:20.360]  我們怎樣可以行善報惡為主
[00:04:20.360 --> 00:04:22.040]  去做見證呢
[00:04:22.040 --> 00:04:23.960]  但其實剛才所說的群體
[00:04:23.960 --> 00:04:26.720]  他們都面對著很多的艱難
[00:04:26.720 --> 00:04:29.000]  在社會的制度裡面
[00:04:29.000 --> 00:04:31.920]  他們一班少數族裔
[00:04:31.920 --> 00:04:35.440]  或者他們一班在外邦人當中
[00:04:35.440 --> 00:04:37.240]  他們是猶太人
[00:04:37.240 --> 00:04:38.920]  他們信耶穌
[00:04:38.920 --> 00:04:41.240]  跟其他人的信仰很不同
[00:04:41.240 --> 00:04:42.840]  在整個社會制度裡面
[00:04:42.840 --> 00:04:44.920]  他們都是邊緣群體
[00:04:44.920 --> 00:04:46.880]  在公司裡面或者在職場裡面
[00:04:46.880 --> 00:04:49.480]  他們多數是僕人的下屬
[00:04:49.480 --> 00:04:52.400]  他們要面對上司的壓力
